dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.782005,3.984336,0.125000,1.250000,6.250000,31.250000,0.672671
0.200000,22.067818,4.213677,0.491451,1.832255,2.911274,-16.693631,0.680562
0.200000,22.527895,4.594748,1.088850,2.986993,5.773691,14.312085,0.706026
0.200000,23.109744,5.125408,1.876345,3.937478,4.752426,-5.106325,0.786608
0.200000,23.517340,5.624995,2.521109,3.223821,-3.568284,-41.603548,1.227797
0.200000,23.503947,5.150513,2.995780,2.373355,-4.252331,-3.420238,2.866617
0.200000,22.150113,5.311771,4.359184,6.817020,22.218323,132.353273,3.105534
0.200000,20.435225,5.264906,6.074713,8.577642,8.803109,-67.076069,3.242187
0.200000,18.610250,4.947905,7.927015,9.261512,3.419354,-26.918779,3.377215
0.200000,16.782289,4.414539,9.831200,9.520926,1.297068,-10.611429,3.465090
0.200000,14.940657,3.748811,11.789465,9.791325,1.351996,0.274641,3.503500
0.200000,13.059148,3.038815,13.800477,10.055060,1.318674,-0.166611,3.493325
0.200000,11.104816,2.388077,15.860302,10.299122,1.220311,-0.491815,3.426287
0.200000,9.090891,1.877722,17.937885,10.387917,0.443976,-3.881676,3.354257
0.200000,7.136411,1.520535,19.924736,9.934253,-2.268320,-13.561480,3.291549
0.200000,5.382738,1.301027,21.692094,8.836789,-5.487320,-16.094999,3.241648
0.200000,3.883303,1.179621,23.196436,7.521710,-6.575398,-5.440393,3.203850
0.200000,2.641053,1.119890,24.440121,6.218424,-6.516429,0.294849,3.175933
0.200000,1.656254,1.096050,25.425209,4.925439,-6.464926,0.257514,3.155975
0.200000,0.928137,1.090568,26.153346,3.640687,-6.423760,0.205831,3.142442
0.200000,0.455745,1.092127,26.625741,2.361974,-6.393563,0.150981,3.134214
0.200000,0.238327,1.094129,26.843168,1.087137,-6.374184,0.096897,3.130572
0.200000,0.193283,1.094642,26.888214,0.225231,-4.309533,10.323255,3.129828
0.200000,0.193283,1.094642,26.888214,0.000000,-1.126154,15.916897,3.129828
