dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,23.132027,2.289630,0.125000,1.250000,6.250000,31.250000,0.672671
0.200000,23.431171,2.529676,0.508548,1.917739,3.338693,-14.556534,0.680562
0.200000,23.933681,2.946005,1.161117,3.262845,6.725534,16.934205,0.706026
0.200000,24.643684,3.595174,2.123159,4.810210,7.736823,5.056442,0.786608
0.200000,25.557830,4.896306,3.713318,7.950798,15.702939,39.830582,1.227797
0.200000,24.092257,7.235814,6.473971,13.803262,29.262323,67.796920,2.866617
0.200000,22.228226,7.477063,8.353549,9.397890,-22.026861,-256.445920,3.105534
0.200000,20.217634,7.420653,10.364931,10.056913,3.295113,126.609869,3.242187
0.200000,18.104437,7.054738,12.509575,10.723220,3.331537,0.182122,3.377215
0.200000,16.093529,6.468851,14.604096,10.472602,-1.253089,-22.923131,3.465090
0.200000,14.173517,5.775159,16.645579,10.207414,-1.325943,-0.364266,3.503500
0.200000,12.312668,5.072864,18.634543,9.944822,-1.312960,0.064911,3.493325
0.200000,10.496268,4.467562,20.549145,9.573009,-1.859065,-2.730525,3.426287
0.200000,8.633576,3.995611,22.470696,9.607755,0.173731,10.163983,3.354257
0.200000,6.812718,3.662919,24.321698,9.255010,-1.763725,-9.687283,3.291549
0.200000,5.166308,3.456890,25.980948,8.296252,-4.793787,-15.150310,3.241648
0.200000,3.748498,3.342124,27.403396,7.112240,-5.920065,-5.631389,3.203850
0.200000,2.566662,3.285313,28.586597,5.916003,-5.981184,-0.305597,3.175933
0.200000,1.625093,3.262526,29.528441,4.709222,-6.033903,-0.263595,3.155975
0.200000,0.926297,3.257267,30.227257,3.494080,-6.075712,-0.209043,3.142442
0.200000,0.471733,3.258768,30.681824,2.272834,-6.106229,-0.152585,3.134214
0.200000,0.262205,3.260698,30.891360,1.047682,-6.125759,-0.097652,3.130572
0.200000,0.218772,3.261192,30.934796,0.217180,-4.152509,9.866254,3.129828
0.200000,0.218772,3.261192,30.934796,0.000000,-1.085901,15.333041,3.129828
