dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.775576,3.979807,0.125000,1.250000,6.250000,31.250000,0.681278
0.200000,22.030788,4.194530,0.458525,1.667624,2.088121,-20.809397,0.719544
0.200000,22.408638,4.555086,0.980800,2.611378,4.718769,13.153242,0.814188
0.200000,22.753920,5.008731,1.550899,2.850495,1.195583,-17.615932,1.094078
0.200000,22.805693,5.080103,1.639072,0.440862,-12.048161,-66.218720,2.059420
0.200000,22.239508,5.482979,2.333964,3.474460,15.167987,136.080741,2.681454
0.200000,20.871852,6.002812,3.797079,7.315578,19.205591,20.188019,2.812858
0.200000,19.125964,6.560680,5.629930,9.164253,9.243374,-49.811085,2.851659
0.200000,17.240661,7.081596,7.585875,9.779726,3.077368,-30.830031,2.892200
0.200000,15.334848,7.526976,9.543038,9.785815,0.030447,-15.234604,2.931624
0.200000,13.411775,7.898420,11.501655,9.793083,0.036337,0.029449,2.969715
0.200000,11.497586,8.194909,13.438670,9.685076,-0.540034,-2.881851,3.005869
0.200000,9.717564,8.408824,15.231499,8.964147,-3.604647,-15.323065,3.037872
0.200000,8.175020,8.548648,16.780367,7.744341,-6.099028,-12.471906,3.064329
0.200000,6.873534,8.635320,18.084736,6.521844,-6.112487,-0.067293,3.085729
0.200000,5.815337,8.685548,19.144124,5.296941,-6.124515,-0.060140,3.102506
0.200000,5.001769,8.712242,19.958130,4.070029,-6.134560,-0.050228,3.115028
0.200000,4.433600,8.724900,20.526441,2.841553,-6.142378,-0.039090,3.123579
0.200000,4.111243,8.729936,20.848837,1.611981,-6.147859,-0.027406,3.128360
0.200000,4.011553,8.731182,20.948534,0.498488,-5.567467,2.901961,3.129828
0.200000,4.011553,8.731182,20.948534,0.000000,-2.492439,15.375141,3.129828
