dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.595559,2.825549,0.037500,0.375000,1.875000,9.375000,0.673702
0.200000,22.685662,2.898196,0.153242,0.578709,1.018545,-4.282277,0.683527
0.200000,22.834594,3.021722,0.346734,0.967462,1.943766,4.626106,0.701695
0.200000,23.040049,3.200544,0.619111,1.361883,1.972106,0.141702,0.731653
0.200000,23.269373,3.415103,0.933157,1.570233,1.041747,-4.651795,0.774291
0.200000,23.490872,3.643478,1.251304,1.590731,0.102490,-4.696283,0.829403
0.200000,23.701277,3.890053,1.575447,1.620720,0.149944,0.237267,0.902784
0.200000,23.894900,4.161269,1.908686,1.666192,0.227360,0.387082,1.003938
0.200000,24.060959,4.466289,2.255980,1.736472,0.351403,0.620216,1.148165
0.200000,24.177985,4.815098,2.623896,1.839581,0.515543,0.820697,1.355985
0.200000,24.208830,5.204870,3.014887,1.954953,0.576858,0.306576,1.635606
0.200000,24.121930,5.595030,3.414608,1.998604,0.218259,-1.792994,1.942596
0.200000,23.935481,5.931344,3.799147,1.922695,-0.379545,-2.989022,2.202066
0.200000,23.694764,6.200626,4.160336,1.805947,-0.583742,-1.020988,2.389088
0.200000,23.429099,6.417217,4.503103,1.713833,-0.460568,0.615871,2.519417
0.200000,23.151390,6.596562,4.833689,1.652931,-0.304509,0.780294,2.612464
0.200000,22.867138,6.749328,5.156391,1.613510,-0.197107,0.537010,2.681454
0.200000,22.578920,6.882417,5.473853,1.587309,-0.131005,0.330511,2.734484
0.200000,22.288086,7.000391,5.787704,1.569256,-0.090267,0.203693,2.776525
0.200000,22.017247,7.099578,6.076134,1.442152,-0.635520,-2.726264,2.797699
0.200000,21.732542,7.200530,6.378207,1.510362,0.341050,4.882848,2.803981
0.200000,21.447214,7.299691,6.680275,1.510342,-0.000097,-1.705737,2.810250
0.200000,21.161274,7.397062,6.982339,1.510320,-0.000111,-0.000068,2.816506
0.200000,20.874736,7.492643,7.284398,1.510296,-0.000119,-0.000042,2.822748
0.200000,20.587612,7.586434,7.586453,1.510271,-0.000127,-0.000040,2.828974
0.200000,20.299916,7.678436,7.888502,1.510245,-0.000131,-0.000018,2.835184
0.200000,20.011660,7.768651,8.190545,1.510216,-0.000141,-0.000049,2.841377
0.200000,19.722858,7.857079,8.492582,1.510186,-0.000151,-0.000050,2.847553
0.200000,19.433522,7.943724,8.794613,1.510155,-0.000157,-0.000032,2.853709
0.200000,19.143664,8.028586,9.096638,1.510123,-0.000160,-0.000017,2.859845
0.200000,18.853299,8.111670,9.398655,1.510088,-0.000173,-0.000064,2.865960
0.200000,18.562440,8.192977,9.700666,1.510052,-0.000179,-0.000031,2.872054
0.200000,18.271098,8.272512,10.002669,1.510016,-0.000182,-0.000013,2.878126
0.200000,17.979287,8.350278,10.304664,1.509977,-0.000194,-0.000061,2.884174
0.200000,17.687019,8.426279,10.606652,1.509937,-0.000199,-0.000024,2.890198
0.200000,17.394308,8.500519,10.908631,1.509896,-0.000204,-0.000025,2.896197
0.200000,17.101166,8.573004,11.210602,1.509853,-0.000214,-0.000049,2.902170
0.200000,16.807606,8.643739,11.512564,1.509810,-0.000217,-0.000015,2.908117
0.200000,16.513640,8.712728,11.814517,1.509765,-0.000225,-0.000041,2.914037
0.200000,16.219280,8.779978,12.116460,1.509719,-0.000232,-0.000031,2.919928
0.200000,15.924540,8.845495,12.418395,1.509672,-0.000235,-0.000019,2.925791
0.200000,15.629431,8.909285,12.720319,1.509623,-0.000244,-0.000042,2.931624
0.200000,15.333965,8.971355,13.022234,1.509573,-0.000247,-0.000016,2.937428
0.200000,15.038156,9.031712,13.324139,1.509523,-0.000254,-0.000035,2.943200
0.200000,14.742014,9.090363,13.626033,1.509471,-0.000259,-0.000024,2.948942
0.200000,14.445551,9.147315,13.927916,1.509418,-0.000264,-0.000024,2.954651
0.200000,14.148779,9.202577,14.229789,1.509364,-0.000269,-0.000028,2.960328
0.200000,13.851710,9.256156,14.531651,1.509310,-0.000273,-0.000019,2.965971
0.200000,13.554356,9.308060,14.833502,1.509254,-0.000278,-0.000026,2.971581
0.200000,13.256726,9.358299,15.135342,1.509198,-0.000283,-0.000021,2.977156
0.200000,12.958834,9.406882,15.437170,1.509140,-0.000287,-0.000021,2.982697
0.200000,12.660689,9.453816,15.738986,1.509082,-0.000291,-0.000020,2.988202
0.200000,12.362303,9.499112,16.040791,1.509023,-0.000295,-0.000021,2.993672
0.200000,12.063686,9.542779,16.342583,1.508963,-0.000298,-0.000015,2.999105
0.200000,11.764849,9.584826,16.644364,1.508903,-0.000303,-0.000026,3.004502
0.200000,11.465803,9.625264,16.946132,1.508842,-0.000305,-0.000008,3.009862
0.200000,11.166556,9.664103,17.247888,1.508780,-0.000309,-0.000023,3.015184
0.200000,10.867121,9.701352,17.549632,1.508717,-0.000312,-0.000012,3.020469
0.200000,10.567506,9.737023,17.851363,1.508655,-0.000314,-0.000012,3.025715
0.200000,10.267721,9.771126,18.153081,1.508591,-0.000319,-0.000023,3.030922
0.200000,9.967776,9.803671,18.454786,1.508527,-0.000319,-0.000000,3.036091
0.200000,9.667681,9.834671,18.756479,1.508462,-0.000324,-0.000025,3.041221
0.200000,9.367444,9.864135,19.058158,1.508397,-0.000325,-0.000003,3.046311
0.200000,9.067074,9.892075,19.359824,1.508332,-0.000326,-0.000008,3.051362
0.200000,8.766581,9.918503,19.661478,1.508266,-0.000331,-0.000025,3.056372
0.200000,8.465972,9.943430,19.963118,1.508200,-0.000330,0.000009,3.061343
0.200000,8.165258,9.966867,20.264744,1.508133,-0.000333,-0.000018,3.066273
0.200000,7.864445,9.988827,20.566357,1.508066,-0.000335,-0.000011,3.071162
0.200000,7.563542,10.009320,20.867957,1.507999,-0.000334,0.000006,3.076011
0.200000,7.262558,10.028360,21.169543,1.507931,-0.000338,-0.000021,3.080819
0.200000,6.961499,10.045958,21.471116,1.507864,-0.000339,-0.000002,3.085586
0.200000,6.660373,10.062126,21.772675,1.507796,-0.000338,0.000005,3.090312
0.200000,6.359189,10.076876,22.074221,1.507728,-0.000341,-0.000018,3.094996
0.200000,6.057952,10.090221,22.375753,1.507659,-0.000342,-0.000004,3.099639
0.200000,5.756671,10.102173,22.677271,1.507591,-0.000340,0.000008,3.104241
0.200000,5.455352,10.112744,22.978776,1.507523,-0.000342,-0.000006,3.108801
0.200000,5.154002,10.121947,23.280266,1.507454,-0.000346,-0.000021,3.113319
0.200000,4.852627,10.129795,23.581744,1.507385,-0.000342,0.000019,3.117796
0.200000,4.561203,10.136105,23.873235,1.457458,-0.249637,-1.246476,3.122085
0.200000,4.317415,10.140427,24.117062,1.219134,-1.191620,-4.709915,3.125643
0.200000,4.148974,10.142907,24.285521,0.842294,-1.884201,-3.462905,3.128085
0.200000,4.055886,10.144102,24.378617,0.465482,-1.884059,0.000713,3.129429
0.200000,4.028179,10.144434,24.406325,0.138541,-1.634702,1.246783,3.129828
0.200000,4.028179,10.144434,24.406325,0.000000,-0.692706,4.709979,3.129828
