dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.183796,3.341350,0.037500,0.375000,1.875000,9.375000,0.673702
0.200000,22.268851,3.409927,0.146757,0.546287,0.856433,-5.092835,0.683527
0.200000,22.408555,3.525796,0.328259,0.907506,1.806097,4.748320,0.701695
0.200000,22.599102,3.691631,0.580864,1.263026,1.777602,-0.142476,0.731653
0.200000,22.807895,3.886948,0.866771,1.429538,0.832560,-4.725208,0.774291
0.200000,23.004104,4.089187,1.148548,1.408885,-0.103266,-4.679133,0.829403
0.200000,23.183141,4.298875,1.424272,1.378618,-0.151338,-0.240357,0.902784
0.200000,23.338129,4.515678,1.690777,1.332527,-0.230453,-0.395577,1.003938
0.200000,23.459031,4.736996,1.942965,1.260938,-0.357942,-0.637445,1.148165
0.200000,23.533154,4.955786,2.173970,1.155025,-0.529569,-0.858135,1.355985
0.200000,23.550216,5.162125,2.381014,1.035220,-0.599023,-0.347266,1.635606
0.200000,23.507025,5.355257,2.578916,0.989509,-0.228553,1.852349,1.942596
0.200000,23.402677,5.541832,2.792688,1.068861,0.396760,3.126563,2.202066
0.200000,23.243674,5.718840,3.030625,1.189684,0.604114,1.036770,2.389088
0.200000,23.044448,5.880892,3.287436,1.284056,0.471859,-0.661274,2.519417
0.200000,22.818234,6.026819,3.556634,1.345987,0.309654,-0.811027,2.612464
0.200000,22.574050,6.157974,3.833812,1.385890,0.199516,-0.550688,2.681454
0.200000,22.317590,6.276359,4.116277,1.412327,0.132187,-0.336642,2.734484
0.200000,22.052458,6.383885,4.402383,1.430531,0.091017,-0.205853,2.776525
0.200000,21.793139,6.479318,4.678705,1.381609,-0.244610,-1.678133,2.789935
0.200000,21.508459,6.585702,4.982613,1.519542,0.689664,4.671368,2.778086
0.200000,21.225200,6.695307,5.286338,1.518626,-0.004580,-3.471219,2.766792
0.200000,20.943337,6.807956,5.589879,1.517703,-0.004612,-0.000161,2.756059
0.200000,20.662837,6.923475,5.893234,1.516776,-0.004634,-0.000109,2.745887
0.200000,20.383666,7.041690,6.196404,1.515847,-0.004648,-0.000072,2.736280
0.200000,20.105779,7.162429,6.499387,1.514917,-0.004650,-0.000009,2.727236
0.200000,19.829131,7.285522,6.802184,1.513986,-0.004655,-0.000022,2.718757
0.200000,19.553670,7.410802,7.104796,1.513057,-0.004642,0.000065,2.710841
0.200000,19.279342,7.538104,7.407222,1.512130,-0.004636,0.000028,2.703488
0.200000,19.006088,7.667263,7.709463,1.511207,-0.004618,0.000092,2.696694
0.200000,18.733848,7.798121,8.011520,1.510286,-0.004604,0.000069,2.690459
0.200000,18.462556,7.930517,8.313394,1.509369,-0.004584,0.000099,2.684779
0.200000,18.192148,8.064296,8.615085,1.508456,-0.004566,0.000090,2.679654
