dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.389678,3.083450,0.037500,0.375000,1.875000,9.375000,0.673702
0.200000,22.477257,3.154062,0.150000,0.750000,1.875000,0.000000,0.683527
0.200000,22.621575,3.273759,0.337500,1.125000,1.875000,0.000000,0.701695
0.200000,22.819575,3.446088,0.600000,1.500000,1.875000,0.000000,0.731653
0.200000,23.038634,3.651026,0.900000,1.500000,0.000000,-9.375000,0.774291
0.200000,23.247488,3.866332,1.200000,1.500000,0.000000,0.000000,0.829403
0.200000,23.442209,4.094464,1.500000,1.500000,0.000000,0.000000,0.902784
0.200000,23.616514,4.338474,1.800000,1.500000,0.000000,0.000000,1.003938
0.200000,23.759995,4.601643,2.100000,1.500000,0.000000,0.000000,1.148165
0.200000,23.855569,4.885442,2.400000,1.500000,0.000000,0.000000,1.355985
0.200000,23.879523,5.183498,2.700000,1.500000,0.000000,0.000000,1.635606
0.200000,23.814477,5.475143,3.000000,1.500000,0.000000,0.000000,1.942596
0.200000,23.669079,5.736588,3.300000,1.500000,0.000000,0.000000,2.202066
0.200000,23.469219,5.959733,3.600000,1.500000,0.000000,0.000000,2.389088
0.200000,23.236774,6.149054,3.900000,1.500000,0.000000,0.000000,2.519417
0.200000,22.984812,6.311691,4.200000,1.500000,0.000000,0.000000,2.612464
0.200000,22.720594,6.453651,4.500000,1.500000,0.000000,0.000000,2.681454
0.200000,22.448255,6.579388,4.800000,1.500000,0.000000,0.000000,2.734484
0.200000,22.170272,6.692138,5.100000,1.500000,0.000000,0.000000,2.776525
0.200000,21.906809,6.789123,5.400000,1.500000,0.000000,0.000000,2.789935
0.200000,21.625792,6.894138,5.700000,1.500000,0.000000,0.000000,2.778086
0.200000,21.346009,7.002398,6.000000,1.500000,0.000000,0.000000,2.766792
0.200000,21.067434,7.113734,6.300000,1.500000,0.000000,0.000000,2.756059
0.200000,20.790039,7.227975,6.600000,1.500000,0.000000,0.000000,2.745887
0.200000,20.513787,7.344953,6.900000,1.500000,0.000000,0.000000,2.736280
0.200000,20.238637,7.464503,7.200000,1.500000,0.000000,0.000000,2.727236
0.200000,19.964546,7.586459,7.500000,1.500000,0.000000,0.000000,2.718757
0.200000,19.691463,7.710658,7.800000,1.500000,0.000000,0.000000,2.710841
0.200000,19.419336,7.836937,8.100000,1.500000,0.000000,0.000000,2.703488
0.200000,19.148109,7.965139,8.400000,1.500000,0.000000,0.000000,2.696694
0.200000,18.877723,8.095105,8.700000,1.500000,0.000000,0.000000,2.690459
0.200000,18.608116,8.226679,9.000000,1.500000,0.000000,0.000000,2.684779
0.200000,18.339224,8.359708,9.300000,1.500000,0.000000,0.000000,2.679654
0.200000,18.070980,8.494040,9.600000,1.500000,0.000000,0.000000,2.675079
0.200000,17.803316,8.629524,9.900000,1.500000,0.000000,0.000000,2.671054
0.200000,17.536162,8.766011,10.200000,1.500000,0.000000,0.000000,2.667575
0.200000,17.269447,8.903353,10.500000,1.500000,0.000000,0.000000,2.664642
0.200000,17.003098,9.041406,10.800000,1.500000,0.000000,0.000000,2.662251
0.200000,16.737043,9.180022,11.100000,1.500000,0.000000,0.000000,2.660403
0.200000,16.471207,9.319058,11.400000,1.500000,0.000000,0.000000,2.659094
0.200000,16.205515,9.458370,11.700000,1.500000,0.000000,0.000000,2.658326
0.200000,15.939892,9.597815,12.000000,1.500000,0.000000,0.000000,2.658097
0.200000,15.674265,9.737249,12.300000,1.500000,0.000000,0.000000,2.658407
0.200000,15.408556,9.876529,12.600000,1.500000,0.000000,0.000000,2.659256
0.200000,15.142691,10.015511,12.900000,1.500000,0.000000,0.000000,2.660645
0.200000,14.876597,10.154052,13.200000,1.500000,0.000000,0.000000,2.662575
0.200000,14.610198,10.292008,13.500000,1.500000,0.000000,0.000000,2.665047
0.200000,14.343422,10.429231,13.800000,1.500000,0.000000,0.000000,2.668062
0.200000,14.076196,10.565577,14.100000,1.500000,0.000000,0.000000,2.671622
0.200000,13.808449,10.700898,14.400000,1.500000,0.000000,0.000000,2.675730
0.200000,13.540112,10.835044,14.700000,1.500000,0.000000,0.000000,2.680387
0.200000,13.271117,10.967864,15.000000,1.500000,0.000000,0.000000,2.685596
0.200000,13.001397,11.099207,15.300000,1.500000,0.000000,0.000000,2.691358
0.200000,12.730889,11.228918,15.600000,1.500000,0.000000,0.000000,2.697677
0.200000,12.459531,11.356842,15.900000,1.500000,0.000000,0.000000,2.704555
0.200000,12.187264,11.482820,16.200000,1.500000,0.000000,0.000000,2.711993
0.200000,11.914033,11.606693,16.500000,1.500000,0.000000,0.000000,2.719993
0.200000,11.639786,11.728298,16.800000,1.500000,0.000000,0.000000,2.728556
0.200000,11.364474,11.847473,17.100000,1.500000,0.000000,0.000000,2.737684
0.200000,11.088053,11.964052,17.400000,1.500000,0.000000,0.000000,2.747377
0.200000,10.810483,12.077868,17.700000,1.500000,0.000000,0.000000,2.757633
0.200000,10.531729,12.188753,18.000000,1.500000,0.000000,0.000000,2.768450
0.200000,10.251762,12.296538,18.300000,1.500000,0.000000,0.000000,2.779827
0.200000,9.970558,12.401052,18.600000,1.500000,0.000000,0.000000,2.791759
0.200000,9.688100,12.502126,18.900000,1.500000,0.000000,0.000000,2.804240
0.200000,9.404375,12.599589,19.200000,1.500000,0.000000,0.000000,2.817264
0.200000,9.119381,12.693273,19.500000,1.500000,0.000000,0.000000,2.830821
0.200000,8.833119,12.783010,19.800000,1.500000,0.000000,0.000000,2.844900
0.200000,8.545600,12.868634,20.100000,1.500000,0.000000,0.000000,2.859490
0.200000,8.256843,12.949982,20.400000,1.500000,0.000000,0.000000,2.874574
0.200000,7.966873,13.026895,20.700000,1.500000,0.000000,0.000000,2.890137
0.200000,7.675725,13.099220,21.000000,1.500000,0.000000,0.000000,2.906158
0.200000,7.383441,13.166806,21.300000,1.500000,0.000000,0.000000,2.922615
0.200000,7.090071,13.229512,21.600000,1.500000,0.000000,0.000000,2.939486
0.200000,6.795675,13.287203,21.900000,1.500000,0.000000,0.000000,2.956742
0.200000,6.500317,13.339751,22.200000,1.500000,0.000000,0.000000,2.974356
0.200000,6.204071,13.387040,22.500000,1.500000,0.000000,0.000000,2.992297
0.200000,5.907019,13.428963,22.800000,1.500000,0.000000,0.000000,3.010532
0.200000,5.609247,13.465422,23.100000,1.500000,0.000000,0.000000,3.029028
0.200000,5.310849,13.496333,23.400000,1.500000,0.000000,0.000000,3.047748
0.200000,5.011921,13.521624,23.700000,1.500000,0.000000,0.000000,3.066656
0.200000,4.712567,13.541235,24.000000,1.500000,0.000000,0.000000,3.085714
0.200000,4.439285,13.554129,24.273590,1.235900,-1.320500,-6.602501,3.103193
0.200000,4.229711,13.560771,24.483270,0.860900,-1.875000,-2.772499,3.116634
0.200000,4.095062,13.563550,24.617950,0.485900,-1.875000,0.000000,3.125282
0.200000,4.035388,13.564409,24.677630,0.110900,-1.875000,0.000000,3.129116
0.200000,4.024297,13.564543,24.688720,0.000000,-0.554500,6.602501,3.129828
0.200000,4.024297,13.564543,24.688720,0.000000,0.000000,2.772499,3.129828
