dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.595559,2.825549,0.037500,0.375000,1.875000,9.375000,0.673702
0.200000,22.685662,2.898196,0.153242,0.578709,1.018545,-4.282277,0.683527
0.200000,22.834594,3.021722,0.346734,0.967462,1.943766,4.626106,0.701695
0.200000,23.040049,3.200544,0.619111,1.361883,1.972106,0.141702,0.731653
0.200000,23.269373,3.415103,0.933157,1.570233,1.041747,-4.651795,0.774291
0.200000,23.490872,3.643478,1.251304,1.590731,0.102490,-4.696283,0.829403
0.200000,23.701277,3.890053,1.575447,1.620720,0.149944,0.237267,0.902784
0.200000,23.894900,4.161269,1.908686,1.666192,0.227360,0.387082,1.003938
0.200000,24.060959,4.466289,2.255980,1.736472,0.351403,0.620216,1.148165
0.200000,24.177985,4.815098,2.623896,1.839581,0.515543,0.820697,1.355985
0.200000,24.208830,5.204870,3.014887,1.954953,0.576858,0.306576,1.635606
0.200000,24.121930,5.595030,3.414608,1.998604,0.218259,-1.792994,1.942596
0.200000,23.935481,5.931344,3.799147,1.922695,-0.379545,-2.989022,2.202066
0.200000,23.694764,6.200626,4.160336,1.805947,-0.583742,-1.020988,2.389088
0.200000,23.429099,6.417217,4.503103,1.713833,-0.460568,0.615871,2.519417
0.200000,23.151390,6.596562,4.833689,1.652931,-0.304509,0.780294,2.612464
0.200000,22.867138,6.749328,5.156391,1.613510,-0.197107,0.537010,2.681454
0.200000,22.578920,6.882417,5.473853,1.587309,-0.131005,0.330511,2.734484
0.200000,22.288086,7.000391,5.787704,1.569256,-0.090267,0.203693,2.776525
0.200000,22.020479,7.098928,6.072876,1.425858,-0.716987,-3.133603,2.789935
0.200000,21.743125,7.202575,6.368964,1.480441,0.272912,4.949498,2.778086
0.200000,21.466817,7.309490,6.665235,1.481358,0.004588,-1.341620,2.766792
0.200000,21.191532,7.419511,6.961692,1.482282,0.004620,0.000160,2.756059
0.200000,20.917240,7.532474,7.258334,1.483211,0.004642,0.000109,2.745887
0.200000,20.643908,7.648216,7.555162,1.484141,0.004653,0.000056,2.736280
0.200000,20.371495,7.766577,7.852177,1.485074,0.004662,0.000041,2.727236
0.200000,20.099960,7.887395,8.149378,1.486005,0.004654,-0.000037,2.718757
0.200000,19.829255,8.010513,8.446765,1.486935,0.004653,-0.000004,2.710841
0.200000,19.559330,8.135771,8.744338,1.487863,0.004637,-0.000083,2.703488
0.200000,19.290130,8.263015,9.042095,1.488788,0.004626,-0.000054,2.696694
0.200000,19.021599,8.392090,9.340037,1.489709,0.004606,-0.000099,2.690459
0.200000,18.753676,8.522842,9.638162,1.490627,0.004589,-0.000085,2.684779
0.200000,18.486300,8.655121,9.936471,1.491541,0.004569,-0.000101,2.679654
0.200000,18.219406,8.788777,10.234961,1.492451,0.004550,-0.000095,2.675079
0.200000,17.952927,8.923661,10.533632,1.493357,0.004531,-0.000095,2.671054
0.200000,17.686795,9.059625,10.832484,1.494260,0.004513,-0.000089,2.667575
0.200000,17.420941,9.196525,11.131516,1.495159,0.004497,-0.000083,2.664642
0.200000,17.155293,9.334214,11.430727,1.496056,0.004483,-0.000071,2.662251
0.200000,16.889778,9.472549,11.730117,1.496950,0.004470,-0.000064,2.660403
0.200000,16.624324,9.611385,12.029685,1.497842,0.004461,-0.000045,2.659094
0.200000,16.358857,9.750579,12.329432,1.498732,0.004453,-0.000039,2.658326
0.200000,16.093302,9.889989,12.629356,1.499622,0.004449,-0.000019,2.658097
0.200000,15.827583,10.029470,12.929458,1.500512,0.004447,-0.000008,2.658407
0.200000,15.561626,10.168880,13.229739,1.501401,0.004448,0.000005,2.659256
0.200000,15.295356,10.308075,13.530197,1.502292,0.004454,0.000028,2.660645
0.200000,15.028696,10.446910,13.830834,1.503184,0.004459,0.000024,2.662575
0.200000,14.761573,10.585240,14.131650,1.504078,0.004472,0.000066,2.665047
0.200000,14.493912,10.722919,14.432644,1.504974,0.004480,0.000040,2.668062
0.200000,14.225640,10.859799,14.733819,1.505874,0.004499,0.000095,2.671622
0.200000,13.956683,10.995731,15.035174,1.506776,0.004510,0.000056,2.675730
0.200000,13.686972,11.130564,15.336711,1.507683,0.004534,0.000116,2.680387
0.200000,13.416435,11.264146,15.638429,1.508592,0.004546,0.000063,2.685596
0.200000,13.145005,11.396321,15.940331,1.509507,0.004572,0.000129,2.691358
0.200000,12.872617,11.526934,16.242415,1.510423,0.004584,0.000058,2.697677
0.200000,12.599206,11.655825,16.544685,1.511345,0.004609,0.000128,2.704555
0.200000,12.324712,11.782834,16.847138,1.512269,0.004619,0.000047,2.711993
0.200000,12.049076,11.907797,17.149778,1.513196,0.004638,0.000097,2.719993
0.200000,11.772246,12.030548,17.452603,1.514125,0.004644,0.000033,2.728556
0.200000,11.494169,12.150919,17.755614,1.515056,0.004652,0.000039,2.737684
0.200000,11.214801,12.268741,18.058811,1.515986,0.004653,0.000002,2.747377
0.200000,10.934099,12.383840,18.362194,1.516915,0.004645,-0.000039,2.757633
0.200000,10.652029,12.496045,18.665763,1.517842,0.004633,-0.000059,2.768450
0.200000,10.368558,12.605178,18.969515,1.518763,0.004607,-0.000127,2.779827
0.200000,10.083663,12.711064,19.273451,1.519678,0.004574,-0.000166,2.791759
0.200000,9.797326,12.813525,19.577568,1.520584,0.004528,-0.000229,2.804240
0.200000,9.509537,12.912385,19.881863,1.521478,0.004470,-0.000291,2.817264
0.200000,9.220293,13.007466,20.186335,1.522357,0.004395,-0.000378,2.830821
0.200000,8.929597,13.098592,20.490978,1.523219,0.004312,-0.000413,2.844900
0.200000,8.637464,13.185590,20.795790,1.524058,0.004195,-0.000584,2.859490
0.200000,8.343916,13.268287,21.100765,1.524876,0.004087,-0.000541,2.874574
0.200000,8.048982,13.346517,21.405898,1.525661,0.003929,-0.000792,2.890137
0.200000,7.752703,13.420116,21.711181,1.526419,0.003789,-0.000700,2.906158
0.200000,7.455128,13.488926,22.016609,1.527136,0.003584,-0.001024,2.922615
0.200000,7.156314,13.552795,22.322172,1.527818,0.003413,-0.000854,2.939486
0.200000,6.856329,13.611581,22.627863,1.528453,0.003171,-0.001207,2.956742
0.200000,6.555248,13.665147,22.933671,1.529042,0.002947,-0.001122,2.974356
0.200000,6.253156,13.713370,23.239588,1.529583,0.002703,-0.001218,2.992297
0.200000,5.950145,13.756133,23.545601,1.530068,0.002427,-0.001381,3.010532
0.200000,5.646315,13.793333,23.851700,1.530494,0.002128,-0.001494,3.029028
0.200000,5.341772,13.824881,24.157873,1.530865,0.001854,-0.001369,3.047748
0.200000,5.036627,13.850698,24.464108,1.531175,0.001551,-0.001519,3.066656
0.200000,4.730998,13.870720,24.770393,1.531424,0.001243,-0.001538,3.085714
0.200000,4.451954,13.883885,25.049747,1.396770,-0.673269,-3.372558,3.103193
0.200000,4.237947,13.890668,25.263862,1.070574,-1.630981,-4.788564,3.116634
0.200000,4.100444,13.893506,25.401394,0.687661,-1.914565,-1.417917,3.125282
0.200000,4.039505,13.894383,25.462339,0.304726,-1.914673,-0.000542,3.129116
0.200000,4.028179,13.894520,25.473665,0.056632,-1.240470,3.371015,3.129828
0.200000,4.028179,13.894520,25.473665,0.000000,-0.283160,4.786550,3.129828
