dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.183163,3.340890,0.037500,0.375000,1.875000,9.375000,0.676073
0.200000,22.265416,3.408145,0.143749,0.531244,0.781221,-5.468897,0.695011
0.200000,22.398578,3.523096,0.319663,0.879571,1.741633,4.802063,0.730089
0.200000,22.575244,3.690367,0.562954,1.216453,1.684413,-0.286104,0.788196
0.200000,22.759518,3.891024,0.835388,1.362169,0.728580,-4.779163,0.871493
0.200000,22.919025,4.101698,1.099633,1.321228,-0.204705,-4.666423,0.979450
0.200000,23.045812,4.320863,1.352829,1.265981,-0.276237,-0.357659,1.120643
0.200000,23.131131,4.544974,1.592632,1.199012,-0.334847,-0.293054,1.302061
0.200000,23.168083,4.769690,1.820366,1.138670,-0.301707,0.165704,1.519677
0.200000,23.153717,4.993014,2.044152,1.118929,-0.098706,1.015003,1.749127
0.200000,23.088546,5.214580,2.275103,1.154758,0.179145,1.389255,1.957097
0.200000,22.976946,5.431701,2.519227,1.220618,0.329300,0.750777,2.125544
0.200000,22.826972,5.640460,2.776273,1.285229,0.323054,-0.031230,2.255165
0.200000,22.647512,5.838463,3.043501,1.336141,0.254560,-0.342473,2.354143
0.200000,22.446064,6.025175,3.318169,1.373343,0.186010,-0.342750,2.430701
0.200000,22.228229,6.201140,3.598197,1.400141,0.133990,-0.260100,2.491094
0.200000,21.998025,6.367335,3.882124,1.419635,0.097471,-0.182595,2.539714
0.200000,21.767964,6.518442,4.157373,1.376242,-0.216962,-1.572165,2.583624
0.200000,21.523692,6.662393,4.440905,1.417660,0.207086,2.120241,2.633438
0.200000,21.271175,6.795714,4.726456,1.427756,0.050484,-0.783012,2.677153
0.200000,21.011667,6.919487,5.013970,1.437567,0.049052,-0.007156,2.714940
0.200000,20.746280,7.034867,5.303353,1.446918,0.046754,-0.011490,2.747073
0.200000,20.475974,7.143043,5.594501,1.455741,0.044116,-0.013193,2.773871
0.200000,20.201569,7.245209,5.887309,1.464037,0.041479,-0.013184,2.795650
0.200000,19.923758,7.342553,6.181680,1.471858,0.039106,-0.011862,2.812695
0.200000,19.643132,7.436252,6.477536,1.479279,0.037106,-0.010001,2.825247
0.200000,19.360193,7.527468,6.774815,1.486395,0.035577,-0.007646,2.833490
0.200000,19.075382,7.617360,7.073475,1.493301,0.034534,-0.005216,2.837550
0.200000,18.789094,7.707091,7.373496,1.500103,0.034010,-0.002618,2.837488
0.200000,18.501700,7.797839,7.674877,1.506905,0.034006,-0.000021,2.833302
0.200000,18.213567,7.890812,7.977639,1.513810,0.034529,0.002614,2.824930
0.200000,17.925078,7.987261,8.281823,1.520921,0.035552,0.005113,2.812245
0.200000,17.636662,8.088495,8.587490,1.528336,0.037077,0.007628,2.795060
0.200000,17.348814,8.195889,8.894720,1.536148,0.039059,0.009908,2.773134
0.200000,17.062136,8.310896,9.203606,1.544430,0.041410,0.011758,2.746179
0.200000,16.777376,8.435042,9.514251,1.553227,0.043983,0.012865,2.713879
0.200000,16.495467,8.569910,9.826760,1.562545,0.046594,0.013052,2.675916
0.200000,16.217587,8.717111,10.141221,1.572305,0.048798,0.011020,2.632018
0.200000,15.945194,8.878211,10.457688,1.582334,0.050145,0.006734,2.582018
0.200000,15.680064,9.054636,10.776152,1.592322,0.049942,-0.001014,2.525938
0.200000,15.424285,9.247532,11.096515,1.601811,0.047443,-0.012494,2.464079
0.200000,15.180195,9.457606,11.418556,1.610209,0.041988,-0.027273,2.397103
0.200000,14.950246,9.684968,11.741929,1.616864,0.033277,-0.043559,2.326070
0.200000,14.736796,9.929034,12.066166,1.621182,0.021591,-0.058428,2.252402
0.200000,14.541857,10.188524,12.390721,1.622777,0.007972,-0.068098,2.177761
0.200000,14.366875,10.461587,12.715038,1.621587,-0.005946,-0.069589,2.103850
0.200000,14.212597,10.746010,13.038610,1.617856,-0.018658,-0.063561,2.032211
0.200000,14.079058,11.039481,13.361034,1.612123,-0.028661,-0.050011,1.964068
0.200000,13.965675,11.339794,13.682039,1.605024,-0.035495,-0.034172,1.900248
0.200000,13.871413,11.645010,14.001479,1.597201,-0.039117,-0.018111,1.841194
0.200000,13.794958,11.953513,14.319315,1.589177,-0.040123,-0.005027,1.787027
0.200000,13.734867,12.264019,14.635582,1.581336,-0.039201,0.004610,1.737632
0.200000,13.689679,12.575545,14.950368,1.573931,-0.037025,0.010880,1.692746
0.200000,13.657993,12.887358,15.263787,1.567094,-0.034185,0.014200,1.652022
0.200000,13.637386,13.187290,15.564426,1.503194,-0.319502,-1.426586,1.634008
0.200000,13.618590,13.486468,15.864193,1.498838,-0.021781,1.488603,1.634713
0.200000,13.598329,13.782255,16.160673,1.482400,-0.082189,-0.302038,1.645376
0.200000,13.573675,14.074209,16.453667,1.464965,-0.087173,-0.024919,1.666592
