dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,23.147667,2.303658,0.125000,1.250000,6.250000,31.250000,0.690676
0.200000,23.487887,2.605852,0.580050,2.275250,5.126251,-5.618744,0.764663
0.200000,24.031268,3.225669,1.404330,4.121398,9.230737,20.522428,0.949696
0.200000,24.563443,4.516464,2.800525,6.980978,14.297900,25.335813,1.444199
0.200000,24.074562,6.333088,4.681782,9.406286,12.126542,-10.856787,2.183855
0.200000,22.798252,7.532322,6.433104,8.756611,-3.248375,-76.874586,2.539714
0.200000,21.162014,8.391843,8.281361,9.241281,2.423349,28.358619,2.758869
0.200000,19.307233,9.025827,10.241501,9.800700,2.797098,1.868746,2.837965
0.200000,17.524589,9.649881,12.130221,9.443600,-1.785500,-22.912990,2.736022
0.200000,16.137876,10.497031,13.755224,8.125018,-6.592912,-24.037060,2.397103
0.200000,15.328847,11.723969,15.224885,7.348306,-3.883561,13.546756,1.921006
0.200000,15.041707,13.375447,16.901140,8.381274,5.164841,45.242010,1.633150
0.200000,14.709334,15.622673,19.172813,11.358361,14.885435,48.602970,1.890070
0.200000,12.760755,17.707818,22.026720,14.269538,14.555883,-1.647762,2.772446
0.200000,10.620078,18.076493,24.198912,10.860962,-17.042880,-157.993815,3.049986
0.200000,8.952614,18.210671,25.871767,8.364274,-12.483441,22.797197,3.072434
0.200000,7.536907,18.295712,27.290026,7.091294,-6.364898,30.592711,3.090625
0.200000,6.373925,18.346628,28.454122,5.820480,-6.354068,0.054154,3.104965
0.200000,5.464062,18.375008,29.364428,4.551528,-6.344760,0.046537,3.115801
0.200000,4.807406,18.389438,30.021242,3.284071,-6.337284,0.037380,3.123412
0.200000,4.403915,18.395846,30.424784,2.017710,-6.331808,0.027382,3.128001
0.200000,4.253522,18.397763,30.575189,0.752027,-6.328416,0.016959,3.129695
0.200000,4.241592,18.397904,30.587120,0.059652,-3.461871,14.332727,3.129828
0.200000,4.241592,18.397904,30.587120,0.000000,-0.298262,15.818044,3.129828
