dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.182756,3.340593,0.037500,0.375000,1.875000,9.375000,0.677599
0.200000,22.263150,3.406933,0.141731,0.521157,0.730783,-5.721083,0.702646
0.200000,22.391700,3.520972,0.313574,0.859216,1.690295,4.797558,0.750042
0.200000,22.557774,3.688180,0.549242,1.178336,1.595603,-0.473459,0.831157
0.200000,22.721816,3.889952,0.809283,1.300205,0.609345,-4.931290,0.951766
0.200000,22.849679,4.101488,1.056460,1.235888,-0.321589,-4.654668,1.111043
0.200000,22.932567,4.319504,1.289701,1.166205,-0.348414,-0.134127,1.312145
0.200000,22.965350,4.541850,1.514451,1.123746,-0.212293,0.680605,1.538706
0.200000,22.947327,4.769501,1.742814,1.141817,0.090355,1.513238,1.754433
0.200000,22.881385,5.002037,1.984519,1.208524,0.333534,1.215896,1.930141
0.200000,22.774626,5.235730,2.241443,1.284621,0.380487,0.234767,2.060126
0.200000,22.636400,5.467208,2.511051,1.348041,0.317097,-0.316950,2.151936
0.200000,22.475355,5.695280,2.790251,1.395997,0.239779,-0.386594,2.214829
0.200000,22.298326,5.920478,3.076700,1.432247,0.181253,-0.292627,2.255831
0.200000,22.110489,6.144303,3.368899,1.460997,0.143746,-0.187534,2.279449
0.200000,21.915870,6.368810,3.666018,1.485595,0.122990,-0.103781,2.288177
0.200000,21.728537,6.582520,3.950212,1.420967,-0.323140,-2.230651,2.312806
0.200000,21.539352,6.768451,4.215469,1.326285,-0.473407,-0.751334,2.417715
0.200000,21.331955,6.932930,4.480170,1.323507,-0.013890,2.297586,2.524299
0.200000,21.107405,7.075354,4.746079,1.329544,0.030183,0.220366,2.627248
0.200000,20.867350,7.196128,5.014803,1.343622,0.070391,0.201036,2.721719
0.200000,20.613878,7.296596,5.287460,1.363282,0.098298,0.139538,2.804343
0.200000,20.349246,7.378872,5.564588,1.385641,0.111794,0.067481,2.873484
0.200000,20.075579,7.445614,5.846275,1.408435,0.113971,0.010884,2.928869
0.200000,19.794680,7.499792,6.132351,1.430380,0.109726,-0.021225,2.970999
0.200000,19.507944,7.544515,6.422554,1.451019,0.103195,-0.032658,3.000652
0.200000,19.216377,7.582934,6.716641,1.470432,0.097066,-0.030645,3.018560
0.200000,18.920676,7.618220,7.014440,1.488995,0.092817,-0.021242,3.025228
0.200000,18.621317,7.653599,7.315883,1.507214,0.091091,-0.008633,3.020856
0.200000,18.318670,7.692421,7.621009,1.525633,0.092096,0.005028,3.005312
0.200000,18.013134,7.738254,7.929964,1.544772,0.095696,0.017997,2.978149
0.200000,17.705307,7.794958,8.242970,1.565034,0.101309,0.028067,2.938673
0.200000,17.396215,7.866726,8.560285,1.586571,0.107688,0.031894,2.886094
0.200000,17.087617,7.957997,8.882097,1.609060,0.112444,0.023780,2.819818
0.200000,16.782332,8.073156,9.208379,1.631413,0.111766,-0.003389,2.739910
0.200000,16.484461,8.215927,9.538698,1.651594,0.100905,-0.054307,2.647678
0.200000,16.199241,8.388507,9.872067,1.666841,0.076236,-0.123346,2.546127
0.200000,15.932310,8.590776,10.206977,1.674553,0.038556,-0.188397,2.439857
0.200000,15.688503,8.820106,10.541692,1.673574,-0.004894,-0.217252,2.334187
0.200000,15.470788,9.072031,10.874657,1.664827,-0.043736,-0.194210,2.233867
0.200000,15.293108,9.312574,11.173708,1.495253,-0.847867,-4.020655,2.193298
0.200000,15.116749,9.564109,11.480908,1.536002,0.203743,5.258053,2.171460
0.200000,14.945994,9.818994,11.787705,1.533982,-0.010102,-1.069228,2.150848
0.200000,14.780591,10.076892,12.094086,1.531906,-0.010377,-0.001373,2.131497
0.200000,14.620264,10.337479,12.400044,1.529792,-0.010571,-0.000969,2.113428
0.200000,14.464718,10.600452,12.705575,1.527653,-0.010695,-0.000620,2.096658
0.200000,14.313644,10.865523,13.010675,1.525501,-0.010760,-0.000327,2.081193
0.200000,14.166720,11.132425,13.315344,1.523346,-0.010778,-0.000089,2.067036
0.200000,14.023615,11.400906,13.619583,1.521194,-0.010758,0.000097,2.054185
0.200000,13.883995,11.670734,13.923393,1.519052,-0.010711,0.000235,2.042634
0.200000,13.747516,11.941687,14.226778,1.516922,-0.010646,0.000329,2.032374
0.200000,13.613836,12.213561,14.529740,1.514809,-0.010569,0.000384,2.023396
0.200000,13.482611,12.486163,14.832282,1.512711,-0.010488,0.000404,2.015690
0.200000,13.353495,12.759310,15.134408,1.510629,-0.010410,0.000391,2.009247
0.200000,13.226145,13.032828,15.436120,1.508562,-0.010334,0.000379,2.004056
0.200000,13.100217,13.306552,15.737422,1.506508,-0.010270,0.000319,2.000112
0.200000,12.975369,13.580321,16.038314,1.504464,-0.010219,0.000255,1.997406
0.200000,12.851261,13.853979,16.338800,1.502427,-0.010184,0.000179,1.995935
0.200000,12.727556,14.127373,16.638879,1.500395,-0.010164,0.000097,1.995695
0.200000,12.603914,14.400350,16.938551,1.498362,-0.010161,0.000015,1.996688
0.200000,12.480003,14.672757,17.237817,1.496327,-0.010176,-0.000076,1.998914
0.200000,12.355487,14.944440,17.536674,1.494285,-0.010208,-0.000161,2.002377
0.200000,12.230036,15.215240,17.835121,1.492234,-0.010256,-0.000239,2.007082
0.200000,12.103318,15.484993,18.133155,1.490171,-0.010318,-0.000307,2.013038
0.200000,11.975006,15.753532,18.430773,1.488093,-0.010388,-0.000351,2.020253
0.200000,11.844775,16.020679,18.727973,1.485999,-0.010470,-0.000410,2.028735
0.200000,11.712300,16.286249,19.024751,1.483889,-0.010553,-0.000417,2.038496
0.200000,11.577264,16.550048,19.321103,1.481762,-0.010634,-0.000406,2.049545
0.200000,11.439351,16.811870,19.617027,1.479620,-0.010707,-0.000365,2.061891
0.200000,11.298252,17.071500,19.912521,1.477467,-0.010765,-0.000287,2.075540
0.200000,11.153667,17.328709,20.207583,1.475308,-0.010798,-0.000167,2.090496
0.200000,11.005301,17.583256,20.502212,1.473148,-0.010798,-0.000000,2.106760
0.200000,10.852874,17.834890,20.796412,1.470997,-0.010754,0.000218,2.124326
0.200000,10.696118,18.083345,21.090185,1.468866,-0.010656,0.000491,2.143182
0.200000,10.534779,18.328347,21.383538,1.466768,-0.010492,0.000819,2.163307
0.200000,10.368624,18.569612,21.676482,1.464717,-0.010252,0.001204,2.184674
0.200000,10.197442,18.806846,21.969028,1.462733,-0.009924,0.001640,2.207241
0.200000,10.021044,19.039751,22.261195,1.460833,-0.009499,0.002122,2.230958
0.200000,9.839270,19.268028,22.553003,1.459038,-0.008971,0.002640,2.255760
0.200000,9.651992,19.491375,22.844477,1.457372,-0.008335,0.003183,2.281571
0.200000,9.459110,19.709496,23.135647,1.455850,-0.007607,0.003638,2.308301
0.200000,9.260563,19.922103,23.426547,1.454500,-0.006750,0.004282,2.335848
0.200000,9.056324,20.128923,23.717215,1.453340,-0.005803,0.004738,2.364099
0.200000,8.846403,20.329694,24.007690,1.452377,-0.004814,0.004945,2.392930
0.200000,8.630846,20.524180,24.298017,1.451635,-0.003710,0.005519,2.422210
0.200000,8.409735,20.712168,24.588241,1.451117,-0.002590,0.005598,2.451803
0.200000,8.183185,20.893471,24.878406,1.450825,-0.001456,0.005674,2.481573
0.200000,7.951344,21.067937,25.168558,1.450764,-0.000306,0.005751,2.511382
0.200000,7.717766,21.234948,25.455701,1.435715,-0.075248,-0.374710,2.523136
0.200000,7.473456,21.408736,25.755518,1.499082,0.316834,1.960408,2.523692
0.200000,7.229308,21.581943,26.054865,1.496737,-0.011725,-1.642794,2.525670
0.200000,6.985080,21.754221,26.353742,1.494382,-0.011773,-0.000243,2.529074
0.200000,6.740532,21.925219,26.652144,1.492011,-0.011854,-0.000402,2.533915
0.200000,6.495431,22.094582,26.950067,1.489618,-0.011966,-0.000563,2.540206
0.200000,6.249547,22.261948,27.247507,1.487197,-0.012104,-0.000686,2.547963
0.200000,6.002657,22.426945,27.544456,1.484744,-0.012266,-0.000814,2.557206
0.200000,5.754547,22.589193,27.840907,1.482255,-0.012446,-0.000897,2.567956
0.200000,5.505012,22.748304,28.136852,1.479729,-0.012631,-0.000926,2.580236
0.200000,5.253857,22.903872,28.432285,1.477164,-0.012823,-0.000961,2.594069
0.200000,5.000901,23.055486,28.727198,1.474564,-0.013001,-0.000891,2.609476
0.200000,4.745977,23.202719,29.021584,1.471932,-0.013156,-0.000773,2.626476
0.200000,4.488937,23.345132,29.315440,1.469278,-0.013272,-0.000578,2.645083
