dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.389641,3.083497,0.037500,0.375000,1.875000,9.375000,0.677599
0.200000,22.476409,3.155099,0.150000,0.750000,1.875000,0.000000,0.702646
0.200000,22.616651,3.279525,0.337500,1.125000,1.875000,0.000000,0.750042
0.200000,22.801549,3.465753,0.600000,1.500000,1.875000,0.000000,0.831157
0.200000,22.990581,3.698471,0.900000,1.500000,0.000000,-9.375000,0.951766
0.200000,23.145413,3.955058,1.200000,1.500000,0.000000,0.000000,1.111043
0.200000,23.251590,4.235098,1.500000,1.500000,0.000000,0.000000,1.312145
0.200000,23.295180,4.531262,1.800000,1.500000,0.000000,0.000000,1.538706
0.200000,23.271778,4.829761,2.100000,1.500000,0.000000,0.000000,1.754433
0.200000,23.190307,5.118085,2.400000,1.500000,0.000000,0.000000,1.930141
0.200000,23.065900,5.390842,2.700000,1.500000,0.000000,0.000000,2.060126
0.200000,22.912226,5.648371,3.000000,1.500000,0.000000,0.000000,2.151936
0.200000,22.739250,5.893421,3.300000,1.500000,0.000000,0.000000,2.214829
0.200000,22.553877,6.129269,3.600000,1.500000,0.000000,0.000000,2.255831
0.200000,22.361038,6.359071,3.900000,1.500000,0.000000,0.000000,2.279449
0.200000,22.164535,6.585756,4.200000,1.500000,0.000000,0.000000,2.288177
0.200000,21.971784,6.805524,4.500000,1.500000,0.000000,0.000000,2.312806
0.200000,21.757910,7.015701,4.800000,1.500000,0.000000,0.000000,2.417715
0.200000,21.522969,7.202028,5.100000,1.500000,0.000000,0.000000,2.524299
0.200000,21.269753,7.362657,5.400000,1.500000,0.000000,0.000000,2.627248
0.200000,21.001872,7.497464,5.700000,1.500000,0.000000,0.000000,2.721719
0.200000,20.723073,7.608007,6.000000,1.500000,0.000000,0.000000,2.804343
0.200000,20.436665,7.697083,6.300000,1.500000,0.000000,0.000000,2.873484
0.200000,20.145250,7.768175,6.600000,1.500000,0.000000,0.000000,2.928869
0.200000,19.850704,7.825001,6.900000,1.500000,0.000000,0.000000,2.970999
0.200000,19.554300,7.871243,7.200000,1.500000,0.000000,0.000000,3.000652
0.200000,19.256876,7.910440,7.500000,1.500000,0.000000,0.000000,3.018560
0.200000,18.958990,7.945988,7.800000,1.500000,0.000000,0.000000,3.025228
0.200000,18.661063,7.981196,8.100000,1.500000,0.000000,0.000000,3.020856
0.200000,18.363504,8.019361,8.400000,1.500000,0.000000,0.000000,3.005312
0.200000,18.066831,8.063856,8.700000,1.500000,0.000000,0.000000,2.978149
0.200000,17.771812,8.118187,9.000000,1.500000,0.000000,0.000000,2.938673
0.200000,17.479615,8.186014,9.300000,1.500000,0.000000,0.000000,2.886094
0.200000,17.191980,8.271060,9.600000,1.500000,0.000000,0.000000,2.819818
0.200000,16.911352,8.376889,9.900000,1.500000,0.000000,0.000000,2.739910
0.200000,16.640906,8.506486,10.200000,1.500000,0.000000,0.000000,2.647678
0.200000,16.384337,8.661710,10.500000,1.500000,0.000000,0.000000,2.546127
0.200000,16.145340,8.842805,10.800000,1.500000,0.000000,0.000000,2.439857
0.200000,15.926927,9.048260,11.100000,1.500000,0.000000,0.000000,2.334187
0.200000,15.730863,9.275159,11.400000,1.500000,0.000000,0.000000,2.233867
0.200000,15.561207,9.504987,11.700000,1.500000,0.000000,0.000000,2.193298
0.200000,15.388986,9.750621,12.000000,1.500000,0.000000,0.000000,2.171460
0.200000,15.222018,9.999857,12.300000,1.500000,0.000000,0.000000,2.150848
0.200000,15.060062,10.252379,12.600000,1.500000,0.000000,0.000000,2.131497
0.200000,14.902860,10.507888,12.900000,1.500000,0.000000,0.000000,2.113428
0.200000,14.750132,10.766098,13.200000,1.500000,0.000000,0.000000,2.096658
0.200000,14.601585,11.026735,13.500000,1.500000,0.000000,0.000000,2.081193
0.200000,14.456915,11.289545,13.800000,1.500000,0.000000,0.000000,2.067036
0.200000,14.315806,11.554285,14.100000,1.500000,0.000000,0.000000,2.054185
0.200000,14.177937,11.820726,14.400000,1.500000,0.000000,0.000000,2.042634
0.200000,14.042982,12.088656,14.700000,1.500000,0.000000,0.000000,2.032374
0.200000,13.910610,12.357872,15.000000,1.500000,0.000000,0.000000,2.023396
0.200000,13.780488,12.628182,15.300000,1.500000,0.000000,0.000000,2.015690
0.200000,13.652281,12.899407,15.600000,1.500000,0.000000,0.000000,2.009247
0.200000,13.525653,13.171372,15.900000,1.500000,0.000000,0.000000,2.004056
0.200000,13.400269,13.443914,16.200000,1.500000,0.000000,0.000000,2.000112
0.200000,13.275792,13.716870,16.500000,1.500000,0.000000,0.000000,1.997406
0.200000,13.151885,13.990087,16.800000,1.500000,0.000000,0.000000,1.995935
0.200000,13.028212,14.263409,17.100000,1.500000,0.000000,0.000000,1.995695
0.200000,12.904436,14.536684,17.400000,1.500000,0.000000,0.000000,1.996688
0.200000,12.780220,14.809760,17.700000,1.500000,0.000000,0.000000,1.998914
0.200000,12.655228,15.082481,18.000000,1.500000,0.000000,0.000000,2.002377
0.200000,12.529124,15.354690,18.300000,1.500000,0.000000,0.000000,2.007082
0.200000,12.401570,15.626222,18.600000,1.500000,0.000000,0.000000,2.013038
0.200000,12.272232,15.896909,18.900000,1.500000,0.000000,0.000000,2.020253
0.200000,12.140773,16.166572,19.200000,1.500000,0.000000,0.000000,2.028735
0.200000,12.006861,16.435024,19.500000,1.500000,0.000000,0.000000,2.038496
0.200000,11.870162,16.702068,19.800000,1.500000,0.000000,0.000000,2.049545
0.200000,11.730350,16.967495,20.100000,1.500000,0.000000,0.000000,2.061891
0.200000,11.587101,17.231082,20.400000,1.500000,0.000000,0.000000,2.075540
0.200000,11.440096,17.492593,20.700000,1.500000,0.000000,0.000000,2.090496
0.200000,11.289028,17.751777,21.000000,1.500000,0.000000,0.000000,2.106760
0.200000,11.133597,18.008368,21.300000,1.500000,0.000000,0.000000,2.124326
0.200000,10.973519,18.262086,21.600000,1.500000,0.000000,0.000000,2.143182
0.200000,10.808527,18.512634,21.900000,1.500000,0.000000,0.000000,2.163307
0.200000,10.638373,18.759705,22.200000,1.500000,0.000000,0.000000,2.184674
0.200000,10.462833,19.002978,22.500000,1.500000,0.000000,0.000000,2.207241
0.200000,10.281709,19.242122,22.800000,1.500000,0.000000,0.000000,2.230958
0.200000,10.094836,19.476801,23.100000,1.500000,0.000000,0.000000,2.255760
0.200000,9.902084,19.706674,23.400000,1.500000,0.000000,0.000000,2.281571
0.200000,9.703359,19.931402,23.700000,1.500000,0.000000,0.000000,2.308301
0.200000,9.498608,20.150653,24.000000,1.500000,0.000000,0.000000,2.335848
0.200000,9.287818,20.364105,24.300000,1.500000,0.000000,0.000000,2.364099
0.200000,9.071021,20.571452,24.600000,1.500000,0.000000,0.000000,2.392930
0.200000,8.848290,20.772410,24.900000,1.500000,0.000000,0.000000,2.422210
0.200000,8.619738,20.966723,25.200000,1.500000,0.000000,0.000000,2.451803
0.200000,8.385519,21.154165,25.500000,1.500000,0.000000,0.000000,2.481573
0.200000,8.145818,21.334545,25.800000,1.500000,0.000000,0.000000,2.511382
0.200000,7.909093,21.503823,26.100000,1.500000,0.000000,0.000000,2.523136
