dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,23.152607,2.308231,0.125000,1.250000,6.250000,31.250000,0.696878
0.200000,23.508509,2.636659,0.609284,2.421421,5.857107,-1.964465,0.797944
0.200000,24.059512,3.365807,1.523211,4.569633,10.741056,24.419744,1.067204
0.200000,24.362865,4.855440,3.043418,7.601037,15.157021,22.079824,1.686010
0.200000,23.729766,6.372771,4.687531,8.220564,3.097634,-60.296933,2.181191
0.200000,22.770334,7.537620,6.196631,7.545502,-3.375307,-32.364706,2.312806
0.200000,20.931638,8.680316,8.361477,10.824228,16.393631,98.844692,2.834831
0.200000,18.887947,9.045105,10.437469,10.379962,-2.221333,-93.074820,3.023541
0.200000,17.272664,9.401527,12.091608,8.270692,-10.546349,-41.625082,2.710424
0.200000,16.282708,10.362920,13.471568,6.899803,-6.854446,18.459517,2.171460
0.200000,15.319599,11.973326,15.347997,9.382146,12.411716,96.330808,2.058324
0.200000,14.467648,13.715559,17.287378,9.696903,1.573785,-54.189653,2.002603
0.200000,13.639241,15.535654,19.287129,9.998752,1.509247,-0.322691,2.002377
0.200000,12.734805,17.386037,21.346722,10.297965,1.496063,-0.065922,2.057631
0.200000,11.646830,19.206649,23.467645,10.604618,1.533264,0.186007,2.170293
0.200000,10.280078,20.900954,25.644496,10.884253,1.398178,-0.675433,2.335848
0.200000,8.618562,22.328617,27.835125,10.953148,0.344471,-5.268531,2.523266
0.200000,7.014639,23.450687,29.792575,9.787248,-5.829495,-30.869834,2.548815
0.200000,5.475106,24.414017,31.608660,9.080427,-3.534107,11.476941,2.624380
0.200000,4.046636,25.133940,33.208290,7.998150,-5.411387,-9.386398,2.731212
0.200000,2.770062,25.605117,34.569044,6.803768,-5.971911,-2.802620,2.848326
0.200000,1.701173,25.866988,35.669543,5.502497,-6.506353,-2.672211,2.955745
0.200000,0.883711,25.985300,36.495523,4.129897,-6.862998,-1.783223,3.040269
0.200000,0.339682,26.025194,37.041013,2.727453,-7.012224,-0.746132,3.096488
0.200000,0.075859,26.033525,37.304967,1.319771,-7.038406,-0.130908,3.123538
0.200000,0.014222,26.034444,37.366611,0.308218,-5.057766,9.903201,3.129828
0.200000,0.014222,26.034444,37.366611,0.000000,-1.541091,17.583372,3.129828
