dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.980707,3.669993,0.037500,0.375000,1.875000,9.375000,3.142278
0.200000,17.869501,3.669699,0.148706,0.556031,0.905153,-4.849234,3.146198
0.200000,17.684130,3.668247,0.334083,0.926885,1.854271,4.745590,3.152631
0.200000,17.424561,3.664235,0.593682,1.297997,1.855558,0.006435,3.161418
0.200000,17.127863,3.656900,0.890471,1.483944,0.929738,-4.629102,3.171145
0.200000,16.831136,3.646726,1.187373,1.484509,0.002825,-4.634565,3.180530
0.200000,16.534400,3.633814,1.484389,1.485082,0.002863,0.000190,3.189569
0.200000,16.237675,3.618266,1.781522,1.485661,0.002895,0.000161,3.198256
0.200000,15.940976,3.600187,2.078771,1.486246,0.002925,0.000148,3.206590
0.200000,15.644317,3.579680,2.376138,1.486836,0.002950,0.000128,3.214566
0.200000,15.347708,3.556853,2.673624,1.487430,0.002970,0.000099,3.222182
0.200000,15.051158,3.531810,2.971229,1.488027,0.002986,0.000081,3.229436
0.200000,14.754673,3.504660,3.268955,1.488627,0.003000,0.000068,3.236327
0.200000,14.458258,3.475509,3.566800,1.489229,0.003010,0.000052,3.242853
0.200000,14.161912,3.444466,3.864767,1.489833,0.003018,0.000037,3.249014
0.200000,13.865638,3.411639,4.162854,1.490437,0.003023,0.000026,3.254808
0.200000,13.569432,3.377136,4.461063,1.491043,0.003027,0.000017,3.260236
0.200000,13.273291,3.341066,4.759392,1.491648,0.003028,0.000009,3.265297
0.200000,12.977210,3.303537,5.057843,1.492254,0.003028,-0.000002,3.269990
0.200000,12.681180,3.264656,5.356415,1.492859,0.003027,-0.000002,3.274317
0.200000,12.385194,3.224533,5.655108,1.493464,0.003026,-0.000008,3.278278
0.200000,12.089242,3.183276,5.953922,1.494069,0.003023,-0.000012,3.281872
0.200000,11.793313,3.140993,6.252856,1.494673,0.003020,-0.000017,3.285100
0.200000,11.497395,3.097791,6.551912,1.495277,0.003017,-0.000014,3.287962
0.200000,11.201474,3.053778,6.851088,1.495879,0.003014,-0.000015,3.290459
0.200000,10.905537,3.009063,7.150384,1.496482,0.003011,-0.000016,3.292591
0.200000,10.609568,2.963752,7.449801,1.497083,0.003008,-0.000016,3.294359
0.200000,10.313553,2.917954,7.749337,1.497684,0.003005,-0.000012,3.295762
0.200000,10.017476,2.871776,8.048994,1.498285,0.003003,-0.000010,3.296802
0.200000,9.721319,2.825326,8.348772,1.498885,0.003002,-0.000009,3.297477
0.200000,9.425067,2.778710,8.648669,1.499485,0.003000,-0.000006,3.297789
0.200000,9.128703,2.732038,8.948686,1.500085,0.003000,-0.000002,3.297737
0.200000,8.832209,2.685416,9.248823,1.500685,0.003000,-0.000000,3.297322
0.200000,8.535569,2.638952,9.549080,1.501285,0.003000,0.000002,3.296543
0.200000,8.238765,2.592755,9.849457,1.501886,0.003002,0.000007,3.295400
0.200000,7.941782,2.546933,10.149954,1.502486,0.003003,0.000008,3.293893
0.200000,7.644603,2.501595,10.450572,1.503087,0.003005,0.000010,3.292022
0.200000,7.347213,2.456849,10.751310,1.503689,0.003008,0.000012,3.289786
0.200000,7.049596,2.412805,11.052168,1.504291,0.003011,0.000016,3.287185
0.200000,6.751738,2.369572,11.353147,1.504894,0.003014,0.000014,3.284219
0.200000,6.453627,2.327261,11.654246,1.505497,0.003016,0.000013,3.280886
0.200000,6.155248,2.285981,11.955466,1.506101,0.003019,0.000014,3.277188
0.200000,5.856592,2.245843,12.256807,1.506706,0.003022,0.000015,3.273124
0.200000,5.557649,2.206959,12.558269,1.507310,0.003025,0.000011,3.268692
0.200000,5.258408,2.169440,12.859853,1.507916,0.003025,0.000005,3.263894
0.200000,4.958865,2.133397,13.161557,1.508521,0.003026,0.000003,3.258729
0.200000,4.659013,2.098943,13.463382,1.509126,0.003025,-0.000003,3.253197
0.200000,4.358848,2.066191,13.765328,1.509730,0.003023,-0.000010,3.247298
0.200000,4.058370,2.035252,14.067395,1.510334,0.003019,-0.000022,3.241034
0.200000,3.757579,2.006239,14.369582,1.510937,0.003013,-0.000030,3.234404
0.200000,3.456477,1.979266,14.671890,1.511538,0.003005,-0.000042,3.227409
0.200000,3.155070,1.954444,14.974317,1.512136,0.002993,-0.000059,3.220052
0.200000,2.853366,1.931886,15.276863,1.512732,0.002979,-0.000071,3.212333
0.200000,2.551374,1.911704,15.579528,1.513324,0.002961,-0.000087,3.204255
0.200000,2.249109,1.894009,15.882311,1.513912,0.002940,-0.000106,3.195821
0.200000,1.946587,1.878912,16.185210,1.514495,0.002913,-0.000137,3.187033
0.200000,1.643826,1.866522,16.488224,1.515071,0.002882,-0.000153,3.177896
0.200000,1.340849,1.856948,16.791352,1.515641,0.002849,-0.000168,3.168413
0.200000,1.037681,1.850296,17.094593,1.516203,0.002809,-0.000199,3.158589
0.200000,0.743697,1.846738,17.388598,1.470028,-0.230872,-1.168402,3.148749
0.200000,0.496876,1.846016,17.635421,1.234113,-1.179578,-4.743534,3.140252
0.200000,0.325875,1.846758,17.806424,0.855013,-1.895498,-3.579600,3.134240
0.200000,0.230742,1.847618,17.901561,0.475685,-1.896639,-0.005704,3.130853
0.200000,0.202146,1.847940,17.930158,0.142989,-1.663481,1.165790,3.129828
0.200000,0.202146,1.847940,17.930158,0.000000,-0.714945,4.742680,3.129828
