dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.980481,3.999993,0.037500,0.375000,1.875000,9.375000,3.142278
0.200000,17.867981,3.999695,0.150000,0.750000,1.875000,0.000000,3.146198
0.200000,17.680487,3.998227,0.337500,1.125000,1.875000,0.000000,3.152631
0.200000,17.418019,3.994170,0.600000,1.500000,1.875000,0.000000,3.161418
0.200000,17.118112,3.986756,0.900000,1.500000,0.000000,-9.375000,3.171145
0.200000,16.818289,3.976476,1.200000,1.500000,0.000000,0.000000,3.180530
0.200000,16.518574,3.963434,1.500000,1.500000,0.000000,0.000000,3.189569
0.200000,16.218986,3.947737,1.800000,1.500000,0.000000,0.000000,3.198256
0.200000,15.919542,3.929490,2.100000,1.500000,0.000000,0.000000,3.206590
0.200000,15.620257,3.908802,2.400000,1.500000,0.000000,0.000000,3.214566
0.200000,15.321143,3.885782,2.700000,1.500000,0.000000,0.000000,3.222182
0.200000,15.022207,3.860538,3.000000,1.500000,0.000000,0.000000,3.229436
0.200000,14.723458,3.833180,3.300000,1.500000,0.000000,0.000000,3.236327
0.200000,14.424899,3.803819,3.600000,1.500000,0.000000,0.000000,3.242853
0.200000,14.126532,3.772564,3.900000,1.500000,0.000000,0.000000,3.249014
0.200000,13.828357,3.739527,4.200000,1.500000,0.000000,0.000000,3.254808
0.200000,13.530372,3.704817,4.500000,1.500000,0.000000,0.000000,3.260236
0.200000,13.232573,3.668544,4.800000,1.500000,0.000000,0.000000,3.265297
0.200000,12.934955,3.630820,5.100000,1.500000,0.000000,0.000000,3.269990
0.200000,12.637509,3.591754,5.400000,1.500000,0.000000,0.000000,3.274317
0.200000,12.340228,3.551456,5.700000,1.500000,0.000000,0.000000,3.278278
0.200000,12.043102,3.510035,6.000000,1.500000,0.000000,0.000000,3.281872
0.200000,11.746118,3.467600,6.300000,1.500000,0.000000,0.000000,3.285100
0.200000,11.449265,3.424262,6.600000,1.500000,0.000000,0.000000,3.287962
0.200000,11.152529,3.380128,6.900000,1.500000,0.000000,0.000000,3.290459
0.200000,10.855896,3.335308,7.200000,1.500000,0.000000,0.000000,3.292591
0.200000,10.559351,3.289909,7.500000,1.500000,0.000000,0.000000,3.294359
0.200000,10.262879,3.244040,7.800000,1.500000,0.000000,0.000000,3.295762
0.200000,9.966462,3.197809,8.100000,1.500000,0.000000,0.000000,3.296802
0.200000,9.670086,3.151324,8.400000,1.500000,0.000000,0.000000,3.297477
0.200000,9.373732,3.104693,8.700000,1.500000,0.000000,0.000000,3.297789
0.200000,9.077384,3.058023,9.000000,1.500000,0.000000,0.000000,3.297737
0.200000,8.781026,3.011422,9.300000,1.500000,0.000000,0.000000,3.297322
0.200000,8.484640,2.964999,9.600000,1.500000,0.000000,0.000000,3.296543
0.200000,8.188209,2.918860,9.900000,1.500000,0.000000,0.000000,3.295400
0.200000,7.891717,2.873114,10.200000,1.500000,0.000000,0.000000,3.293893
0.200000,7.595149,2.827868,10.500000,1.500000,0.000000,0.000000,3.292022
0.200000,7.298488,2.783232,10.800000,1.500000,0.000000,0.000000,3.289786
0.200000,7.001720,2.739314,11.100000,1.500000,0.000000,0.000000,3.287185
0.200000,6.704831,2.696221,11.400000,1.500000,0.000000,0.000000,3.284219
0.200000,6.407808,2.654064,11.700000,1.500000,0.000000,0.000000,3.280886
0.200000,6.110639,2.612952,12.000000,1.500000,0.000000,0.000000,3.277188
0.200000,5.813312,2.572993,12.300000,1.500000,0.000000,0.000000,3.273124
0.200000,5.515819,2.534297,12.600000,1.500000,0.000000,0.000000,3.268692
0.200000,5.218149,2.496975,12.900000,1.500000,0.000000,0.000000,3.263894
0.200000,4.920298,2.461136,13.200000,1.500000,0.000000,0.000000,3.258729
0.200000,4.622260,2.426890,13.500000,1.500000,0.000000,0.000000,3.253197
0.200000,4.324030,2.394349,13.800000,1.500000,0.000000,0.000000,3.247298
0.200000,4.025608,2.363621,14.100000,1.500000,0.000000,0.000000,3.241034
0.200000,3.726995,2.334819,14.400000,1.500000,0.000000,0.000000,3.234404
0.200000,3.428192,2.308051,14.700000,1.500000,0.000000,0.000000,3.227409
0.200000,3.129205,2.283429,15.000000,1.500000,0.000000,0.000000,3.220052
0.200000,2.830041,2.261061,15.300000,1.500000,0.000000,0.000000,3.212333
0.200000,2.530709,2.241056,15.600000,1.500000,0.000000,0.000000,3.204255
0.200000,2.231223,2.223524,15.900000,1.500000,0.000000,0.000000,3.195821
0.200000,1.931597,2.208571,16.200000,1.500000,0.000000,0.000000,3.187033
0.200000,1.631849,2.196304,16.500000,1.500000,0.000000,0.000000,3.177896
0.200000,1.332000,2.186829,16.800000,1.500000,0.000000,0.000000,3.168413
0.200000,1.032073,2.180249,17.100000,1.500000,0.000000,0.000000,3.158589
0.200000,0.741336,2.176730,17.390760,1.407596,-0.462019,-2.310097,3.148749
0.200000,0.497318,2.176016,17.634779,1.032596,-1.875000,-7.064903,3.140252
0.200000,0.328301,2.176749,17.803798,0.657596,-1.875000,0.000000,3.134240
0.200000,0.234286,2.177599,17.897817,0.282596,-1.875000,0.000000,3.130853
0.200000,0.206028,2.177917,17.926077,0.000000,-1.412981,2.310097,3.129828
0.200000,0.206028,2.177917,17.926077,0.000000,0.000000,7.064903,3.129828
