dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.888931,5.083142,0.125000,1.250000,6.250000,31.250000,3.145331
0.200000,17.500119,5.079190,0.513831,1.944157,3.470785,-13.896077,3.158101
0.200000,16.853568,5.061932,1.160613,3.233907,6.448749,14.889823,3.178216
0.200000,15.951935,5.017100,2.063360,4.513734,6.399139,-0.248053,3.203851
0.200000,14.799517,4.928280,3.219196,5.779182,6.327238,-0.359502,3.232352
0.200000,13.402141,4.780551,4.624359,7.025814,6.233159,-0.470396,3.260236
0.200000,11.766378,4.564967,6.274267,8.249539,6.118627,-0.572661,3.283261
0.200000,9.898119,4.283632,8.163590,9.446618,5.985391,-0.666180,3.296496
0.200000,7.928451,3.974902,10.157306,9.968581,2.609817,-16.877872,3.294960
0.200000,6.099874,3.704992,12.005696,9.241950,-3.633154,-31.214855,3.278946
0.200000,4.524088,3.506025,13.593994,7.941490,-6.502299,-14.345723,3.253636
0.200000,3.196910,3.375746,14.927551,6.667782,-6.368542,0.668787,3.223956
0.200000,2.115990,3.302261,16.010966,5.417077,-6.253524,0.575087,3.194137
0.200000,1.279622,3.269173,16.847988,4.185112,-6.159827,0.468483,3.167633
0.200000,0.686243,3.259753,17.441443,2.967271,-6.089205,0.353112,3.147054
0.200000,0.334441,3.260083,17.793245,1.759010,-6.041301,0.239519,3.134172
0.200000,0.218772,3.261192,17.908919,0.578370,-5.903204,0.690488,3.129828
0.200000,0.218772,3.261192,17.908919,0.000000,-2.891848,15.056781,3.129828
