dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.852916,2.918752,0.125000,1.250000,6.250000,31.250000,3.112821
0.200000,17.368189,2.957250,0.611253,2.431267,5.906334,-1.718330,3.009929
0.200000,16.549212,3.149188,1.452422,4.205841,8.872873,14.832694,2.809081
0.200000,15.494954,3.700012,2.641903,5.947408,8.707832,-0.825206,2.514781
0.200000,14.485197,4.680524,4.049388,7.037425,5.450087,-16.288725,2.250176
0.200000,13.633351,5.892577,5.530844,7.407280,1.849276,-18.004054,2.151302
0.200000,12.779959,7.053783,6.971913,7.205343,-1.009684,-14.294800,2.319508
0.200000,11.590147,7.840764,8.398444,7.132655,-0.363443,3.231205,2.714225
0.200000,10.009232,8.374037,10.066878,8.342173,6.047591,32.055173,2.910671
0.200000,8.525004,8.617954,11.571015,7.520681,-4.107458,-50.775248,3.037843
0.200000,7.209363,8.705357,12.889557,6.592710,-4.639857,-2.661995,3.106265
0.200000,6.098573,8.726002,14.000538,5.554905,-5.189026,-2.745843,3.135714
0.200000,5.213034,8.727144,14.886078,4.427700,-5.636025,-2.234994,3.142529
0.200000,4.566015,8.727371,15.533097,3.235096,-5.963021,-1.634980,3.138750
0.200000,4.166702,8.729596,15.932416,1.996598,-6.192488,-1.147338,3.132846
0.200000,4.020720,8.731075,16.078405,0.729945,-6.333264,-0.703877,3.130018
0.200000,4.011553,8.731182,16.087573,0.045839,-3.420531,14.563664,3.129828
0.200000,4.011553,8.731182,16.087573,0.000000,-0.229195,15.956677,3.129828
