dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.973850,4.330090,0.037500,0.375000,1.875000,9.375000,3.134668
0.200000,17.870695,4.332249,0.140678,0.515891,0.704453,-5.852735,3.106429
0.200000,17.700044,4.342476,0.311635,0.854785,1.694472,4.950093,3.056352
0.200000,17.464579,4.371526,0.548885,1.186249,1.657320,-0.185758,2.980014
0.200000,17.201929,4.427094,0.817349,1.342323,0.780370,-4.384749,2.884761
0.200000,16.947979,4.507637,1.083766,1.332081,-0.051211,-4.157905,2.783340
0.200000,16.704339,4.613558,1.349434,1.328343,-0.018688,0.162615,2.679669
0.200000,16.472132,4.744349,1.615942,1.332539,0.020978,0.198327,2.578522
0.200000,16.251911,4.898577,1.884798,1.344279,0.058700,0.188610,2.484448
0.200000,16.043633,5.074017,2.157119,1.361606,0.086637,0.139689,2.400814
0.200000,15.846679,5.267927,2.433510,1.381957,0.101755,0.075587,2.329451
0.200000,15.659907,5.477375,2.714139,1.403142,0.105925,0.020852,2.270871
0.200000,15.481753,5.699517,2.998894,1.423777,0.103173,-0.013760,2.224751
0.200000,15.310349,5.931764,3.287543,1.443243,0.097330,-0.029214,2.190396
0.200000,15.143619,6.171840,3.579836,1.461468,0.091126,-0.031020,2.167063
0.200000,14.979340,6.417753,3.875574,1.478688,0.086099,-0.025138,2.154152
0.200000,14.815174,6.667725,4.174633,1.495297,0.083048,-0.015254,2.151302
0.200000,14.648659,6.920092,4.476985,1.511759,0.082308,-0.003698,2.158431
0.200000,14.477195,7.173189,4.782694,1.528544,0.083926,0.008090,2.175742
0.200000,14.298021,7.425206,5.091912,1.546092,0.087738,0.019058,2.203706
0.200000,14.108226,7.674031,5.404859,1.564737,0.093228,0.027452,2.243002
0.200000,13.904809,7.917054,5.721780,1.584601,0.099319,0.030455,2.294381
0.200000,13.684868,8.150974,6.042860,1.605403,0.104009,0.023449,2.358428
0.200000,13.445949,8.371659,6.368105,1.626226,0.104116,0.000533,2.435171
0.200000,13.186598,8.574204,6.697175,1.645347,0.095607,-0.042542,2.523587
0.200000,12.906983,8.753337,7.029250,1.660375,0.075136,-0.102356,2.621184
0.200000,12.641732,8.898646,7.331694,1.512222,-0.740762,-4.079491,2.657199
0.200000,12.363789,9.038861,7.643001,1.556536,0.221572,4.811670,2.691511
0.200000,12.081311,9.169455,7.954206,1.556025,-0.002556,-1.120640,2.725511
0.200000,11.794744,9.290374,8.265241,1.555172,-0.004268,-0.008556,2.758993
0.200000,11.504548,9.401648,8.576039,1.553989,-0.005911,-0.008214,2.791756
0.200000,11.211190,9.503387,8.886539,1.552499,-0.007451,-0.007702,2.823613
0.200000,10.915126,9.595780,9.196684,1.550726,-0.008865,-0.007072,2.854394
0.200000,10.616799,9.679090,9.506425,1.548705,-0.010105,-0.006199,2.883947
0.200000,10.316624,9.753641,9.815719,1.546472,-0.011166,-0.005304,2.912143
0.200000,10.014985,9.819815,10.124532,1.544063,-0.012043,-0.004387,2.938876
0.200000,9.712230,9.878040,10.432835,1.541516,-0.012738,-0.003475,2.964061
0.200000,9.408668,9.928778,10.740608,1.538864,-0.013261,-0.002614,2.987637
0.200000,9.104570,9.972519,11.047835,1.536138,-0.013630,-0.001845,3.009557
0.200000,8.800168,10.009773,11.354508,1.533365,-0.013865,-0.001173,3.029794
0.200000,8.495658,10.041061,11.660622,1.530567,-0.013987,-0.000612,3.048333
0.200000,8.191201,10.066911,11.966174,1.527763,-0.014020,-0.000163,3.065170
0.200000,7.886927,10.087852,12.271168,1.524967,-0.013983,0.000181,3.080310
0.200000,7.582941,10.104411,12.575605,1.522187,-0.013899,0.000423,3.093764
0.200000,7.279320,10.117110,12.879491,1.519431,-0.013781,0.000588,3.105545
0.200000,6.976124,10.126466,13.182831,1.516701,-0.013647,0.000672,3.115671
0.200000,6.673394,10.132989,13.485631,1.513999,-0.013509,0.000691,3.124158
0.200000,6.371159,10.137181,13.787896,1.511324,-0.013377,0.000658,3.131023
0.200000,6.069434,10.139537,14.089630,1.508672,-0.013262,0.000576,3.136280
0.200000,5.768228,10.140546,14.390838,1.506039,-0.013165,0.000485,3.139940
0.200000,5.467544,10.140692,14.691522,1.503419,-0.013097,0.000343,3.142012
0.200000,5.167382,10.140453,14.991683,1.500808,-0.013057,0.000195,3.142502
0.200000,4.867743,10.140304,15.291323,1.498198,-0.013049,0.000043,3.141410
0.200000,4.575674,10.140700,15.583392,1.460343,-0.189276,-0.881135,3.138815
0.200000,4.328445,10.141783,15.830624,1.236160,-1.120915,-4.658195,3.135427
0.200000,4.156094,10.143098,16.002979,0.861778,-1.871910,-3.754975,3.132414
0.200000,4.058392,10.144088,16.100686,0.488536,-1.866208,0.028509,3.130466
0.200000,4.028179,10.144434,16.130901,0.151073,-1.687317,0.894458,3.129828
0.200000,4.028179,10.144434,16.130901,0.000000,-0.755365,4.659760,3.129828
