dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.875239,2.917623,0.125000,1.250000,6.250000,31.250000,3.125894
0.200000,17.435642,2.937473,0.565045,2.200226,4.751129,-7.494357,3.065789
0.200000,16.685916,3.039108,1.321628,3.782914,7.913444,15.811575,2.943898
0.200000,15.624396,3.372913,2.434395,5.563837,8.904611,4.955837,2.722309
0.200000,14.390132,4.193922,3.916780,7.411923,9.240431,1.679100,2.385868
0.200000,13.361428,5.571494,5.636064,8.596419,5.922483,-16.589738,2.060980
0.200000,12.675302,7.246515,7.446165,9.050504,2.270424,-18.260298,1.888005
0.200000,12.115502,9.025814,9.311447,9.326412,1.379541,-4.454412,1.896924
0.200000,11.407457,10.572888,11.012848,8.507003,-4.097047,-27.382941,2.167830
0.200000,10.410169,11.441499,12.335372,6.612623,-9.471898,-26.874254,2.713931
0.200000,8.944197,11.910761,13.874619,7.696232,5.418045,74.449713,2.890343
0.200000,7.579973,12.196725,15.268492,6.969366,-3.634332,-45.261885,2.977179
0.200000,6.418444,12.351971,16.440350,5.859290,-5.550377,-9.580223,3.038418
0.200000,5.477960,12.429228,17.384001,4.718256,-5.705174,-0.773987,3.079648
0.200000,4.768968,12.463601,18.093827,3.549127,-5.845643,-0.702344,3.105992
0.200000,4.297401,12.476707,18.565576,2.358746,-5.951904,-0.531306,3.121343
0.200000,4.066525,12.480578,18.796484,1.154542,-6.021021,-0.345582,3.128244
0.200000,4.011553,12.481268,18.851460,0.274880,-4.398309,8.113560,3.129828
0.200000,4.011553,12.481268,18.851460,0.000000,-1.374401,15.119536,3.129828
