dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.909253,5.084056,0.125000,1.250000,6.250000,31.250000,3.125894
0.200000,17.599728,5.097951,0.434837,1.549183,1.495917,-23.770417,3.065789
0.200000,17.111477,5.163605,0.927482,2.463225,4.570211,15.371470,2.943898
0.200000,16.506473,5.351935,1.561120,3.168193,3.524838,-5.226861,2.722309
0.200000,15.876089,5.770792,2.317973,3.784261,3.080342,-2.222484,2.385868
0.200000,15.272991,6.591550,3.336487,5.092570,6.541542,17.306003,2.060980
0.200000,14.733905,7.922344,4.772323,7.179181,10.433055,19.457566,1.888005
0.200000,14.167995,9.719975,6.656927,9.423021,11.219198,3.930713,1.896924
0.200000,13.199334,11.790988,8.943278,11.431754,10.043667,-5.877656,2.167830
0.200000,11.308795,13.413062,11.434314,12.455181,5.117138,-24.632645,2.713931
0.200000,9.482870,14.009432,13.355163,9.604243,-14.254692,-96.859151,2.890343
0.200000,7.934606,14.334206,14.937123,7.909801,-8.472210,28.912413,2.977179
0.200000,6.641596,14.507149,16.241647,6.522622,-6.935893,7.681586,3.038418
0.200000,5.612089,14.591772,17.274626,5.164894,-6.788645,0.736240,3.079648
0.200000,4.846088,14.628928,18.041528,3.834509,-6.651922,0.683615,3.105992
0.200000,4.341272,14.642962,18.546539,2.525056,-6.547268,0.523269,3.121343
0.200000,4.095446,14.647085,18.792400,1.229303,-6.478765,0.342516,3.128244
0.200000,4.037042,14.647818,18.850808,0.292045,-4.686290,8.962372,3.129828
0.200000,4.037042,14.647818,18.850808,0.000000,-1.460224,16.130333,3.129828
