dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.892099,2.917033,0.125000,1.250000,6.250000,31.250000,3.134469
0.200000,17.486223,2.925629,0.530966,2.029832,3.899160,-11.754201,3.105877
0.200000,16.802485,2.968530,1.216050,3.425416,6.977923,15.393815,3.050335
0.200000,15.829681,3.104415,2.198298,4.911241,7.429122,2.255999,2.950963
0.200000,14.561010,3.463527,3.516815,6.592586,8.406726,4.888020,2.770679
0.200000,13.075912,4.322911,5.232641,8.579129,9.932712,7.629929,2.449177
0.200000,11.804849,5.951510,7.298540,10.329494,8.751824,-5.904440,2.027751
0.200000,11.175115,8.046833,9.486447,10.939538,3.050224,-28.508001,1.731446
0.200000,10.977841,10.154551,11.603378,10.584654,-1.774423,-24.123234,1.622524
0.200000,10.864884,12.112901,13.564983,9.808023,-3.883155,-10.543660,1.657853
0.200000,10.565339,13.861451,15.339005,8.870112,-4.689552,-4.031986,1.863596
0.200000,9.878311,15.202225,16.845551,7.532730,-6.686913,-9.986804,2.237473
0.200000,8.927930,15.975231,18.070607,6.125282,-7.037239,-1.751632,2.699156
0.200000,7.835233,16.267929,19.201828,5.656101,-2.345902,23.456684,3.022577
0.200000,6.745412,16.313036,20.292582,5.453772,-1.011648,6.671273,3.156437
0.200000,5.796069,16.278123,21.242567,4.749922,-3.519248,-12.538000,3.190177
0.200000,5.047368,16.244244,21.992034,3.747335,-5.012934,-7.468432,3.178280
0.200000,4.533153,16.231377,22.506410,2.571881,-5.877271,-4.321684,3.152612
0.200000,4.277087,16.230784,22.762476,1.280333,-6.457744,-2.902362,3.134624
0.200000,4.216103,16.231354,22.823463,0.304933,-4.876997,7.903733,3.129828
0.200000,4.216103,16.231354,22.823463,0.000000,-1.524666,16.761656,3.129828
