dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.987602,4.330006,0.037500,0.375000,1.875000,9.375000,3.140701
0.200000,17.877764,4.330543,0.147339,0.549197,0.870986,-5.020071,3.132659
0.200000,17.694908,4.333445,0.330219,0.914399,1.826007,4.775107,3.118657
0.200000,17.439475,4.341947,0.585794,1.277872,1.817368,-0.043195,3.097697
0.200000,17.148563,4.358471,0.877175,1.456905,0.895161,-4.611034,3.071593
0.200000,16.859069,4.382878,1.167695,1.452603,-0.021510,-4.583355,3.042902
0.200000,16.571405,4.415882,1.457246,1.447757,-0.024227,-0.013586,3.011276
0.200000,16.286089,4.458270,1.745694,1.442239,-0.027592,-0.016827,2.976324
0.200000,16.003738,4.510898,2.032908,1.436067,-0.030857,-0.016324,2.937613
0.200000,15.725137,4.574679,2.318716,1.429043,-0.035122,-0.021323,2.894681
0.200000,15.451202,4.650579,2.602972,1.421276,-0.038834,-0.018561,2.847052
0.200000,15.183036,4.739582,2.885522,1.412754,-0.042613,-0.018893,2.794277
0.200000,14.921917,4.842653,3.166247,1.403624,-0.045648,-0.015179,2.735997
0.200000,14.669287,4.960683,3.445089,1.394212,-0.047062,-0.007071,2.672026
0.200000,14.426718,5.094416,3.722081,1.384958,-0.046266,0.003984,2.602473
0.200000,14.195831,5.244372,3.997391,1.376550,-0.042041,0.021121,2.527853
0.200000,13.978192,5.410775,4.271356,1.369824,-0.033629,0.042063,2.449177
0.200000,13.775192,5.593496,4.544478,1.365612,-0.021064,0.062825,2.367960
0.200000,13.587933,5.792024,4.817387,1.364545,-0.005332,0.078661,2.286098
0.200000,13.417134,6.005474,5.090761,1.366867,0.011611,0.084716,2.205637
0.200000,13.263088,6.232641,5.365233,1.372360,0.027462,0.079253,2.128488
0.200000,13.125660,6.472084,5.641312,1.380395,0.040178,0.063580,2.056184
0.200000,13.004323,6.722238,5.919340,1.390139,0.048718,0.042699,1.989758
0.200000,12.898235,6.981526,6.199492,1.400760,0.053107,0.021947,1.929740
0.200000,12.806321,7.248457,6.481805,1.411564,0.054020,0.004566,1.876246
0.200000,12.727357,7.521691,6.766219,1.422074,0.052550,-0.007354,1.829098
0.200000,12.660054,7.800068,7.052617,1.431986,0.049557,-0.014964,1.787939
0.200000,12.603108,8.082621,7.340851,1.441172,0.045930,-0.018132,1.752330
0.200000,12.555244,8.368559,7.630767,1.449582,0.042053,-0.019385,1.721810
0.200000,12.515238,8.657255,7.922223,1.457276,0.038467,-0.017931,1.695941
0.200000,12.481928,8.948215,8.215083,1.464303,0.035134,-0.016665,1.674323
0.200000,12.454215,9.241058,8.509235,1.470758,0.032275,-0.014294,1.656612
0.200000,12.431062,9.535497,8.804582,1.476739,0.029904,-0.011860,1.642521
0.200000,12.411481,9.831317,9.101050,1.482336,0.027989,-0.009575,1.631819
0.200000,12.394527,10.128362,9.398578,1.487639,0.026516,-0.007364,1.624329
0.200000,12.379284,10.426520,9.697126,1.492741,0.025510,-0.005030,1.619930
0.200000,12.364854,10.725717,9.996670,1.497722,0.024902,-0.003036,1.618549
