dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.999889,4.330000,0.037500,0.375000,1.875000,9.375000,3.141929
0.200000,17.897125,4.330221,0.140264,0.513820,0.694100,-5.904498,3.137274
0.200000,17.712266,4.331754,0.325129,0.924325,2.052526,6.792127,3.129281
0.200000,17.453676,4.336438,0.583762,1.293167,1.844207,-1.041595,3.117573
0.200000,17.158502,4.345602,0.879078,1.476578,0.917059,-4.635737,3.103391
0.200000,16.863799,4.359072,1.174089,1.475054,-0.007622,-4.623406,3.088277
0.200000,16.569686,4.377122,1.468755,1.473330,-0.008620,-0.004993,3.072141
0.200000,16.276279,4.400049,1.763056,1.471506,-0.009119,-0.002493,3.054880
0.200000,15.983751,4.428175,2.056933,1.469386,-0.010600,-0.007404,3.036382
0.200000,15.692247,4.461852,2.350377,1.467217,-0.010846,-0.001230,3.016518
0.200000,15.401992,4.501461,2.643321,1.464722,-0.012475,-0.008146,2.995147
0.200000,15.113226,4.547415,2.935722,1.462001,-0.013604,-0.005645,2.972111
0.200000,14.826253,4.600155,3.227500,1.458894,-0.015538,-0.009670,2.947236
0.200000,14.541395,4.660164,3.518610,1.455551,-0.016716,-0.005888,2.920328
0.200000,14.259046,4.727955,3.808984,1.451869,-0.018407,-0.008458,2.891178
0.200000,13.979684,4.804069,4.098529,1.447722,-0.020735,-0.011640,2.859563
0.200000,13.703831,4.889082,4.387185,1.443282,-0.022203,-0.007338,2.825244
0.200000,13.432101,4.983590,4.674880,1.438475,-0.024033,-0.009149,2.787980
0.200000,13.165238,5.088186,4.961509,1.433147,-0.026642,-0.013049,2.747541
0.200000,12.904036,5.203474,5.247023,1.427570,-0.027881,-0.006193,2.703717
0.200000,12.649404,5.330026,5.531369,1.421729,-0.029206,-0.006626,2.656347
0.200000,12.402357,5.468350,5.814505,1.415677,-0.030259,-0.005262,2.605353
0.200000,12.163954,5.618889,6.096458,1.409768,-0.029546,0.003566,2.550767
0.200000,11.935322,5.781949,6.377281,1.404113,-0.028277,0.006346,2.492780
0.200000,11.717576,5.957697,6.657103,1.399114,-0.024996,0.016401,2.431769
0.200000,11.511793,6.146111,6.936113,1.395050,-0.020320,0.023381,2.368316
0.200000,11.318933,6.346976,7.214576,1.392313,-0.013684,0.033183,2.303197
0.200000,11.139809,6.559857,7.492792,1.391078,-0.006174,0.037549,2.237345
0.200000,10.975015,6.784132,7.771101,1.391549,0.002354,0.042638,2.171772
0.200000,10.824911,7.019000,8.049838,1.393684,0.010674,0.041603,2.107485
0.200000,10.689604,7.263525,8.329303,1.397322,0.018192,0.037590,2.045394
0.200000,10.568954,7.516684,8.609742,1.402197,0.024374,0.030906,1.986245
0.200000,10.462601,7.777423,8.891336,1.407973,0.028880,0.022534,1.930583
0.200000,10.370000,8.044698,9.174198,1.414310,0.031683,0.014015,1.878749
0.200000,10.290462,8.317521,9.458380,1.420906,0.032982,0.006491,1.830899
0.200000,10.223200,8.594990,9.743884,1.427523,0.033086,0.000522,1.787041
0.200000,10.167368,8.876293,10.030675,1.433951,0.032141,-0.004725,1.747073
0.200000,10.122096,9.160735,10.318696,1.440109,0.030789,-0.006761,1.710820
0.200000,10.086515,9.447716,10.607875,1.445892,0.028913,-0.009379,1.678063
0.200000,10.059778,9.736736,10.898129,1.451274,0.026912,-0.010006,1.648566
0.200000,10.041069,10.027387,11.189382,1.456260,0.024931,-0.009902,1.622087
0.200000,10.029614,10.319337,11.481556,1.460872,0.023056,-0.009378,1.598395
0.200000,10.024684,10.612320,11.774581,1.465126,0.021272,-0.008921,1.577270
0.200000,10.025594,10.906124,12.068387,1.469028,0.019513,-0.008792,1.558515
0.200000,10.031702,11.200591,12.362916,1.472649,0.018101,-0.007060,1.541950
0.200000,10.042410,11.495598,12.658118,1.476006,0.016787,-0.006570,1.527414
0.200000,10.057153,11.791056,12.953943,1.479128,0.015611,-0.005882,1.514769
0.200000,10.075404,12.086903,13.250353,1.482050,0.014608,-0.005015,1.503894
0.200000,10.096661,12.383102,13.547314,1.484802,0.013760,-0.004238,1.494686
0.200000,10.120450,12.679632,13.844796,1.487412,0.013052,-0.003542,1.487058
0.200000,10.146318,12.976488,14.142777,1.489906,0.012468,-0.002916,1.480940
0.200000,10.173830,13.273678,14.441238,1.492305,0.011996,-0.002360,1.476275
0.200000,10.202562,13.571220,14.740164,1.494628,0.011616,-0.001903,1.473020
0.200000,10.232101,13.869141,15.039546,1.496910,0.011407,-0.001043,1.471146
0.200000,10.262040,14.167475,15.339378,1.499160,0.011253,-0.000771,1.470636
0.200000,10.291972,14.466259,15.639658,1.501403,0.011213,-0.000200,1.471485
0.200000,10.321492,14.765539,15.940390,1.503659,0.011278,0.000327,1.473701
0.200000,10.350185,15.065358,16.241579,1.505944,0.011430,0.000757,1.477304
0.200000,10.377628,15.365764,16.543236,1.508286,0.011709,0.001397,1.482327
0.200000,10.403384,15.666806,16.845378,1.510708,0.012109,0.001996,1.488816
0.200000,10.426997,15.968528,17.148023,1.513223,0.012574,0.002327,1.496830
0.200000,10.447989,16.270973,17.451195,1.515861,0.013190,0.003083,1.506445
0.200000,10.465850,16.574177,17.754924,1.518649,0.013938,0.003739,1.517751
0.200000,10.480040,16.878168,18.059247,1.521613,0.014821,0.004413,1.530856
0.200000,10.489977,17.182963,18.364203,1.524781,0.015840,0.005097,1.545883
0.200000,10.495032,17.488557,18.669839,1.528182,0.017005,0.005824,1.562979
0.200000,10.494524,17.794933,18.976215,1.531880,0.018490,0.007425,1.582307
0.200000,10.487712,18.102025,19.283383,1.535838,0.019791,0.006506,1.604052
0.200000,10.473788,18.409745,19.591418,1.540177,0.021696,0.009525,1.628418
0.200000,10.451874,18.717937,19.900388,1.544849,0.023359,0.008313,1.655628
0.200000,10.421015,19.026380,20.210371,1.549915,0.025329,0.009851,1.685915
0.200000,10.380181,19.334764,20.521446,1.555376,0.027306,0.009886,1.719521
0.200000,10.328275,19.642662,20.833689,1.561213,0.029187,0.009403,1.756681
0.200000,10.264141,19.949516,21.147174,1.567423,0.031048,0.009304,1.797605
0.200000,10.186596,20.254586,21.461945,1.573855,0.032161,0.005566,1.842452
0.200000,10.094466,20.556950,21.778034,1.580445,0.032947,0.003930,1.891301
0.200000,9.986647,20.855466,22.095424,1.586950,0.032529,-0.002091,1.944111
0.200000,9.862182,21.148775,22.414049,1.593126,0.030876,-0.008264,2.000682
0.200000,9.720349,21.435327,22.733781,1.598659,0.027669,-0.016038,2.060623
0.200000,9.560750,21.713427,23.054423,1.603212,0.022764,-0.024525,2.123339
0.200000,9.383394,21.981333,23.375716,1.606464,0.016258,-0.032526,2.188036
0.200000,9.188728,22.237368,23.697350,1.608169,0.008527,-0.038658,2.253774
0.200000,8.977635,22.480049,24.018993,1.608216,0.000236,-0.041452,2.319537
0.200000,8.751373,22.708198,24.340313,1.606601,-0.008075,-0.041555,2.384322
0.200000,8.511460,22.921023,24.661020,1.603535,-0.015332,-0.036285,2.447233
0.200000,8.259565,23.118132,24.980869,1.599242,-0.021465,-0.030667,2.507536
0.200000,8.011217,23.292700,25.284432,1.517814,-0.407142,-1.928384,2.545162
0.200000,7.751802,23.462963,25.594731,1.551498,0.168423,2.877826,2.576412
0.200000,7.487176,23.625037,25.905045,1.551569,0.000356,-0.840338,2.607704
0.200000,7.217641,23.778745,26.215328,1.551414,-0.000777,-0.005664,2.638903
0.200000,6.943526,23.923965,26.525534,1.551031,-0.001916,-0.005695,2.669868
0.200000,6.665179,24.060623,26.835618,1.550420,-0.003053,-0.005683,2.700462
0.200000,6.382964,24.188702,27.145537,1.549594,-0.004133,-0.005402,2.730554
0.200000,6.097250,24.308239,27.455249,1.548561,-0.005162,-0.005143,2.760020
0.200000,5.808406,24.419324,27.764717,1.547341,-0.006102,-0.004700,2.788743
0.200000,5.516796,24.522096,28.073908,1.545952,-0.006945,-0.004218,2.816624
0.200000,5.222770,24.616740,28.382791,1.544416,-0.007680,-0.003673,2.843571
0.200000,4.926663,24.703482,28.691342,1.542755,-0.008304,-0.003121,2.869509
0.200000,4.628788,24.782583,28.999540,1.540992,-0.008815,-0.002553,2.894377
0.200000,4.329437,24.854333,29.307370,1.539149,-0.009215,-0.002001,2.918126
0.200000,4.028876,24.919048,29.614819,1.537247,-0.009513,-0.001493,2.940720
0.200000,3.727345,24.977060,29.921880,1.535303,-0.009717,-0.001017,2.962133
0.200000,3.425060,25.028717,30.228547,1.533336,-0.009838,-0.000606,2.982352
0.200000,3.122210,25.074374,30.534819,1.531358,-0.009889,-0.000256,3.001371
0.200000,2.818963,25.114394,30.840695,1.529382,-0.009878,0.000056,3.019191
0.200000,2.515462,25.149141,31.146179,1.527418,-0.009818,0.000299,3.035819
0.200000,2.211830,25.178979,31.451274,1.525474,-0.009720,0.000489,3.051267
0.200000,1.908170,25.204268,31.755985,1.523555,-0.009595,0.000629,3.065551
0.200000,1.604569,25.225365,32.060318,1.521666,-0.009449,0.000728,3.078688
0.200000,1.301098,25.242624,32.364279,1.519808,-0.009288,0.000807,3.090698
0.200000,0.997813,25.256388,32.667876,1.517984,-0.009123,0.000824,3.101602
0.200000,0.694761,25.266997,32.971114,1.516191,-0.008960,0.000813,3.111419
0.200000,0.419279,25.274188,33.246690,1.377878,-0.691569,-3.413042,3.119422
0.200000,0.209125,25.278259,33.456883,1.050965,-1.634564,-4.714974,3.124947
0.200000,0.074690,25.280275,33.591333,0.672251,-1.893571,-1.295036,3.128220
0.200000,0.015873,25.281021,33.650155,0.294108,-1.890713,0.014290,3.129588
0.200000,0.005360,25.281146,33.660669,0.052572,-1.207679,3.415167,3.129828
0.200000,0.005360,25.281146,33.660669,0.000000,-0.262862,4.724087,3.129828
