dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,14.803952,2.015047,0.123818,1.238176,6.190881,30.954407,2.793140
0.200000,14.489388,2.122980,0.456384,1.662832,2.123278,-20.338018,2.829018
0.200000,13.957255,2.277497,1.010497,2.770565,5.538666,17.076942,2.888916
0.200000,13.197124,2.440522,1.787913,3.887078,5.582566,0.219501,2.971151
0.200000,12.197354,2.561220,2.794942,5.035146,5.740337,0.788852,3.069844
0.200000,10.948024,2.583844,4.044477,6.247675,6.062645,1.611541,3.173136
0.200000,9.442747,2.462684,5.554622,7.550729,6.515271,2.263130,3.264480
0.200000,7.827697,2.209577,7.189385,8.173814,3.115426,-16.999222,3.322937
0.200000,6.338853,1.916930,8.706718,7.586663,-2.935754,-30.255901,3.343270
0.200000,5.066253,1.658568,10.005280,6.492810,-5.469268,-12.667571,3.336983
0.200000,4.018110,1.461146,11.071853,5.332863,-5.799731,-1.652315,3.316238
0.200000,3.204941,1.327750,11.895891,4.120190,-6.063365,-1.318172,3.290781
0.200000,2.637208,1.248747,12.469095,2.866020,-6.270853,-1.037437,3.268287
0.200000,2.323010,1.210940,12.785559,1.582321,-6.418492,-0.738194,3.254206
0.200000,2.230135,1.200642,12.879003,0.467220,-5.575505,4.214933,3.249824
0.200000,2.230135,1.200642,12.879003,0.000000,-2.336102,16.197013,3.249824
0.200000,2.230135,1.200642,12.879003,0.000000,0.000000,11.680512,3.249824
