dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,15.543759,4.051533,0.123818,1.238176,6.190881,30.954407,2.793140
0.200000,15.155669,4.184693,0.534116,2.051494,4.066588,-10.621468,2.829018
0.200000,14.498921,4.375397,1.217992,3.419380,6.839429,13.864206,2.888916
0.200000,13.564635,4.575826,2.173535,4.777713,6.791666,-0.238817,2.971151
0.200000,12.352679,4.722345,3.394315,6.103903,6.630952,-0.803567,3.069844
0.200000,10.879690,4.749466,4.867554,7.366193,6.311448,-1.597520,3.173136
0.200000,9.177157,4.613044,6.575544,8.539949,5.868781,-2.213336,3.264480
0.200000,7.436929,4.340748,8.336947,8.807015,1.335330,-22.667255,3.322937
0.200000,5.904834,4.039715,9.898336,7.806944,-5.000356,-31.678431,3.343270
0.200000,4.645589,3.784040,11.183274,6.424694,-6.911247,-9.554456,3.336983
0.200000,3.641628,3.594887,12.204899,5.108124,-6.582854,1.641968,3.316238
0.200000,2.882892,3.470382,12.973783,3.844418,-6.318526,1.321638,3.290781
0.200000,2.363432,3.398081,13.498250,2.622335,-6.110417,1.040545,3.268287
0.200000,2.079526,3.363916,13.784204,1.429772,-5.962816,0.738007,3.254206
0.200000,1.996088,3.354664,13.868154,0.419750,-5.050110,4.563531,3.249824
0.200000,1.996088,3.354664,13.868154,0.000000,-2.098748,14.756807,3.249824
0.200000,1.996088,3.354664,13.868154,0.000000,0.000000,10.493742,3.249824
