dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,15.349823,2.661727,0.037500,0.375000,1.875000,9.375000,2.592948
0.200000,15.246011,2.727440,0.160362,0.614308,1.196541,-3.392293,2.561534
0.200000,15.077651,2.844217,0.365257,1.024474,2.050830,4.271445,2.508749
0.200000,14.852854,3.022223,0.651997,1.433703,2.046143,-0.023438,2.435095
0.200000,14.613178,3.244433,0.978833,1.634178,1.002374,-5.218847,2.353500
0.200000,14.392992,3.483627,1.303941,1.625543,-0.043172,-5.227730,2.277173
0.200000,14.192281,3.736322,1.626649,1.613536,-0.060035,-0.084312,2.208168
0.200000,14.009960,3.999148,1.946521,1.599362,-0.070872,-0.054187,2.147801
0.200000,13.844165,4.269135,2.263351,1.584149,-0.076065,-0.025962,2.096698
0.200000,13.692565,4.543825,2.577097,1.568732,-0.077083,-0.005092,2.054972
0.200000,13.552625,4.821251,2.887820,1.553613,-0.075595,0.007438,2.022438
0.200000,13.421770,5.099850,3.195619,1.538999,-0.073068,0.012635,1.998781
0.200000,13.297482,5.378355,3.500598,1.524894,-0.070525,0.012718,1.983684
0.200000,13.177336,5.655682,3.802832,1.511170,-0.068620,0.009523,1.976913
0.200000,13.059001,5.930840,4.102358,1.497627,-0.067718,0.004510,1.978351
0.200000,12.940230,6.202847,4.399164,1.484033,-0.067966,-0.001237,1.988025
0.200000,12.818850,6.470657,4.693198,1.470167,-0.069334,-0.006842,2.006093
0.200000,12.692750,6.733104,4.984367,1.455844,-0.071613,-0.011395,2.032828
0.200000,12.559898,6.988851,5.272561,1.440973,-0.074355,-0.013708,2.068556
0.200000,12.418364,7.236366,5.557685,1.425618,-0.076774,-0.012095,2.113563
0.200000,12.266384,7.473927,5.839701,1.410083,-0.077678,-0.004521,2.167952
0.200000,12.102439,7.699674,6.118699,1.394987,-0.075480,0.010990,2.231454
0.200000,11.925347,7.911705,6.394957,1.381294,-0.068464,0.035082,2.303217
0.200000,11.734354,8.108227,6.669000,1.370211,-0.055414,0.065248,2.381663
0.200000,11.529206,8.287718,6.941585,1.362925,-0.036431,0.094917,2.464503
0.200000,11.310173,8.449058,7.213626,1.360205,-0.013601,0.114151,2.548979
0.200000,11.079703,8.592638,7.485161,1.357679,-0.012631,0.004849,2.610448
0.200000,10.831235,8.730773,7.769446,1.421421,0.318713,1.656720,2.657989
0.200000,10.576479,8.856930,8.053728,1.421410,-0.000059,-1.593861,2.705539
0.200000,10.315879,8.970962,8.338185,1.422286,0.004380,0.022194,2.752558
0.200000,10.049926,9.072876,8.622996,1.424057,0.008855,0.022374,2.798509
0.200000,9.779143,9.162832,8.908329,1.426667,0.013053,0.020993,2.842881
0.200000,9.504067,9.241142,9.194336,1.430031,0.016818,0.018824,2.885222
0.200000,9.225224,9.308252,9.481141,1.434026,0.019977,0.015795,2.925148
0.200000,8.943118,9.364731,9.768845,1.438520,0.022469,0.012459,2.962358
0.200000,8.658214,9.411246,10.057521,1.443379,0.024295,0.009133,2.996631
0.200000,8.370929,9.448541,10.347217,1.448481,0.025508,0.006064,3.027819
0.200000,8.081622,9.477419,10.637961,1.453720,0.026196,0.003438,3.055839
0.200000,7.790598,9.498723,10.929764,1.459014,0.026468,0.001363,3.080656
0.200000,7.498102,9.513317,11.222624,1.464300,0.026434,-0.000173,3.102275
0.200000,7.204325,9.522082,11.516532,1.469539,0.026194,-0.001201,3.120723
0.200000,6.909408,9.525900,11.811473,1.474707,0.025841,-0.001764,3.136044
0.200000,6.613449,9.525654,12.107432,1.479796,0.025444,-0.001984,3.148283
0.200000,6.316507,9.522226,12.404394,1.484808,0.025061,-0.001913,3.157487
0.200000,6.018611,9.516491,12.702345,1.489755,0.024735,-0.001631,3.163694
0.200000,5.719766,9.509327,13.001276,1.494655,0.024497,-0.001189,3.166933
0.200000,5.419960,9.501611,13.301181,1.499528,0.024364,-0.000663,3.167220
0.200000,5.119171,9.494229,13.602061,1.504397,0.024347,-0.000085,3.164555
0.200000,4.817377,9.488073,13.903918,1.509286,0.024447,0.000497,3.158925
0.200000,4.528790,9.484181,14.192531,1.443062,-0.331121,-1.777841,3.150778
0.200000,4.291566,9.483001,14.429758,1.186138,-1.284620,-4.767494,3.142052
0.200000,4.129909,9.483481,14.591416,0.808290,-1.889242,-3.023110,3.135054
0.200000,4.044224,9.484213,14.677103,0.428437,-1.899264,-0.050110,3.130998
0.200000,4.020415,9.484480,14.700914,0.119052,-1.546922,1.761714,3.129828
0.200000,4.020415,9.484480,14.700914,0.000000,-0.595262,4.758297,3.129828
