dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,15.521928,2.943294,0.037500,0.375000,1.875000,9.375000,2.592948
0.200000,15.426875,3.003462,0.150000,0.750000,1.875000,0.000000,2.561534
0.200000,15.272826,3.110312,0.337500,1.125000,1.875000,0.000000,2.508749
0.200000,15.067081,3.273234,0.600000,1.500000,1.875000,0.000000,2.435095
0.200000,14.847152,3.477149,0.900000,1.500000,0.000000,-9.375000,2.353500
0.200000,14.644029,3.697823,1.200000,1.500000,0.000000,0.000000,2.277173
0.200000,14.457489,3.932700,1.500000,1.500000,0.000000,0.000000,2.208168
0.200000,14.286533,4.179168,1.800000,1.500000,0.000000,0.000000,2.147801
0.200000,14.129573,4.434793,2.100000,1.500000,0.000000,0.000000,2.096698
0.200000,13.984635,4.697433,2.400000,1.500000,0.000000,0.000000,2.054972
0.200000,13.849536,4.965277,2.700000,1.500000,0.000000,0.000000,2.022438
0.200000,13.722005,5.236813,3.000000,1.500000,0.000000,0.000000,1.998781
0.200000,13.599751,5.510769,3.300000,1.500000,0.000000,0.000000,1.983684
0.200000,13.480495,5.786047,3.600000,1.500000,0.000000,0.000000,1.976913
0.200000,13.361971,6.061641,3.900000,1.500000,0.000000,0.000000,1.978351
0.200000,13.241921,6.336572,4.200000,1.500000,0.000000,0.000000,1.988025
0.200000,13.118075,6.609812,4.500000,1.500000,0.000000,0.000000,2.006093
0.200000,12.988149,6.880207,4.800000,1.500000,0.000000,0.000000,2.032828
0.200000,12.849854,7.146412,5.100000,1.500000,0.000000,0.000000,2.068556
0.200000,12.700937,7.406813,5.400000,1.500000,0.000000,0.000000,2.113563
0.200000,12.539274,7.659484,5.700000,1.500000,0.000000,0.000000,2.167952
0.200000,12.363003,7.902174,6.000000,1.500000,0.000000,0.000000,2.231454
0.200000,12.170721,8.132367,6.300000,1.500000,0.000000,0.000000,2.303217
0.200000,11.961682,8.347439,6.600000,1.500000,0.000000,0.000000,2.381663
0.200000,11.735961,8.544920,6.900000,1.500000,0.000000,0.000000,2.464503
0.200000,11.494488,8.722788,7.200000,1.500000,0.000000,0.000000,2.548979
0.200000,11.246854,8.877173,7.500000,1.500000,0.000000,0.000000,2.610448
0.200000,10.984676,9.022930,7.800000,1.500000,0.000000,0.000000,2.657989
0.200000,10.715860,9.156050,8.100000,1.500000,0.000000,0.000000,2.705539
0.200000,10.441046,9.276303,8.400000,1.500000,0.000000,0.000000,2.752558
0.200000,10.160935,9.383644,8.700000,1.500000,0.000000,0.000000,2.798509
0.200000,9.876259,9.478219,9.000000,1.500000,0.000000,0.000000,2.842881
0.200000,9.587745,9.560356,9.300000,1.500000,0.000000,0.000000,2.885222
0.200000,9.296094,9.630553,9.600000,1.500000,0.000000,0.000000,2.925148
0.200000,9.001949,9.689445,9.900000,1.500000,0.000000,0.000000,2.962358
0.200000,8.705884,9.737785,10.200000,1.500000,0.000000,0.000000,2.996631
0.200000,8.408393,9.776408,10.500000,1.500000,0.000000,0.000000,3.027819
0.200000,8.109886,9.806207,10.800000,1.500000,0.000000,0.000000,3.055839
0.200000,7.810695,9.828110,11.100000,1.500000,0.000000,0.000000,3.080656
0.200000,7.511074,9.843062,11.400000,1.500000,0.000000,0.000000,3.102275
0.200000,7.211211,9.852010,11.700000,1.500000,0.000000,0.000000,3.120723
0.200000,6.911239,9.855895,12.000000,1.500000,0.000000,0.000000,3.136044
0.200000,6.611241,9.855647,12.300000,1.500000,0.000000,0.000000,3.148283
0.200000,6.311262,9.852184,12.600000,1.500000,0.000000,0.000000,3.157487
0.200000,6.011318,9.846411,12.900000,1.500000,0.000000,0.000000,3.163694
0.200000,5.711405,9.839221,13.200000,1.500000,0.000000,0.000000,3.166933
0.200000,5.411504,9.831503,13.500000,1.500000,0.000000,0.000000,3.167220
0.200000,5.111594,9.824142,13.800000,1.500000,0.000000,0.000000,3.164555
0.200000,4.811657,9.818023,14.100000,1.500000,0.000000,0.000000,3.158925
0.200000,4.525759,9.814167,14.385924,1.359245,-0.703776,-3.518879,3.150778
0.200000,4.291414,9.813001,14.620273,0.984245,-1.875000,-5.856121,3.142052
0.200000,4.132066,9.813474,14.779622,0.609245,-1.875000,0.000000,3.135054
0.200000,4.047720,9.814195,14.863971,0.234245,-1.875000,0.000000,3.130998
0.200000,4.024297,9.814457,14.887396,0.000000,-1.171224,3.518879,3.129828
0.200000,4.024297,9.814457,14.887396,0.000000,0.000000,5.856121,3.129828
