dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,16.036883,3.899049,0.122172,1.221719,6.108597,30.542985,2.569330
0.200000,15.830179,4.047807,0.376839,1.273334,0.258073,-29.252621,2.466192
0.200000,15.516581,4.345646,0.809333,2.162474,4.445699,20.938130,2.302002
0.200000,15.127819,4.875792,1.466746,3.287061,5.622935,5.886180,2.120267
0.200000,14.686694,5.732570,2.430416,4.818351,7.656449,10.167572,1.995422
0.200000,14.146207,6.967194,3.778163,6.738735,9.601923,9.727371,1.999005
0.200000,13.228749,8.553604,5.610764,9.163007,12.121358,12.597173,2.228393
0.200000,11.643129,9.898419,7.689878,10.395570,6.162814,-29.792723,2.634171
0.200000,10.035264,10.560998,9.428913,8.695173,-8.501984,-73.323989,2.863530
0.200000,8.647668,10.838843,10.844053,7.075701,-8.097356,2.023141,3.017198
0.200000,7.553536,10.925579,11.941617,5.487822,-7.939395,0.789807,3.102283
0.200000,6.748212,10.939565,12.747063,4.027226,-7.302984,3.182051,3.143012
0.200000,6.213460,10.934038,13.281843,2.673905,-6.766605,2.681899,3.159400
0.200000,5.935351,10.928326,13.560011,1.390837,-6.415337,1.756337,3.164457
0.200000,5.859069,10.926543,13.636314,0.381514,-5.046617,6.843601,3.165420
0.200000,5.859069,10.926543,13.636314,0.000000,-1.907569,15.695239,3.165420
0.200000,5.859069,10.926543,13.636314,0.000000,0.000000,9.537846,3.165420
