dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,14.637886,2.247050,0.125000,1.250000,6.250000,31.250000,2.620419
0.200000,14.230166,2.508893,0.609559,2.422796,5.863978,-1.930108,2.519097
0.200000,13.599218,3.062243,1.448780,4.196104,8.866539,15.012804,2.320071
0.200000,12.925599,4.051514,2.645617,5.984186,8.940410,0.369355,2.018766
0.200000,12.514071,5.433748,4.087812,7.210977,6.133957,-14.032269,1.720992
0.200000,12.435418,6.992237,5.648285,7.802363,2.956933,-15.885119,1.547971
0.200000,12.508030,8.629839,7.287496,8.196055,1.968455,-4.942387,1.534809
0.200000,12.423631,10.235765,8.895638,8.040708,-0.776732,-13.725936,1.777580
0.200000,11.809392,11.373417,10.188519,6.464408,-7.881501,-35.523845,2.408691
0.200000,10.523346,12.030869,11.632873,7.221770,3.786808,58.341546,2.835111
0.200000,9.019795,12.362207,13.172500,7.698134,2.381821,-7.024939,3.004481
0.200000,7.654869,12.477753,14.542307,6.849036,-4.245489,-33.136549,3.101059
0.200000,6.476633,12.496789,15.720697,5.891949,-4.785434,-2.699723,3.143970
0.200000,5.512821,12.487849,16.684551,4.819268,-5.363405,-2.889857,3.154226
0.200000,4.781431,12.480090,17.415981,3.657155,-5.810567,-2.235807,3.148260
0.200000,4.295397,12.479133,17.902017,2.430178,-6.134885,-1.621592,3.138043
0.200000,4.063289,12.480701,18.134130,1.160567,-6.348056,-1.065853,3.131448
0.200000,4.011553,12.481268,18.185869,0.258694,-4.509365,9.193452,3.129828
0.200000,4.011553,12.481268,18.185869,0.000000,-1.293468,16.079485,3.129828
