dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,15.253632,3.143829,0.037500,0.375000,1.875000,9.375000,2.641935
0.200000,15.155644,3.199084,0.150000,0.750000,1.875000,0.000000,2.614126
0.200000,14.995987,3.297369,0.337500,1.125000,1.875000,0.000000,2.564822
0.200000,14.781453,3.448523,0.600000,1.500000,1.875000,0.000000,2.489603
0.200000,14.551779,3.641352,0.900000,1.500000,0.000000,-9.375000,2.395407
0.200000,14.342057,3.855687,1.200000,1.500000,0.000000,0.000000,2.294309
0.200000,14.155542,4.090483,1.500000,1.500000,0.000000,0.000000,2.189617
0.200000,13.994594,4.343493,1.800000,1.500000,0.000000,0.000000,2.085592
0.200000,13.860205,4.611570,2.100000,1.500000,0.000000,0.000000,1.986538
0.200000,13.751869,4.891215,2.400000,1.500000,0.000000,0.000000,1.895873
0.200000,13.667821,5.179117,2.700000,1.500000,0.000000,0.000000,1.815632
0.200000,13.605485,5.472508,3.000000,1.500000,0.000000,0.000000,1.746530
0.200000,13.561919,5.769285,3.300000,1.500000,0.000000,0.000000,1.688335
0.200000,13.534148,6.067968,3.600000,1.500000,0.000000,0.000000,1.640300
0.200000,13.519345,6.367584,3.900000,1.500000,0.000000,0.000000,1.601488
0.200000,13.514911,6.667539,4.200000,1.500000,0.000000,0.000000,1.570978
0.200000,13.518486,6.967511,4.500000,1.500000,0.000000,0.000000,1.547971
0.200000,13.527918,7.267360,4.800000,1.500000,0.000000,0.000000,1.531829
0.200000,13.541221,7.567064,5.100000,1.500000,0.000000,0.000000,1.522093
0.200000,13.556517,7.866674,5.400000,1.500000,0.000000,0.000000,1.518486
0.200000,13.571991,8.166275,5.700000,1.500000,0.000000,0.000000,1.520903
0.200000,13.585833,8.465954,6.000000,1.500000,0.000000,0.000000,1.529413
0.200000,13.596181,8.765774,6.300000,1.500000,0.000000,0.000000,1.544261
0.200000,13.601076,9.065728,6.600000,1.500000,0.000000,0.000000,1.565869
0.200000,13.598402,9.365706,6.900000,1.500000,0.000000,0.000000,1.594840
0.200000,13.585841,9.665425,7.200000,1.500000,0.000000,0.000000,1.631945
0.200000,13.560845,9.964355,7.500000,1.500000,0.000000,0.000000,1.678085
0.200000,13.520627,10.261608,7.800000,1.500000,0.000000,0.000000,1.734208
0.200000,13.462231,10.555812,8.100000,1.500000,0.000000,0.000000,1.801118
0.200000,13.382686,10.844995,8.400000,1.500000,0.000000,0.000000,1.879182
0.200000,13.279312,11.126517,8.700000,1.500000,0.000000,0.000000,1.967907
0.200000,13.150147,11.397154,9.000000,1.500000,0.000000,0.000000,2.065537
0.200000,12.994406,11.653404,9.300000,1.500000,0.000000,0.000000,2.168906
0.200000,12.812785,11.892005,9.600000,1.500000,0.000000,0.000000,2.273819
0.200000,12.607403,12.110498,9.900000,1.500000,0.000000,0.000000,2.375928
0.200000,12.381384,12.307593,10.200000,1.500000,0.000000,0.000000,2.471684
0.200000,12.138267,12.483198,10.500000,1.500000,0.000000,0.000000,2.558885
0.200000,11.881489,12.638175,10.800000,1.500000,0.000000,0.000000,2.636681
0.200000,11.614055,12.773987,11.100000,1.500000,0.000000,0.000000,2.705221
0.200000,11.338451,12.892365,11.400000,1.500000,0.000000,0.000000,2.765231
0.200000,11.063815,12.993144,11.700000,1.500000,0.000000,0.000000,2.809652
0.200000,10.778585,13.086069,12.000000,1.500000,0.000000,0.000000,2.843471
0.200000,10.490420,13.169454,12.300000,1.500000,0.000000,0.000000,2.876164
0.200000,10.199731,13.243565,12.600000,1.500000,0.000000,0.000000,2.907526
0.200000,9.906908,13.308741,12.900000,1.500000,0.000000,0.000000,2.937379
0.200000,9.612315,13.365389,13.200000,1.500000,0.000000,0.000000,2.965571
0.200000,9.316284,13.413972,13.500000,1.500000,0.000000,0.000000,2.991980
0.200000,9.019110,13.454998,13.800000,1.500000,0.000000,0.000000,3.016512
0.200000,8.721051,13.489011,14.100000,1.500000,0.000000,0.000000,3.039096
0.200000,8.422326,13.516582,14.400000,1.500000,0.000000,0.000000,3.059686
0.200000,8.123117,13.538299,14.700000,1.500000,0.000000,0.000000,3.078252
0.200000,7.823573,13.554762,15.000000,1.500000,0.000000,0.000000,3.094779
0.200000,7.523808,13.566580,15.300000,1.500000,0.000000,0.000000,3.109264
0.200000,7.223911,13.574359,15.600000,1.500000,0.000000,0.000000,3.121710
0.200000,6.923944,13.578711,15.900000,1.500000,0.000000,0.000000,3.132127
0.200000,6.623949,13.580240,16.200000,1.500000,0.000000,0.000000,3.140526
0.200000,6.323950,13.579551,16.500000,1.500000,0.000000,0.000000,3.146918
0.200000,6.023959,13.577244,16.800000,1.500000,0.000000,0.000000,3.151315
0.200000,5.723978,13.573917,17.100000,1.500000,0.000000,0.000000,3.153722
0.200000,5.424001,13.570165,17.400000,1.500000,0.000000,0.000000,3.154146
0.200000,5.124022,13.566584,17.700000,1.500000,0.000000,0.000000,3.152587
0.200000,4.824036,13.563767,18.000000,1.500000,0.000000,0.000000,3.149042
0.200000,4.536571,13.562339,18.287469,1.374689,-0.626555,-3.132773,3.143775
0.200000,4.299133,13.562477,18.524907,0.999689,-1.875000,-6.242227,3.138040
0.200000,4.136698,13.563423,18.687345,0.624689,-1.875000,0.000000,3.133391
0.200000,4.049265,13.564259,18.774782,0.249689,-1.875000,0.000000,3.130644
0.200000,4.024297,13.564543,18.799751,0.000000,-1.248445,3.132773,3.129828
0.200000,4.024297,13.564543,18.799751,0.000000,0.000000,6.242227,3.129828
