dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,15.411743,3.433485,0.037500,0.375000,1.875000,9.375000,2.641935
0.200000,15.321748,3.484232,0.140817,0.516585,0.707927,-5.835364,2.614126
0.200000,15.175943,3.573984,0.312032,0.856072,1.697433,4.947531,2.564822
0.200000,14.981686,3.710833,0.549652,1.188102,1.660151,-0.186414,2.489603
0.200000,14.775797,3.883665,0.818467,1.344074,0.779861,-4.401448,2.395407
0.200000,14.589387,4.074154,1.084990,1.332615,-0.057295,-4.185778,2.294309
0.200000,14.424348,4.281908,1.350319,1.326646,-0.029849,0.137228,2.189617
0.200000,14.281824,4.505971,1.615870,1.327754,0.005540,0.176944,2.085592
0.200000,14.162095,4.744847,1.883072,1.336011,0.041285,0.178726,1.986538
0.200000,14.064586,4.996611,2.153059,1.349936,0.069630,0.141723,1.895873
0.200000,13.987979,5.259108,2.426506,1.367235,0.086490,0.084304,1.815632
0.200000,13.930402,5.530202,2.703647,1.385704,0.092347,0.029285,1.746530
0.200000,13.889642,5.807983,2.984403,1.403780,0.090382,-0.009828,1.688335
0.200000,13.863351,6.090885,3.268524,1.420604,0.084118,-0.031317,1.640300
0.200000,13.849189,6.377710,3.555698,1.435871,0.076336,-0.038914,1.601488
0.200000,13.844911,6.667599,3.845619,1.449603,0.068661,-0.038371,1.570978
0.200000,13.848400,6.959980,4.138020,1.462007,0.062016,-0.033228,1.547971
0.200000,13.857668,7.254504,4.432690,1.473352,0.056726,-0.026450,1.531829
0.200000,13.870829,7.550998,4.729477,1.483931,0.052896,-0.019150,1.522093
0.200000,13.886066,7.849420,5.028286,1.494049,0.050588,-0.011539,1.518486
0.200000,13.901581,8.149817,5.329084,1.503988,0.049698,-0.004453,1.520903
0.200000,13.915550,8.452302,5.631891,1.514037,0.050245,0.002737,1.529413
0.200000,13.926065,8.757018,5.936789,1.524487,0.052252,0.010036,1.544261
0.200000,13.931072,9.064102,6.243914,1.535625,0.055690,0.017190,1.565869
0.200000,13.928306,9.373640,6.553464,1.547749,0.060618,0.024638,1.594840
0.200000,13.915225,9.685591,6.865690,1.561129,0.066902,0.031420,1.631945
0.200000,13.888947,9.999693,7.180888,1.575994,0.074325,0.037116,1.678085
0.200000,13.846231,10.315294,7.499367,1.592392,0.081989,0.038324,1.734208
0.200000,13.783516,10.631148,7.821387,1.610102,0.088552,0.032810,1.801118
0.200000,13.697118,10.945157,8.147065,1.628390,0.091437,0.014428,1.879182
0.200000,13.583633,11.254146,8.476236,1.645853,0.087316,-0.020608,1.967907
0.200000,13.440577,11.553839,8.808321,1.660426,0.072866,-0.072248,2.065537
0.200000,13.267119,11.839221,9.142283,1.669811,0.046926,-0.129698,2.168906
0.200000,13.064539,12.105359,9.476750,1.672333,0.012610,-0.171581,2.273819
0.200000,12.836099,12.348402,9.810299,1.667745,-0.022941,-0.177757,2.375928
0.200000,12.586286,12.566273,10.141772,1.657364,-0.051905,-0.144816,2.471684
