dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,14.815192,1.858570,0.125000,1.250000,6.250000,31.250000,2.591784
0.200000,14.450526,2.096092,0.560199,2.175993,4.629964,-8.100179,2.536165
0.200000,13.868086,2.543907,1.294892,3.673470,7.487384,14.287099,2.434618
0.200000,13.129663,3.280576,2.337940,5.215240,7.708852,1.107340,2.278518
0.200000,12.365579,4.385527,3.681347,6.717034,7.508972,-0.999402,2.074755
0.200000,11.750628,5.861065,5.279902,7.992774,6.378698,-5.651367,1.865693
0.200000,11.378714,7.615515,7.073338,8.967179,4.872026,-7.533360,1.708500
0.200000,11.196315,9.558702,9.025067,9.758643,3.957320,-4.573532,1.637281
0.200000,11.118185,11.666194,11.134007,10.544703,3.930297,-0.135116,1.528198
0.200000,11.239751,13.643021,13.114568,9.902806,-3.209480,-35.698885,1.545990
0.200000,11.035086,15.107417,14.593197,7.393143,-12.548317,-46.694184,2.015460
0.200000,10.221558,15.812906,15.670018,5.384103,-10.045201,12.515579,2.748508
0.200000,8.908489,16.105845,17.015367,6.726745,6.713210,83.792056,3.039582
0.200000,7.560542,16.196985,18.366392,6.755125,0.141903,-32.856531,3.103224
0.200000,6.422250,16.221999,19.504958,5.692831,-5.311471,-27.266871,3.132388
0.200000,5.510785,16.225715,20.416431,4.557364,-5.677335,-1.829322,3.140442
0.200000,4.838020,16.226898,21.089197,3.363831,-5.967667,-1.451662,3.138073
0.200000,4.412382,16.229370,21.514841,2.128222,-6.178043,-1.051877,3.133048
0.200000,4.239143,16.231088,21.688089,0.866239,-6.309917,-0.659370,3.130236
0.200000,4.216103,16.231354,21.711131,0.115208,-3.755156,12.773805,3.129828
0.200000,4.216103,16.231354,21.711131,0.000000,-0.576038,15.895588,3.129828
