dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,15.947345,3.705952,0.125000,1.250000,6.250000,31.250000,2.591784
0.200000,15.683625,3.877680,0.439704,1.573521,1.617607,-23.161965,2.536165
0.200000,15.275437,4.191315,0.954470,2.573831,5.001546,16.919695,2.434618
0.200000,14.776019,4.689157,1.659641,3.525853,4.760113,-1.207168,2.278518
0.200000,14.262910,5.431818,2.562318,4.513387,4.937670,0.887787,2.074755
0.200000,13.823797,6.490796,3.708728,5.732048,6.093305,5.778175,1.865693
0.200000,13.524904,7.912935,5.161936,7.266042,7.669968,7.883316,1.708500
0.200000,13.358228,9.702648,6.959394,8.987290,8.606241,4.681362,1.637281
0.200000,13.282920,11.573924,8.832185,9.363952,1.883308,-33.614662,1.528198
0.200000,13.405784,13.589280,10.851282,10.095489,3.657687,8.871894,1.545990
0.200000,12.991087,16.039432,13.336281,12.424995,11.647528,39.949206,2.015460
0.200000,11.051491,17.814355,15.965423,13.145707,3.603564,-40.219824,2.748508
0.200000,9.129132,18.261281,17.939051,9.868138,-16.387845,-99.957044,3.039582
0.200000,7.643654,18.362090,19.427945,7.444475,-12.118317,21.347639,3.103224
0.200000,6.442195,18.388607,20.629697,6.008759,-7.178581,24.698680,3.132388
0.200000,5.513279,18.392414,21.558621,4.644618,-6.820703,1.789393,3.140442
0.200000,4.845645,18.393585,22.226256,3.338176,-6.532212,1.442456,3.138073
0.200000,4.430895,18.395991,22.641012,2.073782,-6.321970,1.051206,3.133048
0.200000,4.263750,18.397648,22.808166,0.835769,-6.190064,0.659534,3.130236
0.200000,4.241592,18.397904,22.830325,0.110796,-3.624862,12.826010,3.129828
0.200000,4.241592,18.397904,22.830325,0.000000,-0.553982,15.354399,3.129828
