dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,15.411039,2.667635,0.037500,0.375000,1.875000,9.375000,2.552212
0.200000,15.316019,2.731596,0.152041,0.572707,0.988537,-4.432314,2.546026
0.200000,15.158500,2.839544,0.343000,0.954792,1.910422,4.609426,2.535543
0.200000,14.939819,2.993538,0.610461,1.337308,1.912581,0.010792,2.520500
0.200000,14.692670,3.173702,0.916307,1.529228,0.959599,-4.764907,2.502774
0.200000,14.448655,3.358406,1.222344,1.530185,0.004785,-4.774069,2.484467
0.200000,14.207965,3.547736,1.528575,1.531156,0.004857,0.000357,2.465571
0.200000,13.970801,3.741775,1.835004,1.532142,0.004926,0.000345,2.446076
0.200000,13.737373,3.940600,2.141630,1.533133,0.004959,0.000164,2.425979
0.200000,13.507900,4.144278,2.448457,1.534132,0.004992,0.000165,2.405277
0.200000,13.282610,4.352865,2.755482,1.535126,0.004971,-0.000101,2.383971
0.200000,13.061736,4.566408,3.062704,1.536113,0.004936,-0.000176,2.362065
0.200000,12.845521,4.784941,3.370122,1.537088,0.004875,-0.000309,2.339568
0.200000,12.634210,5.008482,3.677730,1.538042,0.004768,-0.000535,2.316492
0.200000,12.428054,5.237035,3.985523,1.538965,0.004618,-0.000747,2.292855
0.200000,12.227306,5.470586,4.293494,1.539854,0.004445,-0.000865,2.268678
0.200000,12.032216,5.709102,4.601634,1.540697,0.004216,-0.001145,2.243989
0.200000,11.843037,5.952532,4.909931,1.541487,0.003946,-0.001351,2.218821
0.200000,11.660012,6.200804,5.218374,1.542214,0.003636,-0.001548,2.193211
0.200000,11.483382,6.453825,5.526948,1.542870,0.003283,-0.001765,2.167202
0.200000,11.313374,6.711481,5.835638,1.543448,0.002890,-0.001968,2.140843
0.200000,11.150204,6.973637,6.144426,1.543940,0.002459,-0.002152,2.114185
0.200000,10.994072,7.240137,6.453293,1.544339,0.001996,-0.002314,2.087284
0.200000,10.845163,7.510808,6.762222,1.544641,0.001506,-0.002449,2.060200
0.200000,10.703638,7.785457,7.071190,1.544840,0.000996,-0.002551,2.032995
0.200000,10.569637,8.063875,7.380177,1.544935,0.000473,-0.002617,2.005733
0.200000,10.443277,8.345840,7.689161,1.544922,-0.000064,-0.002685,1.978479
0.200000,10.324649,8.631119,7.998122,1.544804,-0.000587,-0.002616,1.951295
0.200000,10.213815,8.919469,8.307039,1.544584,-0.001100,-0.002560,1.924247
0.200000,10.110815,9.210640,8.615890,1.544260,-0.001624,-0.002621,1.897393
0.200000,10.015660,9.504380,8.924659,1.543843,-0.002082,-0.002292,1.870794
0.200000,9.928336,9.800437,9.233326,1.543335,-0.002540,-0.002288,1.844504
0.200000,9.848802,10.098559,9.541875,1.542743,-0.002960,-0.002100,1.818572
0.200000,9.776997,10.398499,9.850290,1.542077,-0.003332,-0.001860,1.793045
0.200000,9.712834,10.700017,10.158559,1.541344,-0.003664,-0.001663,1.767964
0.200000,9.656210,11.002879,10.466669,1.540551,-0.003963,-0.001493,1.743365
0.200000,9.607003,11.306864,10.774611,1.539708,-0.004219,-0.001279,1.719277
0.200000,9.565075,11.611759,11.082375,1.538822,-0.004430,-0.001058,1.695726
0.200000,9.530274,11.917365,11.389956,1.537904,-0.004585,-0.000775,1.672733
0.200000,9.502438,12.223494,11.697348,1.536961,-0.004718,-0.000661,1.650312
0.200000,9.482537,12.521508,11.996026,1.493387,-0.217867,-1.065748,1.619841
0.200000,9.473541,12.834531,12.309178,1.565761,0.361869,2.898683,1.579922
