dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,16.128344,3.888439,0.125000,1.250000,6.250000,31.250000,2.547407
0.200000,15.838669,4.088609,0.477107,1.760537,2.552685,-18.486577,2.526282
0.200000,15.367498,4.434808,1.061792,2.923422,5.814424,16.308696,2.489099
0.200000,14.734787,4.946681,1.875633,4.069207,5.728928,-0.427478,2.432745
0.200000,13.973880,5.652810,2.913707,5.190369,5.605810,-0.615590,2.352763
0.200000,13.137223,6.590305,4.170247,6.282699,5.461650,-0.720801,2.243989
0.200000,12.302152,7.801344,5.641287,7.355198,5.362496,-0.495769,2.103002
0.200000,11.571418,9.324149,7.330342,8.445278,5.450399,0.439513,1.933244
0.200000,11.081333,11.066247,9.140063,9.048604,3.016631,-12.168838,1.759709
0.200000,10.886832,12.847429,10.931833,8.958848,-0.448783,-17.327072,1.579922
0.200000,11.045521,14.664215,12.755536,9.118516,0.798344,6.235638,1.419006
0.200000,11.377014,16.628700,14.747794,9.961289,4.213862,17.077588,1.411888
0.200000,11.591994,18.771899,16.901747,10.769767,4.042393,-0.857342,1.555743
0.200000,11.276968,21.092112,19.243249,11.707509,4.688707,3.231569,1.880656
0.200000,10.090434,23.197552,21.660012,12.083813,1.881522,-14.035927,2.280562
0.200000,8.344439,24.693129,23.958978,11.494834,-2.944899,-24.132101,2.573822
0.200000,6.382550,25.593292,26.117520,10.792707,-3.510632,-2.828668,2.844939
0.200000,4.603582,25.955020,27.932891,9.076858,-8.579244,-25.343059,3.026184
0.200000,3.135278,26.050125,29.404273,7.356907,-8.599754,-0.102551,3.118845
0.200000,1.976010,26.052944,30.563544,5.796357,-7.802750,3.985021,3.153742
0.200000,1.101377,26.039506,31.438280,4.373681,-7.113381,3.446843,3.156705
0.200000,0.491436,26.032985,32.048256,3.049877,-6.619020,2.471808,3.146045
0.200000,0.132399,26.033335,32.407293,1.795188,-6.273447,1.727866,3.134519
0.200000,0.014222,26.034444,32.525475,0.590910,-6.021391,1.260279,3.129828
0.200000,0.014222,26.034444,32.525475,0.000000,-2.954548,15.334212,3.129828
