dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.111270,14.583569,0.128077,1.280775,6.403875,32.019374,0.003916
0.200000,6.481912,14.587366,0.498740,1.853311,2.862681,-17.705971,0.016440
0.200000,7.101354,14.603596,1.118394,3.098269,6.224791,16.810551,0.035570
0.200000,7.971916,14.644956,1.989938,4.357721,6.297261,0.362350,0.058627
0.200000,9.096653,14.724763,3.117502,5.637822,6.400505,0.516222,0.081803
0.200000,10.479697,14.852255,4.506410,6.944539,6.533583,0.665390,0.100195
0.200000,11.999926,15.012607,6.035073,7.643313,3.493869,-15.198571,0.107811
0.200000,13.405516,15.162887,7.448674,7.068007,-2.876530,-31.851995,0.103403
0.200000,14.565268,15.277079,8.614034,5.826801,-6.206029,-16.647498,0.091684
0.200000,15.473841,15.354459,9.525896,4.559310,-6.337455,-0.657130,0.077513
0.200000,16.126438,15.401056,10.180155,3.271293,-6.440083,-0.513139,0.064681
0.200000,16.519439,15.424805,10.573872,1.968587,-6.513533,-0.367251,0.055901
0.200000,16.650674,15.431945,10.705302,0.657149,-6.557191,-0.218288,0.052795
0.200000,16.650674,15.431945,10.705302,0.000000,-3.285743,16.357241,0.052795
0.200000,16.650674,15.431945,10.705302,0.000000,0.000000,16.428714,0.052795
