dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,1.302452,4.135422,0.037500,0.375000,1.875000,9.375000,0.002901
0.200000,1.414948,4.136290,0.150000,0.750000,1.875000,0.000000,0.012443
0.200000,1.602409,4.140032,0.337500,1.125000,1.875000,0.000000,0.027245
0.200000,1.864729,4.149654,0.600000,1.500000,1.875000,0.000000,0.045622
0.200000,2.164276,4.166065,0.900000,1.500000,0.000000,-9.375000,0.063237
0.200000,2.463527,4.187206,1.200000,1.500000,0.000000,0.000000,0.077216
0.200000,2.762501,4.211984,1.500000,1.500000,0.000000,0.000000,0.087554
0.200000,3.061254,4.239308,1.800000,1.500000,0.000000,0.000000,0.094252
0.200000,3.359870,4.268090,2.100000,1.500000,0.000000,0.000000,0.097316
0.200000,3.658450,4.297244,2.400000,1.500000,0.000000,0.000000,0.096748
0.200000,3.957098,4.325686,2.700000,1.500000,0.000000,0.000000,0.092548
0.200000,4.255912,4.352331,3.000000,1.500000,0.000000,0.000000,0.084713
0.200000,4.554968,4.376090,3.300000,1.500000,0.000000,0.000000,0.073237
0.200000,4.854312,4.395870,3.600000,1.500000,0.000000,0.000000,0.058119
0.200000,5.141682,4.410090,3.887725,1.377248,-0.613760,-3.068802,0.040210
0.200000,5.379508,4.417641,4.125674,1.002248,-1.875000,-6.306198,0.022894
0.200000,5.542435,4.420314,4.288624,0.627248,-1.875000,0.000000,0.009744
0.200000,5.630383,4.420842,4.376574,0.252248,-1.875000,0.000000,0.002215
0.200000,5.655607,4.420870,4.401798,0.000000,-1.261240,3.068802,0.000000
0.200000,5.655607,4.420870,4.401798,0.000000,0.000000,6.306198,0.000000
