dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,1.303409,3.805424,0.037500,0.375000,1.875000,9.375000,0.002901
0.200000,1.419054,3.806316,0.153149,0.578243,1.016214,-4.293929,0.012443
0.200000,1.611399,3.810155,0.345531,0.961914,1.918356,4.510708,0.027245
0.200000,1.879779,3.819997,0.614092,1.342803,1.904446,-0.069548,0.045622
0.200000,2.185130,3.836724,0.919901,1.529045,0.931209,-4.866185,0.063237
0.200000,2.488984,3.858189,1.224512,1.523054,-0.029957,-4.805828,0.077216
0.200000,2.791357,3.883248,1.527922,1.517050,-0.030018,-0.000308,0.087554
0.200000,3.092311,3.910773,1.830132,1.511049,-0.030005,0.000063,0.094252
0.200000,3.391933,3.939651,2.131142,1.505054,-0.029973,0.000164,0.097316
0.200000,3.690327,3.968787,2.430955,1.499063,-0.029955,0.000088,0.096748
0.200000,3.987596,3.997099,2.729569,1.493070,-0.029969,-0.000067,0.092548
0.200000,4.283834,4.023515,3.026983,1.487068,-0.030010,-0.000207,0.084713
0.200000,4.579114,4.046975,3.323194,1.481056,-0.030058,-0.000239,0.073237
0.200000,4.873481,4.066427,3.618202,1.475042,-0.030070,-0.000064,0.058119
0.200000,5.154947,4.080356,3.900013,1.409054,-0.329941,-1.499353,0.040210
0.200000,5.387063,4.087727,4.132246,1.161163,-1.239455,-4.547571,0.022894
0.200000,5.545650,4.090329,4.290854,0.793044,-1.840594,-3.005692,0.009744
0.200000,5.631113,4.090843,4.376319,0.427324,-1.828600,0.059966,0.002215
0.200000,5.655607,4.090870,4.400813,0.122470,-1.524272,1.521644,0.000000
0.200000,5.655607,4.090870,4.400813,0.000000,-0.612349,4.559615,0.000000
