dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.119755,14.583115,0.128077,1.280775,6.403875,32.019374,6.279269
0.200000,6.517532,14.579041,0.525875,1.988989,3.541068,-14.314034,6.266745
0.200000,7.178407,14.561734,1.186977,3.305508,6.582596,15.207638,6.247615
0.200000,8.098871,14.518022,2.108478,4.607504,6.509984,-0.363059,6.224558
0.200000,9.273698,14.434692,3.286256,5.888894,6.406946,-0.515190,6.201382
0.200000,10.696426,14.303578,4.715013,7.143786,6.274460,-0.662428,6.182990
0.200000,12.233068,14.141514,6.260178,7.725820,2.910173,-16.821438,6.175374
0.200000,13.629160,13.992240,7.664228,7.020250,-3.527850,-32.190116,6.179783
0.200000,14.763643,13.880521,8.804198,5.699852,-6.601990,-15.370695,6.191501
0.200000,15.641620,13.805735,9.685355,4.405785,-6.470338,0.658255,6.205672
0.200000,16.266486,13.761114,10.311811,3.132282,-6.367511,0.514140,6.218504
0.200000,16.640497,13.738511,10.686506,1.873471,-6.294058,0.367262,6.227284
0.200000,16.765013,13.731736,10.811205,0.623498,-6.249862,0.220981,6.230390
0.200000,16.765013,13.731736,10.811205,0.000000,-3.117492,15.661850,6.230390
0.200000,16.765013,13.731736,10.811205,0.000000,0.000000,15.587460,6.230390
