dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,1.250576,4.083426,0.037500,0.375000,1.875000,9.375000,6.280775
0.200000,1.363073,4.082706,0.150000,0.750000,1.875000,0.000000,6.272859
0.200000,1.550546,4.079602,0.337500,1.125000,1.875000,0.000000,6.260594
0.200000,1.812922,4.071627,0.600000,1.500000,1.875000,0.000000,6.245391
0.200000,2.112612,4.058036,0.900000,1.500000,0.000000,-9.375000,6.230847
0.200000,2.412100,4.040542,1.200000,1.500000,0.000000,0.000000,6.219337
0.200000,2.711398,4.020057,1.500000,1.500000,0.000000,0.000000,6.210863
0.200000,3.010548,3.997490,1.800000,1.500000,0.000000,0.000000,6.205424
0.200000,3.309607,3.973749,2.100000,1.500000,0.000000,0.000000,6.203017
0.200000,3.608645,3.949742,2.400000,1.500000,0.000000,0.000000,6.203640
0.200000,3.907733,3.926375,2.700000,1.500000,0.000000,0.000000,6.207295
0.200000,4.206938,3.904554,3.000000,1.500000,0.000000,0.000000,6.213982
0.200000,4.506311,3.885189,3.300000,1.500000,0.000000,0.000000,6.223706
0.200000,4.805882,3.869191,3.600000,1.500000,0.000000,0.000000,6.236465
0.200000,5.089680,3.857973,3.884022,1.340218,-0.798910,-3.994548,6.251337
0.200000,5.320150,3.852217,4.114565,0.965218,-1.875000,-5.380452,6.265394
0.200000,5.475680,3.850255,4.270109,0.590218,-1.875000,0.000000,6.275875
0.200000,5.556223,3.849896,4.350653,0.215218,-1.875000,0.000000,6.281615
0.200000,5.577745,3.849879,4.372174,0.000000,-1.076090,3.994548,0.000000
0.200000,5.577745,3.849879,4.372174,0.000000,0.000000,5.380452,0.000000
