dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.111270,12.416431,0.128077,1.280775,6.403875,32.019374,6.279269
0.200000,6.481912,12.412634,0.498740,1.853311,2.862681,-17.705971,6.266745
0.200000,7.101354,12.396404,1.118394,3.098269,6.224791,16.810551,6.247615
0.200000,7.971916,12.355044,1.989938,4.357721,6.297261,0.362350,6.224558
0.200000,9.096653,12.275237,3.117502,5.637822,6.400505,0.516222,6.201382
0.200000,10.479697,12.147745,4.506410,6.944539,6.533583,0.665390,6.182990
0.200000,11.999926,11.987393,6.035073,7.643313,3.493869,-15.198571,6.175374
0.200000,13.405516,11.837113,7.448674,7.068007,-2.876530,-31.851995,6.179783
0.200000,14.565268,11.722921,8.614034,5.826801,-6.206029,-16.647498,6.191501
0.200000,15.473841,11.645541,9.525896,4.559310,-6.337455,-0.657130,6.205672
0.200000,16.126438,11.598944,10.180155,3.271293,-6.440083,-0.513139,6.218504
0.200000,16.519439,11.575195,10.573872,1.968587,-6.513533,-0.367251,6.227284
0.200000,16.650674,11.568055,10.705302,0.657149,-6.557191,-0.218288,6.230390
0.200000,16.650674,11.568055,10.705302,0.000000,-3.285743,16.357241,6.230390
0.200000,16.650674,11.568055,10.705302,0.000000,0.000000,16.428714,6.230390
