dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,19.216694,22.181659,0.037500,0.375000,1.875000,9.375000,4.664660
0.200000,19.209941,22.063228,0.156123,0.593114,1.090572,-3.922141,4.646100
0.200000,19.193653,21.865755,0.354267,0.990720,1.988026,4.487270,4.613818
0.200000,19.159690,21.589508,0.632594,1.391635,2.004577,0.082757,4.565777
0.200000,19.103852,21.275041,0.951980,1.596930,1.026476,-4.890508,4.506891
0.200000,19.028680,20.963300,1.272656,1.603380,0.032252,-4.971120,4.444075
0.200000,18.933241,20.656021,1.594415,1.608796,0.027077,-0.025870,4.377958
0.200000,18.817053,20.355147,1.916944,1.612646,0.019253,-0.039124,4.309495
0.200000,18.680208,20.062687,2.239836,1.614460,0.009069,-0.050915,4.239927
0.200000,18.523431,19.780532,2.562621,1.613925,-0.002675,-0.058725,4.170686
0.200000,18.348043,19.510258,2.884816,1.610972,-0.014764,-0.060443,4.103244
0.200000,18.155839,19.252960,3.205977,1.605806,-0.025833,-0.055346,4.038951
0.200000,17.948907,19.009180,3.525742,1.598824,-0.034909,-0.045381,3.978911
0.200000,17.729434,18.778909,3.843850,1.590542,-0.041411,-0.032507,3.923916
0.200000,17.499549,18.561664,4.160145,1.581476,-0.045330,-0.019597,3.874438
0.200000,17.261214,18.356597,4.474560,1.572073,-0.047014,-0.008417,3.830682
0.200000,17.016169,18.162612,4.787093,1.562666,-0.047033,-0.000097,3.792645
0.200000,16.765923,17.978468,5.097789,1.553480,-0.045935,0.005491,3.760191
0.200000,16.511766,17.802855,5.406715,1.544631,-0.044243,0.008460,3.733114
0.200000,16.254802,17.634447,5.713948,1.536164,-0.042336,0.009532,3.711178
0.200000,15.995981,17.471933,6.019561,1.528063,-0.040503,0.009166,3.694159
0.200000,15.736137,17.314036,6.323618,1.520284,-0.038896,0.008036,3.681860
0.200000,15.476022,17.159515,6.626167,1.512750,-0.037672,0.006121,3.674131
0.200000,15.216334,17.007171,6.927243,1.505377,-0.036861,0.004051,3.670871
0.200000,14.957748,16.855837,7.226858,1.498073,-0.036523,0.001690,3.672040
0.200000,14.700938,16.704374,7.525006,1.490740,-0.036663,-0.000699,3.677650
0.200000,14.446605,16.551664,7.821663,1.483285,-0.037274,-0.003054,3.687777
0.200000,14.195496,16.396611,8.116786,1.475616,-0.038345,-0.005356,3.702547
0.200000,13.948424,16.238130,8.410317,1.467655,-0.039804,-0.007296,3.722136
0.200000,13.706292,16.075162,8.702184,1.459337,-0.041591,-0.008932,3.746758
0.200000,13.470104,15.906672,8.992311,1.450631,-0.043532,-0.009705,3.776646
0.200000,13.254856,15.741775,9.263462,1.355756,-0.474372,-2.154200,3.819858
0.200000,13.041589,15.559429,9.544056,1.402971,0.236073,3.552226,3.878542
0.200000,12.840073,15.365136,9.823982,1.399627,-0.016718,-1.263957,3.939241
0.200000,12.651117,15.159136,10.103518,1.397681,-0.009730,0.034943,4.001118
