dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,18.887070,22.197403,0.037500,0.375000,1.875000,9.375000,4.664660
0.200000,18.880666,22.085088,0.150000,0.750000,1.875000,0.000000,4.646100
0.200000,18.865255,21.898231,0.337500,1.125000,1.875000,0.000000,4.613818
0.200000,18.833230,21.637717,0.600000,1.500000,1.875000,0.000000,4.565777
0.200000,18.780795,21.342379,0.900000,1.500000,0.000000,-9.375000,4.506891
0.200000,18.710488,21.050785,1.200000,1.500000,0.000000,0.000000,4.444075
0.200000,18.621523,20.764338,1.500000,1.500000,0.000000,0.000000,4.377958
0.200000,18.513476,20.484534,1.800000,1.500000,0.000000,0.000000,4.309495
0.200000,18.386359,20.212863,2.100000,1.500000,0.000000,0.000000,4.239927
0.200000,18.240676,19.950679,2.400000,1.500000,0.000000,0.000000,4.170686
0.200000,18.077398,19.699072,2.700000,1.500000,0.000000,0.000000,4.103244
0.200000,17.897884,19.458773,3.000000,1.500000,0.000000,0.000000,4.038951
0.200000,17.703766,19.230101,3.300000,1.500000,0.000000,0.000000,3.978911
0.200000,17.496807,19.012971,3.600000,1.500000,0.000000,0.000000,3.923916
0.200000,17.278783,18.806945,3.900000,1.500000,0.000000,0.000000,3.874438
0.200000,17.051388,18.611299,4.200000,1.500000,0.000000,0.000000,3.830682
0.200000,16.816181,18.425109,4.500000,1.500000,0.000000,0.000000,3.792645
0.200000,16.574558,18.247316,4.800000,1.500000,0.000000,0.000000,3.760191
0.200000,16.327750,18.076786,5.100000,1.500000,0.000000,0.000000,3.733114
0.200000,16.076838,17.912348,5.400000,1.500000,0.000000,0.000000,3.711178
0.200000,15.822773,17.752823,5.700000,1.500000,0.000000,0.000000,3.694159
0.200000,15.566396,17.597034,6.000000,1.500000,0.000000,0.000000,3.681860
0.200000,15.308474,17.443817,6.300000,1.500000,0.000000,0.000000,3.674131
0.200000,15.049713,17.292018,6.600000,1.500000,0.000000,0.000000,3.670871
0.200000,14.790794,17.140489,6.900000,1.500000,0.000000,0.000000,3.672040
0.200000,14.532391,16.988084,7.200000,1.500000,0.000000,0.000000,3.677650
0.200000,14.275193,16.833654,7.500000,1.500000,0.000000,0.000000,3.687777
0.200000,14.019937,16.676037,7.800000,1.500000,0.000000,0.000000,3.702547
0.200000,13.767426,16.514065,8.100000,1.500000,0.000000,0.000000,3.722136
0.200000,13.518555,16.346557,8.400000,1.500000,0.000000,0.000000,3.746758
0.200000,13.274342,16.172336,8.700000,1.500000,0.000000,0.000000,3.776646
0.200000,13.047800,15.998733,9.000000,1.500000,0.000000,0.000000,3.819858
0.200000,12.819818,15.803801,9.300000,1.500000,0.000000,0.000000,3.878542
0.200000,12.603887,15.595605,9.600000,1.500000,0.000000,0.000000,3.939241
0.200000,12.401131,15.374559,9.900000,1.500000,0.000000,0.000000,4.001118
0.200000,12.212476,15.141364,10.200000,1.500000,0.000000,0.000000,4.063195
0.200000,12.038568,14.896971,10.500000,1.500000,0.000000,0.000000,4.124431
0.200000,11.879726,14.642526,10.800000,1.500000,0.000000,0.000000,4.183810
0.200000,11.735916,14.379287,11.100000,1.500000,0.000000,0.000000,4.240432
0.200000,11.606774,14.108545,11.400000,1.500000,0.000000,0.000000,4.293567
0.200000,11.491645,13.831549,11.700000,1.500000,0.000000,0.000000,4.342687
0.200000,11.389646,13.549448,12.000000,1.500000,0.000000,0.000000,4.387462
0.200000,11.299733,13.263260,12.300000,1.500000,0.000000,0.000000,4.427737
0.200000,11.220759,12.973858,12.600000,1.500000,0.000000,0.000000,4.463491
0.200000,11.151528,12.681968,12.900000,1.500000,0.000000,0.000000,4.494798
0.200000,11.090829,12.388182,13.200000,1.500000,0.000000,0.000000,4.521792
0.200000,11.037465,12.092973,13.500000,1.500000,0.000000,0.000000,4.544635
0.200000,10.990263,11.796714,13.800000,1.500000,0.000000,0.000000,4.563499
0.200000,10.948087,11.499697,14.100000,1.500000,0.000000,0.000000,4.578541
0.200000,10.909832,11.202147,14.400000,1.500000,0.000000,0.000000,4.589903
0.200000,10.874426,10.904245,14.700000,1.500000,0.000000,0.000000,4.597696
0.200000,10.840820,10.606133,15.000000,1.500000,0.000000,0.000000,4.601998
0.200000,10.807984,10.307935,15.300000,1.500000,0.000000,0.000000,4.602857
0.200000,10.774891,10.009766,15.600000,1.500000,0.000000,0.000000,4.600279
0.200000,10.740515,9.711743,15.900000,1.500000,0.000000,0.000000,4.594239
0.200000,10.703816,9.413997,16.200000,1.500000,0.000000,0.000000,4.584673
0.200000,10.663736,9.116688,16.500000,1.500000,0.000000,0.000000,4.571486
0.200000,10.619186,8.820018,16.800000,1.500000,0.000000,0.000000,4.554551
0.200000,10.569047,8.524243,17.100000,1.500000,0.000000,0.000000,4.533718
0.200000,10.512162,8.229693,17.400000,1.500000,0.000000,0.000000,4.508820
0.200000,10.447347,7.936790,17.700000,1.500000,0.000000,0.000000,4.479688
0.200000,10.373394,7.646062,18.000000,1.500000,0.000000,0.000000,4.446171
0.200000,10.289096,7.358168,18.300000,1.500000,0.000000,0.000000,4.408160
0.200000,10.193276,7.073906,18.600000,1.500000,0.000000,0.000000,4.365624
0.200000,10.084832,6.794222,18.900000,1.500000,0.000000,0.000000,4.318646
0.200000,9.962792,6.520203,19.200000,1.500000,0.000000,0.000000,4.267465
0.200000,9.826379,6.253054,19.500000,1.500000,0.000000,0.000000,4.212507
0.200000,9.675076,5.994052,19.800000,1.500000,0.000000,0.000000,4.154403
0.200000,9.508681,5.744483,20.100000,1.500000,0.000000,0.000000,4.093973
0.200000,9.327336,5.505558,20.400000,1.500000,0.000000,0.000000,4.032186
0.200000,9.131528,5.278335,20.700000,1.500000,0.000000,0.000000,3.970081
0.200000,8.922053,5.063646,21.000000,1.500000,0.000000,0.000000,3.908678
0.200000,8.699945,4.862050,21.300000,1.500000,0.000000,0.000000,3.848894
0.200000,8.466398,4.673819,21.600000,1.500000,0.000000,0.000000,3.791474
0.200000,8.222679,4.498954,21.900000,1.500000,0.000000,0.000000,3.736964
0.200000,7.978215,4.340509,22.200000,1.500000,0.000000,0.000000,3.704391
0.200000,7.722983,4.182858,22.500000,1.500000,0.000000,0.000000,3.685372
0.200000,7.464774,4.030132,22.800000,1.500000,0.000000,0.000000,3.666026
0.200000,7.203635,3.882470,23.100000,1.500000,0.000000,0.000000,3.646365
0.200000,6.939623,3.740012,23.400000,1.500000,0.000000,0.000000,3.626405
0.200000,6.672800,3.602889,23.700000,1.500000,0.000000,0.000000,3.606161
0.200000,6.403239,3.471232,24.000000,1.500000,0.000000,0.000000,3.585653
0.200000,6.131020,3.345163,24.300000,1.500000,0.000000,0.000000,3.564903
0.200000,5.856229,3.224802,24.600000,1.500000,0.000000,0.000000,3.543931
0.200000,5.578964,3.110256,24.900000,1.500000,0.000000,0.000000,3.522763
0.200000,5.299327,3.001630,25.200000,1.500000,0.000000,0.000000,3.501424
0.200000,5.017428,2.899016,25.500000,1.500000,0.000000,0.000000,3.479942
0.200000,4.733385,2.802498,25.800000,1.500000,0.000000,0.000000,3.458345
0.200000,4.447319,2.712150,26.100000,1.500000,0.000000,0.000000,3.436662
0.200000,4.159359,2.628034,26.400000,1.500000,0.000000,0.000000,3.414925
0.200000,3.869638,2.550200,26.700000,1.500000,0.000000,0.000000,3.393164
0.200000,3.578291,2.478689,27.000000,1.500000,0.000000,0.000000,3.371409
0.200000,3.285460,2.413528,27.300000,1.500000,0.000000,0.000000,3.349692
0.200000,2.991284,2.354732,27.600000,1.500000,0.000000,0.000000,3.328043
0.200000,2.695906,2.302304,27.900000,1.500000,0.000000,0.000000,3.306493
0.200000,2.399471,2.256234,28.200000,1.500000,0.000000,0.000000,3.285070
0.200000,2.102119,2.216503,28.500000,1.500000,0.000000,0.000000,3.263803
0.200000,1.803992,2.183078,28.800000,1.500000,0.000000,0.000000,3.242717
0.200000,1.505230,2.155916,29.100000,1.500000,0.000000,0.000000,3.221839
0.200000,1.205968,2.134962,29.400000,1.500000,0.000000,0.000000,3.201192
0.200000,0.906339,2.120155,29.700000,1.500000,0.000000,0.000000,3.180797
0.200000,0.622887,2.111742,29.983581,1.335810,-0.820948,-4.104739,3.161769
0.200000,0.393245,2.108860,30.213243,0.960810,-1.875000,-5.270261,3.146548
0.200000,0.238584,2.108879,30.367905,0.585810,-1.875000,0.000000,3.136397
0.200000,0.158924,2.109500,30.447567,0.210810,-1.875000,0.000000,3.131200
0.200000,0.137844,2.109734,30.468648,0.000000,-1.054052,4.104739,3.129828
0.200000,0.137844,2.109734,30.468648,0.000000,0.000000,5.270261,3.129828
