dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.801009,22.177282,0.125000,1.250000,6.250000,31.250000,4.650276
0.200000,17.772411,21.874980,0.428652,1.518259,1.341297,-24.543514,4.584469
0.200000,17.680728,21.393666,0.918620,2.449840,4.657905,16.583039,4.460118
0.200000,17.454970,20.772903,1.579161,3.302703,4.264314,-1.967956,4.263153
0.200000,16.989405,20.059180,2.431306,4.260725,4.790108,2.628968,4.013365
0.200000,16.159645,19.286856,3.564877,5.667859,7.035672,11.227820,3.792645
0.200000,14.905343,18.464091,5.064950,7.500363,9.162518,10.634231,3.678091
0.200000,13.263471,17.478655,6.979846,9.574482,10.370598,6.040402,3.715058
0.200000,11.501491,15.988187,9.287674,11.539139,9.823284,-2.736569,4.021839
0.200000,10.362983,13.895296,11.670192,11.912588,1.867244,-39.780202,4.387462
0.200000,9.888672,11.748279,13.868976,10.993923,-4.593326,-32.302851,4.573943
0.200000,9.653155,9.743161,15.887879,10.094513,-4.497047,0.481397,4.591446
0.200000,9.328208,7.931075,17.728869,9.204949,-4.447820,0.246138,4.446171
0.200000,8.670516,6.436527,19.361729,8.164301,-5.203242,-3.777113,4.114317
0.200000,7.547588,5.351019,20.923554,7.809123,-1.775887,17.136776,3.719505
0.200000,6.017695,4.487835,22.680158,8.783020,4.869483,33.226847,3.592224
0.200000,4.581312,3.894290,24.234344,7.770930,-5.060448,-49.649652,3.473626
0.200000,3.312253,3.529068,25.554910,6.602832,-5.840491,-3.900218,3.369854
0.200000,2.239969,3.327789,26.645922,5.455060,-5.738861,0.508154,3.284712
0.200000,1.382778,3.232964,27.508342,4.312098,-5.714810,0.120255,3.219168
0.200000,0.750668,3.198698,28.141380,3.165193,-5.734524,-0.098573,3.172567
0.200000,0.348377,3.192056,28.543726,2.011729,-5.767323,-0.163992,3.143748
0.200000,0.177813,3.192715,28.714291,0.852826,-5.794513,-0.135950,3.131734
0.200000,0.150589,3.193009,28.741517,0.136129,-3.583485,11.055141,3.129828
0.200000,0.150589,3.193009,28.741517,0.000000,-0.680645,14.514195,3.129828
