dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,20.100478,22.386361,0.125000,1.250000,6.250000,31.250000,4.652486
0.200000,20.053752,21.922758,0.590951,2.329757,5.398787,-4.256064,4.568405
0.200000,19.853344,21.103170,1.434687,4.218675,9.444590,20.229015,4.365155
0.200000,19.128116,19.959054,2.789292,6.773028,12.771763,16.635863,3.911490
0.200000,17.657623,19.173991,4.456228,8.334677,7.808247,-24.817581,3.393400
0.200000,16.114112,18.960573,6.014423,7.790977,-2.718502,-52.633740,3.222408
0.200000,14.814469,18.752918,7.330551,6.580639,-6.051690,-16.665945,3.503870
0.200000,14.146284,18.018785,8.323235,4.963421,-8.086088,-10.171990,4.284168
0.200000,13.846267,16.468168,9.902609,7.896871,14.667246,113.766674,4.663620
0.200000,13.760537,14.413183,11.959382,10.283866,11.934977,-13.661345,4.610752
0.200000,12.983866,12.042364,14.454176,12.473968,10.950510,-4.922335,4.130803
0.200000,11.376100,10.421737,16.737013,11.414186,-5.298909,-81.247099,3.772318
0.200000,9.631285,9.476394,18.721467,9.922267,-7.459598,-10.803446,3.508089
0.200000,8.045045,9.033625,20.368343,8.234381,-8.439427,-4.899141,3.328023
0.200000,6.740804,8.861083,21.683947,6.578022,-8.281794,0.788164,3.224497
0.200000,5.729630,8.806446,22.696596,5.063245,-7.573887,3.539533,3.170281
0.200000,4.997711,8.795572,23.428596,3.659998,-7.016236,2.788255,3.144453
0.200000,4.532061,8.796908,23.894248,2.328259,-6.658692,1.787723,3.133732
0.200000,4.324396,8.798904,24.101923,1.038375,-6.449423,1.046345,3.130375
0.200000,4.284287,8.799365,24.142034,0.200559,-4.189079,11.301718,3.129828
0.200000,4.284287,8.799365,24.142034,0.000000,-1.002795,15.931422,3.129828
