dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,18.693882,22.552864,0.037500,0.375000,1.875000,9.375000,4.669149
0.200000,18.688206,22.447650,0.142868,0.526838,0.759191,-5.579046,4.647541
0.200000,18.673521,22.273965,0.317172,0.871521,1.723415,4.821120,4.607597
0.200000,18.640754,22.035434,0.557943,1.203855,1.661668,-0.308736,4.541878
0.200000,18.583325,21.772251,0.827319,1.346881,0.715131,-4.732684,4.449371
0.200000,18.501394,21.523649,1.089074,1.308773,-0.190538,-4.528345,4.333921
0.200000,18.392067,21.295326,1.342222,1.265741,-0.215163,-0.123125,4.192587
0.200000,18.253447,21.092751,1.587684,1.227314,-0.192133,0.115150,4.028169
0.200000,18.084765,20.919350,1.829597,1.209562,-0.088758,0.516874,3.853089
0.200000,17.886494,20.775889,2.074327,1.223648,0.070427,0.795929,3.686467
0.200000,17.661227,20.661244,2.327089,1.263811,0.200816,0.651944,3.543973
0.200000,17.413792,20.572797,2.589856,1.313836,0.250124,0.246541,3.431566
0.200000,17.149691,20.506588,2.862130,1.361371,0.237674,-0.062253,3.347790
0.200000,16.873567,20.457894,3.142514,1.401921,0.202754,-0.174601,3.288472
0.200000,16.588696,20.421868,3.429655,1.435701,0.168898,-0.169277,3.249558
0.200000,16.297128,20.393840,3.722566,1.464559,0.144291,-0.123035,3.228095
0.200000,16.000016,20.369310,4.020689,1.490614,0.130274,-0.070089,3.222408
0.200000,15.697914,20.343765,4.323870,1.515901,0.126433,-0.019202,3.232048
0.200000,15.391035,20.312369,4.632351,1.542406,0.132526,0.030464,3.257773
0.200000,15.079528,20.269571,4.946784,1.572164,0.148791,0.081323,3.301585
0.200000,14.763911,20.208622,5.268232,1.607241,0.175386,0.132974,3.366753
0.200000,14.445886,20.121143,5.598069,1.649185,0.209716,0.171653,3.457510
0.200000,14.129865,19.997202,5.937525,1.697282,0.240487,0.153852,3.577697
0.200000,13.825056,19.827110,6.286582,1.745282,0.240001,-0.002426,3.727344
0.200000,13.546145,19.606090,6.642447,1.779328,0.170228,-0.348868,3.897948
0.200000,13.318859,19.354568,6.981450,1.695014,-0.421569,-2.958983,4.041207
0.200000,13.125570,19.086972,7.311553,1.650515,-0.222496,0.995364,4.132780
0.200000,12.957632,18.802688,7.641735,1.650913,0.001992,1.122437,4.224595
0.200000,12.816516,18.505387,7.970828,1.645463,-0.027251,-0.146213,4.313081
0.200000,12.702034,18.199138,8.297775,1.634736,-0.053633,-0.131911,4.395017
0.200000,12.612455,17.887741,8.621801,1.620128,-0.073042,-0.097046,4.468041
0.200000,12.544940,17.574269,8.942461,1.603300,-0.084137,-0.055472,4.530807
0.200000,12.496070,17.260922,9.259596,1.585676,-0.088123,-0.019931,4.582841
0.200000,12.462259,16.949108,9.573238,1.568208,-0.087338,0.003922,4.624247
0.200000,12.440016,16.639631,9.883513,1.551374,-0.084171,0.015840,4.655421
0.200000,12.426053,16.332890,10.190571,1.535294,-0.080400,0.018853,4.676829
