dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.972014,22.919986,0.037500,0.375000,1.875000,9.375000,3.142605
0.200000,17.860909,22.919642,0.148606,0.555528,0.902641,-4.861796,3.146831
0.200000,17.675989,22.917968,0.333534,0.924640,1.845560,4.714596,3.154622
0.200000,17.417685,22.913022,0.591885,1.291755,1.835575,-0.049925,3.167190
0.200000,17.123441,22.903068,0.886297,1.472060,0.901522,-4.670263,3.184114
0.200000,16.830425,22.887753,1.179713,1.467083,-0.024885,-4.632034,3.204049
0.200000,16.538915,22.866200,1.472018,1.461527,-0.027779,-0.014474,3.227346
0.200000,16.249283,22.837448,1.763074,1.455279,-0.031239,-0.017298,3.254423
0.200000,15.962014,22.800442,2.052717,1.448215,-0.035322,-0.020417,3.285772
0.200000,15.677736,22.754032,2.340759,1.440208,-0.040033,-0.023554,3.321963
0.200000,15.397253,22.696972,2.626987,1.431139,-0.045344,-0.026554,3.363634
0.200000,15.121581,22.627934,2.911172,1.420926,-0.051064,-0.028599,3.411474
0.200000,14.851976,22.545540,3.193086,1.409572,-0.056772,-0.028539,3.466173
0.200000,14.589955,22.448417,3.472529,1.397213,-0.061797,-0.025127,3.528332
0.200000,14.337283,22.335271,3.749376,1.384237,-0.064876,-0.015396,3.598319
0.200000,14.095924,22.205005,4.023646,1.371347,-0.064450,0.002129,3.676080
0.200000,13.867924,22.056825,4.295567,1.359609,-0.058694,0.028783,3.760918
0.200000,13.655255,21.890366,4.565635,1.350340,-0.046344,0.061752,3.851341
0.200000,13.459639,21.705765,4.834601,1.344830,-0.027551,0.093965,3.945084
0.200000,13.282391,21.503705,5.103387,1.343929,-0.004506,0.115225,4.039370
0.200000,13.124314,21.285381,5.372930,1.347713,0.018921,0.117132,4.131376
0.200000,12.985676,21.052422,5.644021,1.355457,0.038723,0.099011,4.218715
0.200000,12.866226,20.806734,5.917208,1.365935,0.052390,0.068334,4.299740
0.200000,12.765283,20.550326,6.192770,1.377808,0.059362,0.034860,4.373606
0.200000,12.681840,20.285154,6.470761,1.389955,0.060736,0.006871,4.440140
0.200000,12.614690,20.012989,6.751087,1.401632,0.058387,-0.011747,4.499633
0.200000,12.562533,19.735372,7.033561,1.412372,0.053699,-0.023440,4.552638
0.200000,12.524064,19.453582,7.317965,1.422015,0.048217,-0.027410,4.599822
0.200000,12.498029,19.168666,7.604068,1.430520,0.042522,-0.028476,4.641869
0.200000,12.483260,18.881456,7.891658,1.437946,0.037130,-0.026956,4.679426
0.200000,12.473268,18.594534,8.178754,1.435481,-0.012324,-0.247275,4.666414
0.200000,12.454734,18.285732,8.488111,1.546787,0.556530,2.844271,4.638027
0.200000,12.426913,17.976658,8.798435,1.551618,0.024156,-2.661868,4.606703
0.200000,12.388787,17.667577,9.109859,1.557120,0.027513,0.016783,4.572038
0.200000,12.339202,17.358862,9.422530,1.563356,0.031178,0.018325,4.533577
0.200000,12.276856,17.051028,9.736614,1.570420,0.035320,0.020713,4.490824
0.200000,12.200306,16.744783,10.052282,1.578341,0.039606,0.021427,4.443257
0.200000,12.107978,16.441092,10.369697,1.587074,0.043662,0.020283,4.390366
0.200000,11.998221,16.141236,10.689009,1.596563,0.047447,0.018926,4.331706
0.200000,11.869392,15.846895,11.010309,1.606498,0.049676,0.011146,4.266992
0.200000,11.720013,15.560190,11.333595,1.616431,0.049664,-0.000061,4.196222
0.200000,11.548970,15.283680,11.658731,1.625680,0.046243,-0.017105,4.119811
0.200000,11.355768,15.020263,11.985405,1.633367,0.038434,-0.039047,4.038709
0.200000,11.140755,14.772948,12.313117,1.638559,0.025964,-0.062348,3.954438
0.200000,10.905239,14.544517,12.641215,1.640493,0.009669,-0.081475,3.868985
0.200000,10.651416,14.337146,12.968979,1.638817,-0.008383,-0.090262,3.784558
0.200000,10.382118,14.152116,13.295716,1.633688,-0.025643,-0.086298,3.703261
0.200000,10.100434,13.989705,13.620867,1.625753,-0.039675,-0.070161,3.626806
0.200000,9.809354,13.849280,13.944049,1.615912,-0.049206,-0.047654,3.556352
0.200000,9.511511,13.729520,14.265068,1.605091,-0.054103,-0.024488,3.492495
0.200000,9.209066,13.628685,14.583880,1.594060,-0.055155,-0.005257,3.435356
0.200000,8.903692,13.544844,14.900553,1.583369,-0.053458,0.008485,3.384728
0.200000,8.596638,13.476050,15.215220,1.573335,-0.050172,0.016430,3.340203
0.200000,8.288795,13.420438,15.528046,1.564128,-0.046032,0.020700,3.301279
0.200000,7.980789,13.376287,15.839200,1.555770,-0.041789,0.021212,3.267432
0.200000,7.673041,13.342032,16.148849,1.548245,-0.037626,0.020816,3.238160
0.200000,7.365826,13.316266,16.457143,1.541467,-0.033889,0.018684,3.213003
0.200000,7.059315,13.297730,16.764214,1.535355,-0.030562,0.016634,3.191559
0.200000,6.753606,13.285291,17.070175,1.529808,-0.027733,0.014148,3.173481
0.200000,6.448746,13.277929,17.375124,1.524743,-0.025324,0.012046,3.158476
0.200000,6.144749,13.274715,17.679138,1.520071,-0.023361,0.009811,3.146306
0.200000,5.841606,13.274794,17.982281,1.515716,-0.021777,0.007920,3.136779
0.200000,5.539296,13.277373,18.284602,1.511603,-0.020562,0.006075,3.129745
0.200000,5.237793,13.281705,18.586136,1.507669,-0.019670,0.004463,3.125097
0.200000,4.937071,13.287074,18.886906,1.503852,-0.019085,0.002926,3.122762
0.200000,4.637107,13.292789,19.186925,1.500093,-0.018794,0.001451,3.122706
0.200000,4.372868,13.297576,19.451207,1.321412,-0.893408,-4.373069,3.124549
0.200000,4.181423,13.300619,19.642676,0.957343,-1.820346,-4.634687,3.127010
0.200000,4.064804,13.302208,19.759306,0.583151,-1.870961,-0.253074,3.128982
0.200000,4.022790,13.302721,19.801323,0.210085,-1.865326,0.028172,3.129782
0.200000,4.020415,13.302749,19.803698,0.011875,-0.991054,4.371363,3.129828
0.200000,4.020415,13.302749,19.803698,0.000000,-0.059373,4.658403,3.129828
