dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.879554,24.333096,0.125000,1.250000,6.250000,31.250000,3.145863
0.200000,17.486925,24.328340,0.517658,1.963289,3.566443,-13.417784,3.162166
0.200000,16.822790,24.303172,1.182270,3.323063,6.798870,16.162132,3.198765
0.200000,15.869740,24.214590,2.139428,4.785789,7.313632,2.573811,3.274814
0.200000,14.601838,23.948910,3.434867,6.477193,8.457020,5.716940,3.433394
0.200000,13.047494,23.207674,5.156905,8.610191,10.664989,11.039848,3.760918
0.200000,11.666591,21.577773,7.293133,10.681140,10.354744,-1.551225,4.253308
0.200000,11.097034,19.382521,9.561067,11.339674,3.292670,-35.310374,4.628383
0.200000,10.932678,17.526598,11.424253,9.315927,-10.118731,-67.057004,4.519828
0.200000,10.381097,16.079751,12.972674,7.742108,-7.869099,11.248162,4.122783
0.200000,9.414443,15.225956,14.262397,6.448614,-6.467470,7.008145,3.616783
0.200000,8.197368,14.838603,15.539627,6.386147,-0.312334,30.775682,3.320921
0.200000,6.992558,14.709508,16.751333,6.058531,-1.638079,-6.628727,3.191831
0.200000,5.946961,14.687796,17.797156,5.229114,-4.147085,-12.545032,3.139724
0.200000,5.112062,14.697437,18.632110,4.174773,-5.271706,-5.623103,3.123638
0.200000,4.509870,14.708737,19.234409,3.011493,-5.816400,-2.723471,3.123553
0.200000,4.152949,14.714516,19.591376,1.784837,-6.133278,-1.584390,3.127778
0.200000,4.037042,14.716001,19.707293,0.579583,-6.026269,0.535045,3.129828
0.200000,4.037042,14.716001,19.707293,0.000000,-2.897915,15.641771,3.129828
