dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.973821,22.919907,0.037500,0.375000,1.875000,9.375000,3.148752
0.200000,17.870990,22.917683,0.140355,0.514276,0.696380,-5.893098,3.177963
0.200000,17.701093,22.907119,0.310581,0.851127,1.684255,4.939373,3.230253
0.200000,17.467281,22.876962,0.546329,1.178742,1.638075,-0.230901,3.311126
0.200000,17.207697,22.818932,0.812321,1.329958,0.756078,-4.409986,3.413824
0.200000,16.958445,22.734346,1.075534,1.316066,-0.069460,-4.127691,3.524888
0.200000,16.721417,22.622604,1.337580,1.310234,-0.029159,0.201510,3.639461
0.200000,16.497839,22.484185,1.600538,1.314790,0.022779,0.259686,3.751292
0.200000,16.288192,22.320700,1.866394,1.329280,0.072450,0.248358,3.854400
0.200000,16.092231,22.134739,2.136546,1.350761,0.107406,0.174780,3.944570
0.200000,15.909015,21.929519,2.411653,1.375533,0.123860,0.082271,4.019808
0.200000,15.736990,21.708423,2.691788,1.400677,0.125722,0.009309,4.079876
0.200000,15.574126,21.474643,2.976706,1.424586,0.119542,-0.030898,4.125506
0.200000,15.418070,21.230986,3.266053,1.446737,0.110757,-0.043929,4.157749
0.200000,15.266262,20.979847,3.559510,1.467283,0.102728,-0.040141,4.177563
0.200000,15.115990,20.723273,3.856851,1.486708,0.097127,-0.028007,4.185617
0.200000,14.964401,20.463082,4.157980,1.505645,0.094686,-0.012203,4.182195
0.200000,14.808467,20.201010,4.462934,1.524768,0.095614,0.004637,4.167176
0.200000,14.644944,19.938889,4.771879,1.544728,0.099799,0.020927,4.140039
0.200000,14.470336,19.678857,5.085096,1.566081,0.106767,0.034840,4.099926
0.200000,14.280943,19.423624,5.402922,1.589132,0.115255,0.042438,4.045789
0.200000,14.073042,19.176775,5.725656,1.613671,0.122692,0.037184,3.976702
0.200000,13.843339,18.943036,6.053372,1.638579,0.124543,0.009257,3.892421
0.200000,13.589751,18.728291,6.385670,1.661490,0.114551,-0.049958,3.794141
0.200000,13.312362,18.539054,6.721461,1.678956,0.087334,-0.136086,3.685178
0.200000,13.046457,18.388853,7.026855,1.526970,-0.759931,-4.236325,3.638806
0.200000,12.771601,18.245135,7.337018,1.550813,0.119216,4.395736,3.607971
0.200000,12.492502,18.109962,7.647128,1.550548,-0.001329,-0.602725,3.577300
0.200000,12.209499,17.983413,7.957135,1.550039,-0.002541,-0.006063,3.546937
0.200000,11.922950,17.865509,8.266994,1.549292,-0.003739,-0.005987,3.517028
0.200000,11.633215,17.756213,8.576657,1.548319,-0.004865,-0.005633,3.487710
0.200000,11.340662,17.655432,8.886083,1.547129,-0.005945,-0.005400,3.459115
0.200000,11.045649,17.563017,9.195232,1.545744,-0.006928,-0.004915,3.431361
0.200000,10.748525,17.478772,9.504069,1.544183,-0.007805,-0.004381,3.404555
0.200000,10.449621,17.402452,9.812562,1.542469,-0.008569,-0.003822,3.378791
0.200000,10.149247,17.333773,10.120688,1.540625,-0.009219,-0.003252,3.354146
0.200000,9.847691,17.272417,10.428423,1.538676,-0.009748,-0.002643,3.330684
0.200000,9.545211,17.218038,10.735751,1.536642,-0.010166,-0.002091,3.308458
0.200000,9.242043,17.170269,11.042660,1.534546,-0.010481,-0.001575,3.287503
0.200000,8.938391,17.128723,11.349141,1.532406,-0.010703,-0.001107,3.267849
0.200000,8.634435,17.093003,11.655189,1.530237,-0.010841,-0.000692,3.249510
0.200000,8.330329,17.062705,11.960800,1.528055,-0.010912,-0.000353,3.232496
0.200000,8.026204,17.037420,12.265974,1.525870,-0.010925,-0.000069,3.216807
0.200000,7.722169,17.016737,12.570712,1.523692,-0.010892,0.000167,3.202441
0.200000,7.418311,17.000248,12.875018,1.521526,-0.010826,0.000327,3.189388
0.200000,7.114701,16.987545,13.178893,1.519379,-0.010739,0.000437,3.177638
0.200000,6.811393,16.978228,13.482344,1.517252,-0.010632,0.000533,3.167178
0.200000,6.508430,16.971898,13.785373,1.515148,-0.010521,0.000557,3.157994
0.200000,6.205840,16.968165,14.087986,1.513066,-0.010409,0.000560,3.150073
0.200000,5.903642,16.966641,14.390188,1.511006,-0.010302,0.000535,3.143401
0.200000,5.601850,16.966946,14.691981,1.508965,-0.010205,0.000487,3.137967
0.200000,5.300467,16.968704,14.993369,1.506940,-0.010121,0.000420,3.133760
0.200000,4.999494,16.971541,15.294355,1.504930,-0.010053,0.000339,3.130772
0.200000,4.698929,16.975090,15.594940,1.502929,-0.010004,0.000247,3.128997
0.200000,4.417887,16.978735,15.876006,1.405330,-0.487997,-2.389965,3.128431
0.200000,4.193749,16.981663,16.100163,1.120783,-1.422735,-4.673691,3.128739
0.200000,4.044694,16.983540,16.249230,0.745335,-1.877237,-2.272512,3.129318
0.200000,3.970573,16.984435,16.323356,0.370632,-1.873518,0.018595,3.129718
0.200000,3.952232,16.984652,16.341699,0.091713,-1.394591,2.394639,3.129828
0.200000,3.952232,16.984652,16.341699,0.000000,-0.458567,4.680118,3.129828
