dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.851760,24.331162,0.125000,1.250000,6.250000,31.250000,3.171334
0.200000,17.361740,24.290619,0.616694,2.458472,6.042358,-1.038212,3.279272
0.200000,16.528440,24.083267,1.475405,4.293551,9.175398,15.665201,3.496569
0.200000,15.468137,23.477074,2.696762,6.106786,9.066174,-0.546119,3.821307
0.200000,14.511159,22.424137,4.119605,7.114216,5.037149,-20.145125,4.100584
0.200000,13.745091,21.177814,5.582541,7.314682,1.002331,-20.174089,4.182195
0.200000,12.964481,20.060328,6.945672,6.815652,-2.495151,-17.487410,3.943405
0.200000,11.733852,19.317775,8.382973,7.186507,1.854277,21.747137,3.557015
0.200000,10.120437,18.776936,10.084624,8.508253,6.608728,23.772255,3.379069
0.200000,8.607589,18.512225,11.620456,7.679162,-4.145457,-53.770925,3.257595
0.200000,7.271104,18.408309,12.960975,6.702593,-4.882841,-3.686922,3.185989
0.200000,6.143374,18.381068,14.089034,5.640296,-5.311488,-2.143234,3.148832
0.200000,5.242208,18.382582,14.990200,4.505833,-5.672316,-1.804137,3.132952
0.200000,4.578603,18.390100,15.653848,3.318240,-5.937964,-1.328245,3.128585
0.200000,4.159912,18.395561,16.072575,2.093634,-6.123027,-0.925314,3.128906
0.200000,3.990687,18.397646,16.241813,0.846188,-6.237231,-0.571021,3.129699
0.200000,3.968858,18.397904,16.263643,0.109151,-3.685186,12.760227,3.129828
0.200000,3.968858,18.397904,16.263643,0.000000,-0.545754,15.697161,3.129828
