dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.889553,22.166827,0.125000,1.250000,6.250000,31.250000,3.138388
0.200000,17.502699,22.170200,0.511869,1.934345,3.421724,-14.141378,3.127431
0.200000,16.859139,22.184945,1.155597,3.218641,6.421483,14.998791,3.110136
0.200000,15.961003,22.223338,2.054554,4.494783,6.380706,-0.203882,3.088006
0.200000,14.811700,22.299676,3.206389,5.759176,6.321964,-0.293709,3.063208
0.200000,13.415884,22.427345,4.608032,7.008215,6.245198,-0.383833,3.038582
0.200000,11.778922,22.615145,6.255731,8.238498,6.151412,-0.468929,3.017601
0.200000,9.905886,22.863066,8.145103,9.446860,6.041812,-0.547999,3.004322
0.200000,7.925306,23.140206,10.144979,9.999379,2.762596,-16.396083,3.003017
0.200000,6.081802,23.389011,12.005198,9.301091,-3.491441,-31.270183,3.013816
0.200000,4.491603,23.579342,13.606747,8.007746,-6.466727,-14.876429,3.032603
0.200000,3.150824,23.711366,14.954009,6.736314,-6.357159,0.547837,3.055342
0.200000,2.057179,23.793527,16.050737,5.483636,-6.263388,0.468856,3.078580
0.200000,1.209099,23.838323,16.899999,4.246310,-6.186634,0.383768,3.099486
0.200000,0.605301,23.858865,17.504146,3.020736,-6.127867,0.293838,3.115891
0.200000,0.244712,23.866274,17.864812,1.803329,-6.087038,0.204145,3.126284
0.200000,0.125100,23.867893,17.984434,0.598114,-6.026073,0.304827,3.129828
0.200000,0.125100,23.867893,17.984434,0.000000,-2.990570,15.177510,3.129828
