dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,17.980718,23.580006,0.037500,0.375000,1.875000,9.375000,3.141007
0.200000,17.869327,23.580259,0.148890,0.556952,0.909762,-4.826190,3.137645
0.200000,17.683653,23.581506,0.334569,0.928394,1.857206,4.737219,3.132126
0.200000,17.423666,23.584952,0.594579,1.300048,1.858274,0.005342,3.124582
0.200000,17.126493,23.591258,0.891819,1.486200,0.930759,-4.637574,3.116221
0.200000,16.829288,23.600008,1.189152,1.486667,0.002336,-4.642119,3.108143
0.200000,16.532068,23.611121,1.486580,1.487139,0.002357,0.000105,3.100351
0.200000,16.234846,23.624510,1.784103,1.487615,0.002380,0.000116,3.092847
0.200000,15.937636,23.640091,2.081722,1.488095,0.002402,0.000109,3.085634
0.200000,15.640446,23.657778,2.379438,1.488578,0.002417,0.000075,3.078713
0.200000,15.343285,23.677484,2.677251,1.489065,0.002431,0.000070,3.072087
0.200000,15.046162,23.699122,2.975161,1.489553,0.002443,0.000062,3.065758
0.200000,14.749079,23.722603,3.273170,1.490044,0.002453,0.000049,3.059725
0.200000,14.452042,23.747840,3.571277,1.490536,0.002460,0.000036,3.053990
0.200000,14.155053,23.774745,3.869483,1.491029,0.002467,0.000032,3.048555
0.200000,13.858111,23.803229,4.167788,1.491523,0.002471,0.000023,3.043418
0.200000,13.561217,23.833203,4.466192,1.492018,0.002474,0.000016,3.038582
0.200000,13.264367,23.864579,4.764694,1.492514,0.002477,0.000011,3.034045
0.200000,12.967560,23.897267,5.063296,1.493009,0.002478,0.000005,3.029809
0.200000,12.670791,23.931178,5.361997,1.493505,0.002478,-0.000000,3.025873
0.200000,12.374053,23.966225,5.660797,1.494000,0.002478,0.000000,3.022238
0.200000,12.077341,24.002318,5.959696,1.494496,0.002477,-0.000004,3.018902
0.200000,11.780647,24.039368,6.258694,1.494991,0.002475,-0.000009,3.015867
0.200000,11.483964,24.077287,6.557791,1.495485,0.002474,-0.000006,3.013131
0.200000,11.187281,24.115985,6.856987,1.495980,0.002472,-0.000008,3.010694
0.200000,10.890589,24.155375,7.156282,1.496474,0.002470,-0.000010,3.008558
0.200000,10.593879,24.195368,7.455676,1.496968,0.002468,-0.000010,3.006720
0.200000,10.297139,24.235874,7.755168,1.497461,0.002467,-0.000006,3.005181
0.200000,10.000357,24.276807,8.054759,1.497954,0.002466,-0.000008,3.003941
0.200000,9.703523,24.318076,8.354448,1.498447,0.002464,-0.000008,3.003000
0.200000,9.406624,24.359594,8.654236,1.498940,0.002463,-0.000004,3.002358
0.200000,9.109648,24.401273,8.954123,1.499432,0.002462,-0.000004,3.002013
0.200000,8.812582,24.443023,9.254107,1.499924,0.002462,-0.000003,3.001968
0.200000,8.515415,24.484756,9.554191,1.500417,0.002462,-0.000000,3.002220
0.200000,8.218134,24.526383,9.854373,1.500909,0.002462,0.000001,3.002771
0.200000,7.920725,24.567816,10.154653,1.501402,0.002462,0.000002,3.003621
0.200000,7.623178,24.608965,10.455032,1.501894,0.002464,0.000006,3.004769
0.200000,7.325481,24.649741,10.755509,1.502387,0.002464,0.000004,3.006216
0.200000,7.027620,24.690055,11.056085,1.502880,0.002466,0.000006,3.007962
0.200000,6.729586,24.729818,11.356760,1.503374,0.002468,0.000010,3.010007
0.200000,6.431368,24.768939,11.657534,1.503868,0.002469,0.000007,3.012351
0.200000,6.132955,24.807329,11.958406,1.504362,0.002470,0.000007,3.014995
0.200000,5.834337,24.844898,12.259377,1.504856,0.002472,0.000009,3.017938
0.200000,5.535507,24.881554,12.560448,1.505351,0.002474,0.000009,3.021182
0.200000,5.236456,24.917208,12.861617,1.505846,0.002475,0.000004,3.024726
0.200000,4.937176,24.951769,13.162885,1.506341,0.002476,0.000005,3.028569
0.200000,4.637663,24.985145,13.464252,1.506837,0.002477,0.000004,3.032713
0.200000,4.337910,25.017245,13.765719,1.507332,0.002476,-0.000003,3.037158
0.200000,4.037915,25.047978,14.067284,1.507827,0.002475,-0.000005,3.041902
0.200000,3.737675,25.077251,14.368948,1.508321,0.002473,-0.000009,3.046946
0.200000,3.437188,25.104974,14.670712,1.508816,0.002470,-0.000015,3.052290
0.200000,3.136455,25.131055,14.972573,1.509309,0.002466,-0.000021,3.057933
0.200000,2.835478,25.155400,15.274533,1.509801,0.002461,-0.000027,3.063874
0.200000,2.534260,25.177920,15.576592,1.510291,0.002453,-0.000039,3.070113
0.200000,2.232807,25.198522,15.878748,1.510780,0.002444,-0.000046,3.076648
0.200000,1.931126,25.217115,16.181001,1.511267,0.002433,-0.000053,3.083478
0.200000,1.629226,25.233608,16.483351,1.511751,0.002419,-0.000068,3.090602
0.200000,1.327118,25.247911,16.785797,1.512231,0.002402,-0.000089,3.098017
0.200000,1.024816,25.259933,17.088339,1.512708,0.002385,-0.000083,3.105721
0.200000,0.725434,25.269499,17.387874,1.497674,-0.075168,-0.387764,3.113628
0.200000,0.466832,25.275825,17.646552,1.293393,-1.021408,-4.731202,3.120679
0.200000,0.283824,25.279186,17.829592,0.915195,-1.890987,-4.347896,3.125790
0.200000,0.176478,25.280720,17.936949,0.536787,-1.892044,-0.005283,3.128835
0.200000,0.141726,25.281146,17.971703,0.173770,-1.815083,0.384806,3.129828
0.200000,0.141726,25.281146,17.971703,0.000000,-0.868850,4.731164,3.129828
