dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.779885,23.414224,0.125000,1.250000,6.250000,31.250000,5.755165
0.200000,22.068408,23.239453,0.462328,1.686640,2.183202,-20.333988,5.720407
0.200000,22.509807,22.937228,0.997279,2.674757,4.940583,13.786901,5.637429
0.200000,22.964138,22.523614,1.611684,3.072024,1.986335,-14.771237,5.398123
0.200000,23.054696,22.492850,1.707326,0.478207,-12.969083,-74.777091,4.411805
0.200000,22.558882,22.038764,2.379655,3.361646,14.417195,136.931391,3.766123
0.200000,21.228443,21.174192,3.966335,7.933398,22.858760,42.207824,3.730928
0.200000,19.875804,20.377377,5.536222,7.849434,-0.419822,-116.392908,3.463659
0.200000,18.114018,20.038396,7.330323,8.970507,5.605367,30.125943,3.276099
0.200000,15.934187,19.569890,9.559933,11.148050,10.887715,26.411741,3.492372
0.200000,13.908958,18.248038,11.978371,12.092188,4.720689,-30.835132,3.912273
0.200000,12.509013,16.426238,14.275936,11.487825,-3.021817,-38.712529,4.194062
0.200000,11.622244,14.407714,16.480657,11.023605,-2.321098,3.503594,4.386193
0.200000,11.053174,12.394751,18.572513,10.459281,-2.821621,-2.502613,4.471581
0.200000,10.584214,10.461548,20.561783,9.946351,-2.564648,1.284866,4.461694
0.200000,10.036609,8.659846,22.444866,9.415416,-2.654677,-0.450145,4.354608
0.200000,9.261236,7.075771,24.208527,8.818303,-2.985565,-1.654441,4.139612
0.200000,8.160515,5.808225,25.887294,8.393836,-2.122336,4.316143,3.848662
0.200000,6.715672,4.850643,27.620653,8.666796,1.364803,17.435695,3.649286
0.200000,5.216675,4.132255,29.282903,8.311247,-1.777749,-15.712761,3.526130
0.200000,3.867652,3.671372,30.708482,7.127896,-5.916752,-20.695014,3.414985
0.200000,2.703518,3.403215,31.903102,5.973100,-5.773983,0.713845,3.321143
0.200000,1.747373,3.266353,32.868992,4.829451,-5.718241,0.278710,3.246735
0.200000,1.012591,3.209315,33.605985,3.684965,-5.722430,-0.020943,3.191687
0.200000,0.505943,3.193277,34.112887,2.534508,-5.752285,-0.149278,3.154955
0.200000,0.230385,3.192293,34.388446,1.377797,-5.783556,-0.156354,3.135424
0.200000,0.150589,3.193009,34.468246,0.398997,-4.894000,4.447778,3.129828
0.200000,0.150589,3.193009,34.468246,0.000000,-1.994985,14.495075,3.129828
