dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.421779,24.675673,0.037500,0.375000,1.875000,9.375000,5.758957
0.200000,22.524063,24.615239,0.156304,0.594020,1.095102,-3.899492,5.739849
0.200000,22.692811,24.509260,0.355571,0.996333,2.011563,4.582309,5.704158
0.200000,22.924495,24.348015,0.637843,1.411361,2.075141,0.317888,5.644116
0.200000,23.180058,24.140792,0.966862,1.645095,1.168672,-4.532347,5.555856
0.200000,23.420061,23.901502,1.305773,1.694557,0.247310,-4.606810,5.437339
0.200000,23.633039,23.619918,1.658831,1.765288,0.353651,0.531706,5.275389
0.200000,23.797134,23.287339,2.029689,1.854290,0.445014,0.456817,5.058454
0.200000,23.879964,22.910646,2.415381,1.928460,0.370848,-0.370833,4.795386
0.200000,23.860244,22.524927,2.801604,1.931114,0.013269,-1.787890,4.530661
0.200000,23.751867,22.169120,3.173551,1.859733,-0.356903,-1.850864,4.310350
0.200000,23.585811,21.856424,3.527604,1.770267,-0.447333,-0.452148,4.145333
0.200000,23.385674,21.582020,3.867239,1.698177,-0.360447,0.434427,4.024601
0.200000,23.164806,21.337487,4.196753,1.647566,-0.253054,0.536966,3.934831
0.200000,22.930444,21.115818,4.519340,1.612937,-0.173147,0.399538,3.866193
0.200000,22.686708,20.911916,4.837119,1.588894,-0.120215,0.264659,3.812200
0.200000,22.433418,20.724938,5.151947,1.574139,-0.073773,0.232208,3.736776
0.200000,22.152978,20.552621,5.481097,1.645750,0.358053,2.159135,3.648114
0.200000,21.858284,20.405880,5.810304,1.646037,0.001437,-1.783082,3.559275
0.200000,21.552744,20.285838,6.138579,1.641377,-0.023303,-0.123699,3.473285
0.200000,21.240013,20.192186,6.465032,1.632262,-0.045575,-0.111359,3.392858
0.200000,20.923449,20.123322,6.788999,1.619839,-0.062117,-0.082709,3.320011
0.200000,20.605755,20.076715,7.110095,1.605475,-0.071816,-0.048497,3.255919
0.200000,20.288858,20.049346,7.428171,1.590382,-0.075469,-0.018263,3.201021
0.200000,19.973977,20.038061,7.743254,1.575416,-0.074831,0.003190,3.155231
0.200000,19.661769,20.039801,8.055467,1.561067,-0.071742,0.015445,3.118167
0.200000,19.352493,20.051710,8.364972,1.547522,-0.067723,0.020092,3.089333
0.200000,19.046155,20.071163,8.671927,1.534775,-0.063735,0.019939,3.068240
0.200000,18.742611,20.095750,8.976465,1.522690,-0.060425,0.016551,3.054481
0.200000,18.441649,20.123226,9.278679,1.511069,-0.058107,0.011589,3.047771
0.200000,18.143046,20.151467,9.578615,1.499679,-0.056950,0.005790,3.047966
0.200000,17.846613,20.178415,9.876270,1.488277,-0.057012,-0.000311,3.055070
0.200000,17.552235,20.202030,10.171593,1.476616,-0.058303,-0.006458,3.069235
0.200000,17.259910,20.220248,10.464486,1.464465,-0.060755,-0.012259,3.090754
0.200000,16.969782,20.230954,10.754811,1.451624,-0.064204,-0.017245,3.120041
0.200000,16.682191,20.231967,11.042404,1.437967,-0.068285,-0.020408,3.157586
0.200000,16.397704,20.221050,11.327101,1.423482,-0.072428,-0.020712,3.203884
0.200000,16.117148,20.195963,11.608776,1.408376,-0.075528,-0.015499,3.259304
0.200000,15.841612,20.154545,11.887408,1.393158,-0.076089,-0.002808,3.323909
0.200000,15.572408,20.094847,12.163151,1.378719,-0.072196,0.019466,3.397225
0.200000,15.310986,20.015287,12.436412,1.366301,-0.062087,0.050544,3.478027
0.200000,15.058807,19.914807,12.707872,1.357300,-0.045009,0.085389,3.564257
0.200000,14.817210,19.792991,12.978441,1.352848,-0.022259,0.113754,3.653167
0.200000,14.587302,19.650120,13.249126,1.353424,0.002880,0.125694,3.741731
0.200000,14.369882,19.487139,13.520850,1.358622,0.025991,0.115553,3.827166
0.200000,14.165416,19.305546,13.794314,1.367320,0.043489,0.087490,3.907354
0.200000,13.974022,19.107206,14.069941,1.378135,0.054075,0.052929,3.981017
0.200000,13.803420,18.902723,14.336246,1.331523,-0.233061,-1.435677,4.058820
0.200000,13.649485,18.681416,14.605825,1.347898,0.081878,1.574696,4.150713
