dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.776011,23.415859,0.125000,1.250000,6.250000,31.250000,5.744233
0.200000,22.021968,23.256687,0.417968,1.464842,1.074209,-25.878954,5.668577
0.200000,22.335704,22.993134,0.827712,2.048719,2.919385,9.225876,5.470477
0.200000,22.471242,22.795229,1.067581,1.199345,-4.246870,-35.831274,4.886060
0.200000,22.356891,22.561338,1.327929,1.301738,0.511969,23.794196,4.090471
0.200000,21.641008,21.895256,2.305760,4.889154,17.937077,87.125541,3.736776
0.200000,20.579026,21.498715,3.439361,5.668008,3.894270,-70.214036,3.292202
0.200000,18.961119,21.495572,5.057271,8.089550,12.107713,41.067213,3.058273
0.200000,16.887718,21.645758,7.136104,10.394164,11.523070,-2.923213,3.131613
0.200000,14.479063,21.203781,9.584974,12.244350,9.250928,-11.360709,3.564257
0.200000,12.526009,19.545902,12.146806,12.809158,2.824042,-32.134433,4.119955
0.200000,11.727488,17.176144,14.647483,12.503388,-1.528854,-21.764478,4.605992
0.200000,11.639098,15.113326,16.712194,10.323554,-10.899169,-46.851576,4.666257
0.200000,11.347456,13.552340,18.300190,7.939981,-11.917861,-5.093460,4.294445
0.200000,10.428014,12.433295,19.748512,7.241607,-3.491872,42.129944,3.852432
0.200000,9.195708,11.642722,21.212610,7.320492,0.394423,19.431478,3.572919
0.200000,7.965009,11.230076,22.510646,6.490182,-4.151548,-22.729858,3.368516
0.200000,6.840649,11.046626,23.649873,5.696134,-3.970241,0.906536,3.246836
0.200000,5.892068,10.979946,24.600795,4.754610,-4.707619,-3.686889,3.181611
0.200000,5.155194,10.963145,25.337861,3.685330,-5.346400,-3.193904,3.149622
0.200000,4.648488,10.962857,25.844567,2.533531,-5.758996,-2.062980,3.135738
0.200000,4.382018,10.965102,26.111046,1.332394,-6.005685,-1.233447,3.130870
0.200000,4.309775,10.965915,26.183294,0.361238,-4.855780,5.749527,3.129828
0.200000,4.309775,10.965915,26.183294,0.000000,-1.806189,15.247956,3.129828
