dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.888042,25.275422,0.125000,1.250000,6.250000,31.250000,5.744233
0.200000,23.271371,25.026879,0.581853,2.284266,5.171332,-5.393338,5.668577
0.200000,23.909056,24.482815,1.420094,4.191204,9.534688,21.816779,5.470477
0.200000,24.605348,23.169633,2.906455,7.431806,16.203007,33.341593,4.886060
0.200000,24.117903,21.299030,4.839526,9.665351,11.167729,-25.176389,4.090471
0.200000,22.858224,20.102062,6.577203,8.688389,-4.884811,-80.262703,3.741878
0.200000,21.080592,19.290737,8.531231,9.770136,5.408734,51.467728,3.430679
0.200000,19.205630,18.836159,10.460512,9.646406,-0.618648,-30.136910,3.380248
0.200000,17.649931,18.260080,12.119447,8.294676,-6.758650,-30.700012,3.688927
0.200000,16.530803,17.135337,13.706108,7.933305,-1.806854,24.758983,4.055731
0.200000,15.278022,15.510458,15.757861,10.258764,11.627295,67.170744,4.007656
0.200000,13.494806,13.966068,18.116887,11.795130,7.681830,-19.727325,3.665241
0.200000,11.312216,13.223636,20.422294,11.527034,-1.340482,-45.111559,3.316485
0.200000,9.540665,12.976118,22.211053,8.943795,-12.916195,-57.878564,3.290580
0.200000,8.012266,12.769850,23.753308,7.711275,-6.162600,33.767973,3.256571
0.200000,6.718022,12.643799,25.053676,6.501839,-6.047179,0.577105,3.220025
0.200000,5.673860,12.578627,26.099869,5.230968,-6.354354,-1.535875,3.187356
0.200000,4.884755,12.552857,26.889396,3.947632,-6.416679,-0.311623,3.160864
0.200000,4.353719,12.547550,27.420458,2.655308,-6.461621,-0.224710,3.142199
0.200000,4.082266,12.548711,27.691913,1.357278,-6.490150,-0.142646,3.132407
0.200000,4.011553,12.549451,27.762630,0.353586,-5.018460,7.358448,3.129828
0.200000,4.011553,12.549451,27.762630,0.000000,-1.767931,16.252648,3.129828
