dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.776011,23.415859,0.125000,1.250000,6.250000,31.250000,5.744233
0.200000,22.021968,23.256687,0.417968,1.464842,1.074209,-25.878954,5.668577
0.200000,22.335704,22.993134,0.827712,2.048719,2.919385,9.225876,5.470477
0.200000,22.471242,22.795229,1.067581,1.199345,-4.246870,-35.831274,4.886060
0.200000,22.356891,22.561338,1.327929,1.301738,0.511969,23.794196,4.090471
0.200000,21.634303,21.889968,2.314271,4.931712,18.149870,88.189505,3.741878
0.200000,20.462917,21.367529,3.596881,6.413049,7.406684,-53.715928,3.430679
0.200000,18.693431,20.941448,5.416943,9.100311,13.436311,30.148131,3.380248
0.200000,16.522352,20.110257,7.741693,11.623748,12.617181,-4.095648,3.688927
0.200000,14.814696,18.458049,10.117799,11.880531,1.283918,-56.666313,4.055731
0.200000,13.627464,16.914113,12.065428,9.738142,-10.711946,-59.979325,4.007656
0.200000,12.411364,15.842432,13.686354,8.104631,-8.167555,12.721958,3.665241
0.200000,10.935205,15.357284,15.240192,7.769190,-1.677208,32.451736,3.316485
0.200000,9.219048,15.118815,16.972838,8.663231,4.470209,30.737082,3.290580
0.200000,7.763692,14.922244,18.441409,7.342855,-6.601882,-55.360455,3.256571
0.200000,6.548257,14.803838,19.662598,6.105945,-6.184550,2.086663,3.220025
0.200000,5.574739,14.743058,20.638012,4.877068,-6.144384,0.200827,3.187356
0.200000,4.843003,14.719155,21.370138,3.660631,-6.082185,0.310995,3.160864
0.200000,4.352407,14.714249,21.860759,2.453103,-6.037638,0.222738,3.142199
0.200000,4.102170,14.715319,22.110998,1.251197,-6.009531,0.140535,3.132407
0.200000,4.037042,14.716001,22.176129,0.325657,-4.627703,6.909139,3.129828
0.200000,4.037042,14.716001,22.176129,0.000000,-1.628284,14.997095,3.129828
