dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.888042,25.275422,0.125000,1.250000,6.250000,31.250000,5.744233
0.200000,23.271371,25.026879,0.581853,2.284266,5.171332,-5.393338,5.668577
0.200000,23.909056,24.482815,1.420094,4.191204,9.534688,21.816779,5.470477
0.200000,24.605348,23.169633,2.906455,7.431806,16.203007,33.341593,4.886060
0.200000,24.117903,21.299030,4.839526,9.665351,11.167729,-25.176389,4.090471
0.200000,22.901562,20.126620,6.528913,8.446938,-6.092068,-86.298984,3.787534
0.200000,21.449340,19.154283,8.276594,8.738403,1.457326,37.746968,3.673415
0.200000,19.627344,18.253239,10.309215,10.163107,7.123519,28.330966,3.526223
0.200000,17.548465,17.605970,12.486529,10.886572,3.617325,-17.530968,3.360235
0.200000,15.493526,17.284406,14.566475,10.399728,-2.434217,-30.257714,3.274251
0.200000,13.513259,17.016651,16.564762,9.991434,-2.041470,1.963736,3.275832
0.200000,11.553921,16.759714,18.540875,9.880565,-0.554345,7.435627,3.266312
0.200000,9.739670,16.547836,20.367456,9.132906,-3.738297,-15.919759,3.247856
0.200000,8.164932,16.397554,21.949349,7.909464,-6.117208,-11.894560,3.224488
0.200000,6.834698,16.303180,23.282927,6.667888,-6.207884,-0.453378,3.199566
0.200000,5.753662,16.252981,24.365128,5.411006,-6.284407,-0.382613,3.175923
0.200000,4.925533,16.232752,25.193503,4.141876,-6.345651,-0.306222,3.155822
0.200000,4.352820,16.228826,25.766230,2.863635,-6.391207,-0.227779,3.140943
0.200000,4.036961,16.230374,26.082093,1.579316,-6.421595,-0.151942,3.132404
0.200000,3.943370,16.231354,26.175689,0.467981,-5.556673,4.324612,3.129828
0.200000,3.943370,16.231354,26.175689,0.000000,-2.339905,16.083843,3.129828
