dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.776011,23.415859,0.125000,1.250000,6.250000,31.250000,5.744233
0.200000,22.021968,23.256687,0.417968,1.464842,1.074209,-25.878954,5.668577
0.200000,22.335704,22.993134,0.827712,2.048719,2.919385,9.225876,5.470477
0.200000,22.471242,22.795229,1.067581,1.199345,-4.246870,-35.831274,4.886060
0.200000,22.356891,22.561338,1.327929,1.301738,0.511969,23.794196,4.090471
0.200000,21.597316,21.856803,2.363942,5.180066,19.391638,94.398344,3.787534
0.200000,20.350595,21.021728,3.864496,7.502772,11.613530,-38.890539,3.673415
0.200000,18.814363,20.261634,5.578483,8.569935,5.335816,-31.388570,3.526223
0.200000,17.078498,19.721088,7.396565,9.090406,2.602353,-13.667317,3.360235
0.200000,15.206937,19.432069,9.290310,9.468729,1.891614,-3.553694,3.274251
0.200000,13.223275,19.163858,11.292023,10.008562,2.699166,4.037762,3.275832
0.200000,11.284392,18.909584,13.247507,9.777424,-1.155691,-19.274286,3.266312
0.200000,9.509863,18.702315,15.034101,8.932966,-4.222288,-15.332984,3.247856
0.200000,7.985529,18.556814,16.565363,7.656310,-6.383278,-10.804951,3.224488
0.200000,6.709158,18.466240,17.844943,6.397904,-6.292034,0.456218,3.199566
0.200000,5.679293,18.418404,18.875919,5.154877,-6.215133,0.384505,3.175923
0.200000,4.894704,18.399233,19.660742,3.924118,-6.153795,0.306691,3.155822
0.200000,4.354228,18.395526,20.201231,2.702444,-6.108372,0.227118,3.140943
0.200000,4.056870,18.396982,20.498592,1.486804,-6.078196,0.150879,3.132404
0.200000,3.968858,18.397904,20.586609,0.440084,-5.233601,4.222972,3.129828
0.200000,3.968858,18.397904,20.586609,0.000000,-2.200421,15.165903,3.129828
