dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,22.871522,25.285833,0.125000,1.250000,6.250000,31.250000,5.755165
0.200000,23.224424,25.071996,0.537633,2.063167,4.065836,-10.920818,5.720407
0.200000,23.813732,24.667652,1.252321,3.573435,7.551341,17.427522,5.637429
0.200000,24.641065,23.895658,2.383892,5.657858,10.422114,14.353865,5.398123
0.200000,25.124249,21.851337,4.484539,10.503234,24.226878,69.023821,4.411805
0.200000,23.825787,20.281055,6.522133,10.187971,-1.576315,-129.015968,3.766123
0.200000,22.432713,19.372992,8.185033,8.314498,-9.367364,-38.955241,3.730928
0.200000,19.646586,19.085820,10.985920,14.004435,28.449682,189.085230,2.651990
0.200000,18.038071,19.420776,12.628940,8.215102,-28.946663,-286.981728,2.963875
0.200000,16.043095,19.808627,14.661269,10.161643,9.732705,193.396839,2.933964
0.200000,14.054009,20.265834,16.702225,10.204780,0.215685,-47.585099,2.896046
0.200000,12.077581,20.808233,18.751728,10.247518,0.213693,-0.009961,2.850185
0.200000,10.122764,21.450737,20.809426,10.288489,0.204855,-0.044187,2.796700
0.200000,8.200818,22.206341,22.874569,10.325713,0.186120,-0.093678,2.736279
0.200000,6.476967,22.896583,24.731474,9.284527,-5.205934,-26.960271,2.794338
0.200000,4.900963,23.406831,26.388019,8.282724,-5.009011,0.984615,2.864499
0.200000,3.533905,23.746573,27.796660,7.043207,-6.197584,-5.942863,2.932785
0.200000,2.386742,23.953217,28.962287,5.828133,-6.075373,0.611054,2.994705
0.200000,1.467192,24.065044,29.888612,4.631624,-5.982546,0.464137,3.046825
0.200000,0.779707,24.116565,30.578025,3.447064,-5.922796,0.298751,3.086917
0.200000,0.326296,24.135291,31.031822,2.268989,-5.890379,0.162084,3.113762
0.200000,0.107579,24.139954,31.250589,1.093831,-5.875786,0.072962,3.126801
0.200000,0.056917,24.140627,31.301256,0.253335,-4.202480,8.366533,3.129828
0.200000,0.056917,24.140627,31.301256,0.000000,-1.266677,14.679013,3.129828
