dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,21.779885,23.414224,0.125000,1.250000,6.250000,31.250000,5.755165
0.200000,22.068408,23.239453,0.462328,1.686640,2.183202,-20.333988,5.720407
0.200000,22.509807,22.937228,0.997279,2.674757,4.940583,13.786901,5.637429
0.200000,22.964138,22.523614,1.611684,3.072024,1.986335,-14.771237,5.398123
0.200000,23.054696,22.492850,1.707326,0.478207,-12.969083,-74.777091,4.411805
0.200000,22.558882,22.038764,2.379655,3.361646,14.417195,136.931391,3.766123
0.200000,21.228443,21.174192,3.966335,7.933398,22.858760,42.207824,3.730928
0.200000,20.665533,20.997975,4.556182,2.949238,-24.920802,-238.897811,2.651990
0.200000,18.421108,21.553350,6.868299,11.560582,43.056719,339.887608,2.963875
0.200000,16.489739,21.928791,8.835821,9.837611,-8.614856,-258.357878,2.933964
0.200000,14.580705,22.367543,10.794625,9.794021,-0.217948,41.984540,2.896046
0.200000,12.700075,22.883586,12.744771,9.750728,-0.216468,0.007402,2.850185
0.200000,10.855317,23.489844,14.686595,9.709125,-0.208015,0.042264,2.796700
0.200000,9.055164,24.197491,16.620844,9.671241,-0.189415,0.092997,2.736279
0.200000,7.214333,24.933954,18.603528,9.913419,1.210889,7.001523,2.794338
0.200000,5.493688,25.490881,20.412059,9.042655,-4.353820,-27.823548,2.864499
0.200000,3.983048,25.866210,21.968628,7.782845,-6.299050,-9.726148,2.932785
0.200000,2.703860,26.096584,23.268394,6.498832,-6.420065,-0.605074,2.994705
0.200000,1.672219,26.222022,24.307634,5.196199,-6.513167,-0.465512,3.046825
0.200000,0.898113,26.280027,25.083910,3.881381,-6.574091,-0.304616,3.086917
0.200000,0.386588,26.301152,25.595870,2.559801,-6.607897,-0.169031,3.113762
0.200000,0.139627,26.306417,25.842888,1.235089,-6.623564,-0.078335,3.126801
0.200000,0.082405,26.307177,25.900115,0.286133,-4.744780,9.393920,3.129828
0.200000,0.082405,26.307177,25.900115,0.000000,-1.430663,16.570585,3.129828
